route_id,name,source_subject,source_domain,discipline_refined,module_refined,upper_concept_refined,sub_concept_refined,node_type,first_order_relation_type,exception_flag_refined,review_reason,exception_gap,content
manual_bp_non_financing_guarantee_boundary,非融资性担保边界,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,contrast,,,negative_question_guard_missing,非融资性担保包括投标保证、履约保证、质量保证等；借款保证属于融资相关保证，不属于非融资性保证业务。
manual_bp_loan_five_classification,贷款五级分类,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,借款人资不抵债通常属于可疑类贷款特征；贷款逾期90天以上至少应划为次级类。
manual_bp_related_party_credit_ratio,关联授信比例,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,关联授信比例=全部关联方授信总额/资本净额；商业银行对所有关联方授信余额限制通常为资本净额的50%。
manual_cf_old_equipment_initial_cash_flow,旧设备继续使用初始现金流,经济学,金融计算,会计学大类,公司金融,资本预算与资本结构,现金流与资本成本,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,继续使用旧设备的初始现金流出量通常包括丧失的变现净额及增量营运资本；变现净额需考虑变现价与账面价值差额的所得税影响。
manual_cf_modern_enterprise_system,现代企业制度基础,经济学,公司金融,金融学大类,金融学,基础金融理论,金融工具、市场与风险,regulation_or_standard,regulation_peer|prerequisite,,,standard_vs_exam_conflict_guard_missing,现代企业制度通常以公司制企业为主要基础，企业制度演进一般为业主型企业、合伙制企业、公司制企业。
manual_fm_basis_weakening_hedge,基差走弱与套保收益,经济学,金融市场,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,基差走弱时，多头套期保值组合收益通常增大，空头套期保值组合收益通常减少。
manual_fm_semi_strong_market_efficiency,半强式有效市场,经济学,金融市场,金融学大类,金融学,基础金融理论,金融工具、市场与风险,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,半强式有效市场反映所有公开信息，技术分析和基本面分析通常无效，但内部信息仍可能有效。
manual_fm_capm_model_identity,资本资产定价模型CAPM,经济学,金融市场,会计学大类,投资学,资产定价,风险收益与估值,abstraction_or_regularity,abstraction_peer,,,standard_vs_exam_conflict_guard_missing,Sharpe等提出的资本资产定价模型通常简称CAPM，是现代资产定价中最有影响力的模型之一。
manual_mf_world_bank_group_boundary,世界银行集团机构边界,经济学,国际金融,金融学大类,金融监管与从业资格,证券基金市场监管,产品制度与合规,concept,contrast,,,negative_question_guard_missing,世界银行集团包括国际复兴开发银行、国际开发协会、国际金融公司等；国际货币基金组织不属于世界银行集团。
manual_mf_financial_deepening_definition,金融深化,经济学,货币金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,爱德华·肖、罗纳德·麦金农关于发展中国家金融发展与经济发展的改革思想通常称为金融深化。
manual_mf_credit_expansion_money_supply,信用扩张与货币供给,经济学,货币金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,现代信用活动与货币运动紧密相连，信用扩张通常意味着货币供给增加。
manual_mf_china_intermediate_target_after_1998,1998年后我国货币政策中介目标,经济学,货币金融,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,same_domain,,,multi_number_anchor_guard_missing,1998年取消贷款规模管理后，我国货币政策中介目标主要转向货币供应量。
manual_mf_long_run_money_neutrality,货币长期中性,经济学,货币金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,在长期经济增长视角下，货币通常被认为是中性的，长期产出主要由实际因素决定。
manual_mf_debt_service_ratio_threshold,外债偿债率警戒线,经济学,货币金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,偿债率指当年偿还外债本息额占当年商品与劳务出口收入的比例，国际上通常认为应保持在20%以下。
manual_mf_bop_gap_balance,国际收支缺口定义,经济学,货币金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,definition,same_domain,,,standard_vs_exam_conflict_guard_missing,国际收支缺口通常指国际收支差额，即国际收支账户在一定时期内收入与支出的差额。
manual_ifx_put_option_rights_obligations,外汇看跌期权权利义务,经济学,金融衍生工具,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,外汇看跌期权买方享有按约定价格卖出外汇的权利，卖方承担相应买入外汇的义务，买方支付的期权费通常不可收回。
manual_ifx_jamaica_system_differences,牙买加体系区别,经济学,国际金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,牙买加体系相对布雷顿森林体系的重要变化包括黄金非货币化、储备货币多样化和汇率制度多样化，不包括国际收支调节单一化。
manual_ifx_reserve_currency_conditions,储备货币条件,经济学,国际金融,会计学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,formula_or_calculation,formula_neighbor|prerequisite,,,standard_vs_exam_conflict_guard_missing,充当国际储备资产的货币通常需要可自由兑换、在国际货币体系中占重要地位且购买力稳定，不要求货币面值或价值较高。
manual_ifx_direct_quote_bop_model_direction,直接标价法国际收支模型方向,经济学,国际金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,直接标价法下，国际收支模型通常推断汇率与本国物价同方向变动、与本国收入同方向变动、与本国利率反方向变动。
manual_ifx_bop_surplus_currency_strength,国际收支顺差与货币坚挺,经济学,国际金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,一国国际收支出现巨额顺差通常会支撑本币，使货币趋于坚挺。
manual_ifx_bop_deficit_currency_weakness,国际收支逆差与货币疲软,经济学,国际金融,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,一国国际收支出现巨额逆差通常会削弱本币，使货币趋于疲软。
manual_cbf_loan_pricing_principles,贷款定价原则边界,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,abstraction_or_regularity,abstraction_peer|contrast,,,negative_question_guard_missing,商业银行贷款定价原则可包括利润最大化、扩大市场份额、维护银行形象等，不包括减少贷款量。
manual_cbf_cash_asset_management_principles,商业银行现金资产管理原则,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,abstraction_or_regularity,abstraction_peer|contrast,,,negative_question_guard_missing,商业银行现金资产管理原则包括总量适度、适时调节和安全保障，不包括盈利性原则。
manual_cbf_international_business_objectives,银行国际业务经营目标,经济学,商业银行,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,contrast,,,negative_question_guard_missing,银行国际业务经营目标包括安全性、流动性、盈利性，不包括固定性。
manual_fineng_derivatives_participant_roles,衍生品市场参与者功能分类,经济学,金融衍生工具,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,衍生品市场参与者按功能通常包括套期保值者、套利者和投机者；“机构”不是功能分类。
manual_fineng_fx_futures_margin,外汇期货保证金制度,经济学,金融衍生工具,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,外汇期货交易通常采取保证金制度。
manual_fineng_no_arbitrage_pricing_basis,无套利定价基础,经济学,金融工程,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,prerequisite,,,standard_vs_exam_conflict_guard_missing,现代金融衍生品定价理论通常以无套利为基础，即假设不存在无风险套利机会。
manual_finance_convertible_bond_call_feature,可转换债券赎回条款,经济学,金融衍生工具,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,可转换债券通常可附提前赎回条款，“不能被发行公司提前赎回”表述过绝对。
manual_finance_stock_index_futures_cash_settlement,股指期货交割方式,经济学,金融衍生工具,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,股指期货通常根据股票指数进行现金交割。
manual_finance_derivatives_functions,金融衍生工具功能,经济学,金融衍生工具,会计学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor|contrast,,,negative_question_guard_missing,金融衍生工具基本功能包括避险保值、价格发现和改善资产管理，不包括保持资信度不变。
manual_finance_futures_vs_option_features,期货与期权特征区别,经济学,金融衍生工具,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,期货合约本身通常不包含期权式选择权；可赎回债券、认股权证等含有类似期权特征。
manual_finance_rural_banking_reform_scope,农村银行改革机构边界,经济学,金融学,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,农村银行改革后的机构包括农村商业银行、农村合作银行、村镇银行等，不包括“中国农村发展银行”这一非标准机构。
manual_finance_deposit_rate_classification,挂牌存款利率性质,经济学,金融学,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,contrast,,,negative_question_guard_missing|standard_vs_exam_conflict_guard_missing,挂牌公告的定期储蓄存款利率通常属于固定利率、名义利率和官定利率，不属于浮动利率。
manual_finance_li_interest_unit_conversion,厘的利率单位换算,经济学,金融学,金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,concept,same_domain,,,multi_number_anchor_guard_missing,按我国习惯，年息1厘约为1%，月息1厘约为0.1%，拆息/日息1厘约为0.01%。
manual_central_bank_broad_money_boundary,广义货币供给构成边界,经济学,中央银行,金融学大类,银行与货币金融,商业银行经营与监管,信用风险与合规流程,concept,contrast,,,negative_question_guard_missing,广义货币供给包括现金和各类存款，但不包括银行准备金。
