subject,error_type,count,recommended_action,sample_ids,sample_terms
art_studies,semantic_or_option_alignment,18,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|4,唐代|中国|国务院环境保护行政主管部门|中的人物|确认、计量与减值|确认、计量与减值|音色|中的|莫里哀|雨果|浪漫主义|信用、资本与流程监管|的作品
professional_tour_guide,semantic_or_option_alignment,17,improve_option_semantic_alignment_and_contrast_peers,0|2|5|7|8,确认、计量与减值|确认、计量与减值|音色|中的|基本假设、要素与信息质量|Hz|广东省|信用、资本与流程监管|建设项目竣工环境保护验收管理办法|风险度量与保费|利率敏感性与收益率|基本假设、要素与信息质量|中国|下列各句中|中国
plant_protection,semantic_or_option_alignment,15,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|5,Ca|HCO|Mg|Al|Ca|压力势|渗透势|衬质势|若F1产生配子时成对遗传因子分离|不正确的是|货币政策与汇率利率|rho|不同|ng|nj
probability_and_statistics,semantic_or_option_alignment,14,improve_option_semantic_alignment_and_contrast_peers,0|2|3|4|5,frac|left|right|pi|cos|估计量与置信区间|Delta|rho|frac|随机变量与分布|frac|varepsilon|vec|pi|lambda
middle_school_physics,semantic_or_option_alignment,14,improve_option_semantic_alignment_and_contrast_peers,1|2|3|4|6,信用风险与合规流程|产品制度与合规|体检|产品制度与合规|产品制度与合规|青山|竹排|无套利定价与套保|利率敏感性与收益率|肌肉|确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规
modern_chinese_history,semantic_or_option_alignment,14,improve_option_semantic_alignment_and_contrast_peers,0|1|2|4|5,发行、承销与信息披露|组织形式与治理|基本假设、要素与信息质量|中国|下列各句中|合作|的统一|马关条约|南京条约|北京条约|辛丑条约|南京
legal_professional,semantic_or_option_alignment,14,improve_option_semantic_alignment_and_contrast_peers,0|1|3|5|6,处分四项权能|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|证据、保证与职业判断|只有|是正确的|是正确的|依法执教|证据、保证与职业判断|产品制度与合规|基本假设、要素与信息质量|信用、资本与流程监管|产品成本与成本管理|依据
environmental_impact_assessment_engineer,semantic_or_option_alignment,14,improve_option_semantic_alignment_and_contrast_peers,0|6|7|8|9,环境影响评价技术导则声环境|产品制度与合规|应纳税所得额与抵免|应纳税所得额与抵免|主体、交易与监管|企业|信用、资本与流程监管|应纳税所得额与抵免|基本假设、要素与信息质量|组织形式与治理|mm|产品制度与合规|应纳税所得额与抵免|应纳税所得额与抵免|主体、交易与监管
middle_school_biology,semantic_or_option_alignment,13,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|5,无套利定价与套保|货币政策与汇率利率|战略选择与实施|基本假设、要素与信息质量|低温|确认、计量与减值|确认、计量与减值|自然规律与模型|自然规律与模型|顺应自然|企业|信用、资本与流程监管|信用风险与合规流程|规划环境影响评价条例
veterinary_medicine,semantic_or_option_alignment,13,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|4,丙酮酸激酶|糖酵解|磷酸戊糖途径|丙酮酸|半乳糖醛酸|合并报表与特殊事项|合并报表与特殊事项|内质网|磷脂|高尔基体|不变|供需、弹性与市场结构|max|减小|ABA
education_science,semantic_or_option_alignment,13,improve_option_semantic_alignment_and_contrast_peers,1|3|4|6|7,货币政策与汇率利率|产品制度与合规|信用风险与合规流程|发行、承销与信息披露|战略选择与实施|应纳税所得额与抵免|基本假设、要素与信息质量|组织形式与治理|货币政策与汇率利率|纳税义务与征管|德国|英国|募集、运作与信息披露|金融工具、市场与风险|货币政策与汇率利率
law,semantic_or_option_alignment,13,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|6,风险收益与估值|组织形式与治理|结构设计与协调|风险收益与估值|基本假设、要素与信息质量|确认、计量与减值|计税依据与税率|确认、计量与减值|证据、保证与职业判断|证据、保证与职业判断|风险度量与保费|资源配置与制度分析|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率
college_chemistry,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,0|2|4|6|9,离子键|信用、资本与流程监管|货币政策与汇率利率|战略选择与实施|Zn|Ba|NO|Mg|SO|2O|times10|HAc|2O|2O|mol
advanced_mathematics,calculation_unhandled,12,add_formula_parser_or_worked_example_card,0|1|3|4|6,in|mathsf|left|mathtt|rightarrow|in|mathsf|left|mathtt|left|frac|left|right|pi|cos
electrical_engineer,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,1|2|4|6|9,cdot|max|不变|减小|3F|合并报表与特殊事项|合并报表与特殊事项|证据、保证与职业判断|控制|信用、资本与流程监管|cout|量程|0m|一般情况下|额定功率
metrology_engineer,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,3|5|6|8|9,kg|只有|是正确的|是正确的|依法执教|基本假设、要素与信息质量|供需、弹性与市场结构|这表明|合作|近日|基本假设、要素与信息质量|合并报表与特殊事项|合并报表与特殊事项|检定|坚持四项基本原则
chinese_language_and_literature,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,0|2|4|5|6,产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|风险度量与保费|英语|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|中国|信用、资本与流程监管|确认、计量与减值|确认、计量与减值|音色
high_school_history,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,5|6|7|10|11,提出|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|文本、历史与思想|主体、交易与监管|这说明|这说明|这说明|工人|农民|工人阶级|这说明|确认、计量与减值
middle_school_history,semantic_or_option_alignment,12,improve_option_semantic_alignment_and_contrast_peers,0|3|4|6|7,家庭联产承包责任制|各民族共同繁荣|土地改革|人民公社化|农业合作化|cout|量程|女性|安培|0m|鉴真|玄奘|中国|不恰当|恰当
computer_architecture,semantic_or_option_alignment,11,improve_option_semantic_alignment_and_contrast_peers,0|1|3|6|9,估计量与置信区间|有关|下列说法中不正确的是|Cache|主存|状态|中断屏蔽|产品制度与合规|三次握手|内存|合并报表与特殊事项|合并报表与特殊事项|证据、保证与职业判断|控制|证据、保证与职业判断
high_school_physics,semantic_or_option_alignment,11,improve_option_semantic_alignment_and_contrast_peers,0|3|4|7|8,控制变量法|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|自然规律与模型|产品制度与合规|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|利率敏感性与收益率|只有|才能|只要|甚至
high_school_biology,semantic_or_option_alignment,11,improve_option_semantic_alignment_and_contrast_peers,0|2|3|5|6,无机盐|确认、计量与减值|确认、计量与减值|现金流分类与列报|模型估计与检验|aabb|ab|下列选项中|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|风险度量与保费
basic_medicine,semantic_or_option_alignment,11,improve_option_semantic_alignment_and_contrast_peers,3|7|8|10|11,金融工具、市场与风险|校准|测量仪器|检定|绿色植物|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|风险度量与保费|一般情况下|0m|额定功率|ATP|建设项目环境影响评价资质管理办法
urban_and_rural_planner,negative_choice_misread,11,strengthen_negative_guard_and_contrast_peer,7|9|14|21|23,产品制度与合规|信用、资本与流程监管|基本假设、要素与信息质量|无套利定价与套保|产品制度与合规|组织、战略与决策|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|信用、资本与流程监管|现金流与资本成本|货币政策与汇率利率|产品成本与成本管理|物的分类与权利边界
accountant,negative_choice_misread,11,strengthen_negative_guard_and_contrast_peer,0|8|10|15|25,组织形式与治理|结构设计与协调|风险收益与估值|风险收益与估值|确认、计量与减值|组织、战略与决策|发行、承销与信息披露|证据、保证与职业判断|基本假设、要素与信息质量|确认、计量与减值|破产程序与管理人|物的分类与权利边界|物的分类与权利边界|证据、保证与职业判断|基本假设、要素与信息质量
operating_system,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,0|1|3|7|8,ls|部分|file|信号量|文件控制块|存储管理|资源配置与制度分析|在操作系统中|货币政策与汇率利率|产品制度与合规|存储管理|产品制度与合规|体检|信号量|可变分区
high_school_mathematics,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|6,mathsf|in|textbf|frac|left|概念与方法|随机变量与分布|随机变量与分布|frac|varepsilon|textbf|mathtt|frac|left|right
high_school_chemistry,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,0|2|4|5|8,确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规|确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规|盐酸|2Fe|uparrow|2O|2H
high_school_geography,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,0|2|3|4|6,季节性特点|以人为本|自然规律与模型|加强|利率敏感性与收益率|using|namespace|std|基本假设、要素与信息质量|确认、计量与减值|暖流|寒流|自然规律与模型|纬度位置|海陆位置
high_school_chinese,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|6,利率敏感性与收益率|无套利定价与套保|TLB|rho|不同|没有语病的一句是|没有语病的一句是|下列各句中|社会价值|甲午中日战争|没有语病的一句是|没有语病的一句是|资源配置与制度分析|下列各句中|下列各句中
sports_science,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,2|4|5|6|7,极点|缩短进入工作状态|校准|测量仪器|检定|极点|缩短进入工作状态|基本假设、要素与信息质量|基本假设、要素与信息质量|基本假设、要素与信息质量|量程|肌肉|主机甲与主机乙之间已建立一个TCP连接|女性|cout
fire_engineer,semantic_or_option_alignment,10,improve_option_semantic_alignment_and_contrast_peers,2|3|4|9|12,信用、资本与流程监管|征税范围、税率与抵扣|处分四项权能|基本假设、要素与信息质量|票据行为与效力|首先|其次|最后|正常情况下|数据描述与推断|证据、保证与职业判断|合并报表与特殊事项|合并报表与特殊事项|控制|基本假设、要素与信息质量
tax_accountant,negative_choice_misread,10,strengthen_negative_guard_and_contrast_peer,1|7|8|18|20,规定|证据、保证与职业判断|证据、保证与职业判断|现时义务与摊余成本|发行交易与信息披露|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|确认、计量与减值|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣
computer_network,semantic_or_option_alignment,9,improve_option_semantic_alignment_and_contrast_peers,1|4|5|8|10,现金流与资本成本|利率敏感性与收益率|IEEE|量程|男性|5m|20m|10m|30m|1m|网络层|传输层|在OSI参考模型中|应用层|数据链路层
electrical_engineer,calculation_unhandled,9,add_formula_parser_or_worked_example_card,0|7|16|17|20,cout|量程|10kV|5kV|6kV|10kV|5kV|6kV|110kV|220kV|10mA|8m|15m|4m|0m
middle_school_chemistry,semantic_or_option_alignment,9,improve_option_semantic_alignment_and_contrast_peers,0|2|4|6|8,基本假设、要素与信息质量|2S|2SiO|text|CO|mathrm|text|text|CO|NO|组织形式与治理|结构设计与协调|募集、运作与信息披露|基本假设、要素与信息质量|确认、计量与减值
logic,semantic_or_option_alignment,9,improve_option_semantic_alignment_and_contrast_peers,0|2|4|6|11,以下哪项如果为真|以下哪项如果为真|因此|目前|max|最能削弱上述论证|以下哪项如果为真|以下哪项如果为真|企业|因此|只有|才能|只要|甚至|基本假设、要素与信息质量
middle_school_mathematics,semantic_or_option_alignment,8,improve_option_semantic_alignment_and_contrast_peers,0|1|2|4|5,概念与方法|随机变量与分布|随机变量与分布|frac|varepsilon|基本假设、要素与信息质量|产出、价格与政策传导|基本假设、要素与信息质量|基本假设、要素与信息质量|待人工归类|利率敏感性与收益率|供需、弹性与市场结构|待人工归类
ideological_and_moral_cultivation,semantic_or_option_alignment,8,improve_option_semantic_alignment_and_contrast_peers,1|2|3|4|9,Delta|rho|0m|4x|产品制度与合规|情感|爱国主义|集体主义|自强不息|勤劳勇敢|人生价值|人生态度|人生目的|信仰|人生观
clinical_medicine,semantic_or_option_alignment,8,improve_option_semantic_alignment_and_contrast_peers,0|1|4|7|10,operator|组织|保护组织|放大镜|关于光现象|18岁|血红蛋白65g|50岁|内部管理决策|信用、资本与流程监管|证据、保证与职业判断|证据、保证与职业判断|确认、计量与减值
discrete_mathematics,semantic_or_option_alignment,7,improve_option_semantic_alignment_and_contrast_peers,0|2|4|7|10,cup|mathcal|circ|phi|Leftrightarrow|in|Leftrightarrow|to|uparrow|subseteq|基本假设、要素与信息质量|利率敏感性与收益率|主体、交易与监管|纳税义务与征管|产品制度与合规
marxism,semantic_or_option_alignment,7,improve_option_semantic_alignment_and_contrast_peers,0|1|2|9|10,存在性|证据、保证与职业判断|唯物主义的|结构设计与协调|利率敏感性与收益率|实事求是|实事求是|毛泽东思想|独立自主|群众路线|信用风险与合规流程|概念|判断|推理|的统一
middle_school_politics,semantic_or_option_alignment,7,improve_option_semantic_alignment_and_contrast_peers,0|8|10|14|15,证据、保证与职业判断|信用风险与合规流程|cap|的规定|宪法|民族区域自治制度|严格执法|一国两制|坚持四项基本原则|是指|个体经济|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界
college_physics,semantic_or_option_alignment,6,improve_option_semantic_alignment_and_contrast_peers,5|6|11|13|14,信用、资本与流程监管|利率敏感性与收益率|肌肉|rho|相同|向棱边方向平移|不变|自然规律与模型|混合物|cdot|cos|波长为|二硫键|下列说法正确的是
college_economics,calculation_unhandled,6,add_formula_parser_or_worked_example_card,11|12|18|35|38,权益变动与分配|无套利定价与套保|max|不变|减小|产出、价格与政策传导|资源配置与制度分析|产出、价格与政策传导|供需、弹性与市场结构|货币政策与汇率利率|现金流与资本成本|财政收入支出与预算|确认与期间归属|确认与期间归属|处分四项权能
high_school_politics,semantic_or_option_alignment,5,improve_option_semantic_alignment_and_contrast_peers,2|5|6|7|11,产出、价格与政策传导|货币政策与汇率利率|证据、保证与职业判断|信用、资本与流程监管|信用、资本与流程监管|确认、计量与减值|产品成本与成本管理|产品成本与成本管理|证据、保证与职业判断|证据、保证与职业判断|基本假设、要素与信息质量|基本假设、要素与信息质量|基本假设、要素与信息质量|信用、资本与流程监管|合并报表与特殊事项
middle_school_geography,semantic_or_option_alignment,5,improve_option_semantic_alignment_and_contrast_peers,0|1|5|10|11,风险度量与保费|风险度量与保费|保证金、套保与套利|保证金、套保与套利|我国|信用、资本与流程监管|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|组织、战略与决策|四川盆地|新疆南疆|黄土高原|东北平原
environmental_impact_assessment_engineer,calculation_unhandled,5,add_formula_parser_or_worked_example_card,2|5|11|18|26,先计算不同时刻各监测点位平均值|环境影响评价技术导则大气环境|0m|rho|ng|信用、资本与流程监管|合并报表与特殊事项|合并报表与特殊事项|基本假设、要素与信息质量|确认与期间归属|信用、资本与流程监管|计算|是正确的
computer_architecture,calculation_unhandled,4,add_formula_parser_or_worked_example_card,5|7|10|13,量程|cout|一般情况下|kg|首先|数据描述与推断|operator|计算|是正确的|组织|分段|合并报表与特殊事项|合并报表与特殊事项|打印机|磁盘
college_chemistry,calculation_unhandled,4,add_formula_parser_or_worked_example_card,1|7|10|20,Ba|HAc|OH|NaOH|Na|dm|2m|cdot|2m|mol|HAc|OH|反应|HCl|NO
high_school_mathematics,calculation_unhandled,4,add_formula_parser_or_worked_example_card,4|5|11|17,sigma|prime|pm|随机变量与分布|frac|varepsilon|sqrt|rho|随机变量与分布|frac|首先|其次|最后|供需、弹性与市场结构|货币政策与汇率利率
college_economics,negative_choice_misread,4,strengthen_negative_guard_and_contrast_peer,5|6|51|54,战略选择与实施|供需、弹性与市场结构|无套利定价与套保|确认、计量与减值|产品成本与成本管理|主体、交易与监管|确认、计量与减值|应纳税所得额与抵免|无套利定价与套保|错误的是|产出、价格与政策传导|资源配置与制度分析|产品制度与合规|信用风险与合规流程|确认、计量与减值
high_school_politics,low_confidence,4,add_examples_and_definition_clues,3|8|10|15,以人为本|发展|近日|只有|才能|中共中央关于全面深化改革若干重大问题的决定|这是因为|是国民经济的主导力量|个体经济|发展|朴素|基本假设、要素与信息质量|战略选择与实施|待人工归类|企业
urban_and_rural_planner,calculation_unhandled,4,add_formula_parser_or_worked_example_card,31|36|41|44,自然规律与模型|建设项目环境影响评价资质管理办法|证据、保证与职业判断|证据、保证与职业判断|应纳税所得额与抵免|建设项目环境风险评价技术导则|HJ169|声环境质量标准|GB3096|s风速|战略选择与实施|产品制度与合规|应纳税所得额与抵免|应纳税所得额与抵免|主体、交易与监管
fire_engineer,calculation_unhandled,4,add_formula_parser_or_worked_example_card,1|7|10|24,max|无套利定价与套保|计税依据与税率|信用、资本与流程监管|组织形式与治理|女性|主机甲与主机乙之间已建立一个TCP连接|cout|量程|额定功率|0m|泾县|女性|主机甲与主机乙之间已建立一个TCP连接|cout
college_programming,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,17|22|23,证据、保证与职业判断|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|估计量与置信区间|产品制度与合规|下列说法错误的是|下列说法错误的是|下列说法错误的是|估计量与置信区间|产品制度与合规|下列说法错误的是|下列说法错误的是|下列说法错误的是
middle_school_biology,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,16|19|20,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量|正确的是|自然规律与模型|自然规律与模型|基本假设、要素与信息质量|确认、计量与减值|正确的是|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值
teacher_qualification,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,4|15|39,组织形式与治理|战略选择与实施|合并报表与特殊事项|合并报表与特殊事项|组织形式与治理|人民代表大会|国家主席|两会|基本假设、要素与信息质量|战略选择与实施|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|确认、计量与减值
civil_servant,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,12|25|26,产品制度与合规|证据、保证与职业判断|组织形式与治理|证据、保证与职业判断|结构设计与协调|破产程序与管理人|破产程序与管理人|基本假设、要素与信息质量|算法与系统|基本假设、要素与信息质量|产品制度与合规|组织形式与治理|结构设计与协调|确认、计量与减值|纳税义务与征管
fire_engineer,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,0|11|17,风险收益与估值|风险收益与估值|证据、保证与职业判断|随机变量与分布|基本假设、要素与信息质量|信用、资本与流程监管|资源配置与制度分析|证据、保证与职业判断|产品成本与成本管理|物的分类与权利边界|资源配置与制度分析|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界
physician,no_retrieval_hit,3,add_language_trigger_and_subject_bridge,4|13|32,||
physician,negative_choice_misread,3,strengthen_negative_guard_and_contrast_peer,7|23|42,糖蛋白|结构设计与协调|结构设计与协调|结构设计与协调|错误的是|产品制度与合规|信用、资本与流程监管|不正确|学校|证据、保证与职业判断|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|确认、计量与减值
college_physics,calculation_unhandled,2,add_formula_parser_or_worked_example_card,3|10,自然规律与模型|供需、弹性与市场结构|这表明|合作|近日|使电容减小|rho|ng|nj|max
discrete_mathematics,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,6|11,cap|确认、计量与减值|货币政策与汇率利率|信用、资本与流程监管|供需、弹性与市场结构|nu|产品制度与合规|随机变量与分布|基本假设、要素与信息质量|证据、保证与职业判断
metrology_engineer,calculation_unhandled,2,add_formula_parser_or_worked_example_card,1|22,符合测量法|基本测量法|随机误差|系统误差|测量标准|符合测量法|基本测量法|货币政策与汇率利率|确认与期间归属|应纳税所得额与抵免
metrology_engineer,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,7|12,风险收益与估值|风险收益与估值|国家计量检定规程|企业|无套利定价与套保|风险收益与估值|风险收益与估值|无套利定价与套保|随机变量与分布|基本假设、要素与信息质量
middle_school_mathematics,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,3|15,随机变量与分布|基本假设、要素与信息质量|证据、保证与职业判断|风险收益与估值|证据、保证与职业判断|信用、资本与流程监管|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免
middle_school_mathematics,calculation_unhandled,2,add_formula_parser_or_worked_example_card,12|13,确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规|概念与方法|in|mathtt|frac|left
middle_school_chemistry,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,1|3,下列说法错误的是|估计量与置信区间|产品制度与合规|下列说法错误的是|下列说法错误的是|反应|溶液|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配
veterinary_medicine,no_retrieval_hit,2,add_language_trigger_and_subject_bridge,5|16,|
middle_school_politics,calculation_unhandled,2,add_formula_parser_or_worked_example_card,3|19,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量|公正司法|人民当家作主|规范化|依法治国|中国共产党的领导
middle_school_politics,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,6|12,风险收益与估值|风险收益与估值|社会主义荣辱观|证据、保证与职业判断|产品制度与合规|是国民经济的主导力量|这是因为|企业|0m|mm
logic,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,5|14,因此|因此|资源配置与制度分析|在操作系统中|现金流与资本成本|不恰当|恰当|内部管理决策|信用、资本与流程监管|确认、计量与减值
law,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,9|11,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量|信用、资本与流程监管|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界
chinese_language_and_literature,no_retrieval_hit,2,add_language_trigger_and_subject_bridge,13|21,|
chinese_language_and_literature,low_confidence,2,add_examples_and_definition_clues,14|18,出自|连词|sh
art_studies,no_retrieval_hit,2,add_language_trigger_and_subject_bridge,14|27,|
legal_professional,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,4|15,风险收益与估值|组织形式与治理|结构设计与协调|风险收益与估值|只有|利率敏感性与收益率|基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值
high_school_history,calculation_unhandled,2,add_formula_parser_or_worked_example_card,3|16,风险度量与保费|资源配置与制度分析|发展生产力|解放和发展生产力|文本、历史与思想|论十大关系|统筹兼顾|适当安排|群众路线|实事求是
sports_science,calculation_unhandled,2,add_formula_parser_or_worked_example_card,14|17,合并报表与特殊事项|合并报表与特殊事项|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|体能|身体机能|rho|ng|nj
clinical_medicine,calculation_unhandled,2,add_formula_parser_or_worked_example_card,5|12,利率敏感性与收益率|脂肪栓塞|空气栓塞|纤维蛋白|纤维蛋白原|PaCO|0m|stackrel|2m|PaO
clinical_medicine,negative_choice_misread,2,strengthen_negative_guard_and_contrast_peer,6|11,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量|8mmol|pH|frac|num|2mm
tax_accountant,calculation_unhandled,2,add_formula_parser_or_worked_example_card,15|39,征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|产品制度与合规|确认与期间归属|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免
computer_network,calculation_unhandled,1,add_formula_parser_or_worked_example_card,0,cout|量程|num|times10|4x
operating_system,calculation_unhandled,1,add_formula_parser_or_worked_example_card,17,最佳适应算法|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免
college_programming,calculation_unhandled,1,add_formula_parser_or_worked_example_card,11,战略选择与实施|产品制度与合规|部分|private|Base
college_physics,low_confidence,1,add_examples_and_definition_clues,16,向棱边方向平移|在双缝干涉实验中|不变|称为|错误的是
advanced_mathematics,semantic_or_option_alignment,1,improve_option_semantic_alignment_and_contrast_peers,13,frac|left|right|pi|cos
probability_and_statistics,calculation_unhandled,1,add_formula_parser_or_worked_example_card,6,概念与方法|估计量与置信区间|frac|varepsilon|sqrt
