group,subject,chinese_name,sub_concept,priority,search_query,desired_source_type,target_fields
computer,computer_architecture,计算机组成,存储器,140,存储器 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,cout,140,cout 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,cout,140,cout 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想,139,理想 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想,139,理想 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,5m,139,5m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,5m,139,5m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,提出,138,提出 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,提出,138,提出 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,寄存器,136,寄存器 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,寄存器,136,寄存器 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,CPU,134,CPU 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,CPU,134,CPU 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,中共,132,中共 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,中共,132,中共 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,void,131,void 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,void,131,void 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,规定,130,规定 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,规定,130,规定 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,public,127,public 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,public,127,public 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,main,125,main 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,main,125,main 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,HJ2,124,HJ2 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,HJ2,124,HJ2 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,认识,121,认识 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,认识,121,认识 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,实践,121,实践 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,实践,121,实践 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,class,115,class 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,class,115,class 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,测量仪器,111,测量仪器 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,测量仪器,111,测量仪器 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,include,107,include 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,include,107,include 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,5m,106,5m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,5m,106,5m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,iostream,104,iostream 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,iostream,104,iostream 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,校准,102,校准 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,校准,102,校准 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,正确的是,100,正确的是 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,正确的是,100,正确的是 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,主存,97,主存 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,主存,97,主存 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,称为,94,称为 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,称为,94,称为 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,唯心主义,94,唯心主义 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,唯心主义,94,唯心主义 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,男性,88,男性 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,男性,88,男性 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,return,85,return 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,return,85,return 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,endl,79,endl 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,endl,79,endl 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,计算,79,计算 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,计算,79,计算 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,测量结果,79,测量结果 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,测量结果,79,测量结果 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,子宫,79,子宫 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,子宫,79,子宫 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,直接,76,直接 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,直接,76,直接 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,10kV,76,10kV 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,10kV,76,10kV 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生目的,76,人生目的 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生目的,76,人生目的 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,女性,76,女性 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,女性,76,女性 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,男性,76,男性 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,男性,76,男性 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,下列选项中,75,下列选项中 site:flk.npc.gov.cn 法律,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,下列选项中,75,下列选项中 site:moj.gov.cn 法律职业资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,operating_system,操作系统,状态,73,状态 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,operating_system,操作系统,状态,73,状态 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,数据链路层,73,数据链路层 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,数据链路层,73,数据链路层 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,中华人民共和国环境影响评价法,73,中华人民共和国环境影响评价法 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,中华人民共和国环境影响评价法,73,中华人民共和国环境影响评价法 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,爱国主义,72,爱国主义 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,爱国主义,72,爱国主义 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,贫血,70,贫血 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,clinical_medicine,临床医学,贫血,70,贫血 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,错误的是,70,错误的是 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,错误的是,70,错误的是 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,char,67,char 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,char,67,char 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,ch,67,ch 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,ch,67,ch 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,被测量,67,被测量 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,被测量,67,被测量 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,67,毛泽东思想 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,67,毛泽东思想 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,出血,67,出血 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,出血,67,出血 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,legal_professional,法律职业资格,下列哪一说法是正确的,66,下列哪一说法是正确的 site:flk.npc.gov.cn 法律,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,legal_professional,法律职业资格,下列哪一说法是正确的,66,下列哪一说法是正确的 site:moj.gov.cn 法律职业资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,Cache,64,Cache 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,Cache,64,Cache 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,private,64,private 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,private,64,private 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,2m,64,2m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,2m,64,2m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,10m,64,10m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,10m,64,10m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,的观点,64,的观点 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,marxism,马克思主义基本原理,的观点,64,的观点 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,农民,64,农民 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,modern_chinese_history,近代史纲要,农民,64,农民 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,正确的是,61,正确的是 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,正确的是,61,正确的是 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,std,61,std 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,std,61,std 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,实事求是,61,实事求是 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,实事求是,61,实事求是 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,英国,61,英国 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,英国,61,英国 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,正确的是,61,正确的是 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,正确的是,61,正确的是 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,operating_system,操作系统,存储管理,60,存储管理 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,operating_system,操作系统,存储管理,60,存储管理 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想信念,58,理想信念 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想信念,58,理想信念 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,using,58,using 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,using,58,using 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,namespace,58,namespace 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,namespace,58,namespace 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生态度,58,人生态度 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生态度,58,人生态度 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生价值,58,人生价值 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生价值,58,人生价值 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,女性,58,女性 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,女性,58,女性 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,传输层,55,传输层 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,传输层,55,传输层 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,序号,55,序号 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,序号,55,序号 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,报文段,55,报文段 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,报文段,55,报文段 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,5kV,55,5kV 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,5kV,55,5kV 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,美国,55,美国 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,美国,55,美国 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,法国,54,法国 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,法国,54,法国 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,对此,54,对此 site:flk.npc.gov.cn 法律,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,对此,54,对此 site:moj.gov.cn 法律职业资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,下列说法正确的是,54,下列说法正确的是 site:flk.npc.gov.cn 法律,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,law,法学,下列说法正确的是,54,下列说法正确的是 site:moj.gov.cn 法律职业资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,CSMA,52,CSMA 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,CSMA,52,CSMA 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,const,52,const 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,const,52,const 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,3m,52,3m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,3m,52,3m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,20m,52,20m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,electrical_engineer,注册电气工程师,20m,52,20m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,high_school_politics,高中政治,这说明,52,这说明 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,high_school_politics,高中政治,这说明,52,这说明 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_politics,初中政治,规定,52,规定 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_politics,初中政治,规定,52,规定 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,唐朝,52,唐朝 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_history,初中历史,唐朝,52,唐朝 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,00h,52,00h 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,00h,52,00h 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,下列选项中,52,下列选项中 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,下列选项中,52,下列选项中 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
