route_id,route_type,source_subject,source_domain,name,discipline,module,upper_concept,sub_concept,node_type,first_order_relation_type,language_triggers,exception_flag,content
manual_ifa_intangible_amortization_pattern,manual_abstract_route,会计学,无形资产与研发,无形资产摊销方法选择,会计学大类,财务会计,资产,确认、计量与减值,concept,same_domain,无形资产摊销方法选择|无形资产|摊销方法|经济利益预期实现方式|使用寿命不确定,,使用寿命有限的无形资产，其摊销方法应反映与该无形资产有关的经济利益预期实现方式；无法可靠确定预期实现方式的，通常采用直线法摊销。使用寿命不确定的无形资产不摊销但需减值测试。
manual_ifa_investment_property_disposal_profit,manual_abstract_route,会计学,投资性房地产,公允价值模式投资性房地产处置损益,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule,公允价值模式投资性房地产处置损益|公允价值模式|投资性房地产|处置|其他综合收益|公允价值变动|公允价值模式投资性房地产|处置损益,,处置公允价值模式计量的投资性房地产时，处置价款与账面价值的差额影响损益；原公允价值变动损益和转换时计入其他综合收益的金额应按准则结转，避免重复计算。
manual_ifa_investment_property_cost_impairment_carrying,manual_abstract_route,会计学,投资性房地产,成本模式投资性房地产减值后账面价值,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule|prerequisite,成本模式投资性房地产减值后账面价值|成本模式|投资性房地产|可收回金额|未来现金流量现值|公允价值减处置费用|账面价值|成本模式投资性房地产减值|后账面价值,,成本模式投资性房地产按成本、累计折旧和减值准备计量；减值后以可收回金额为基础继续计提折旧。可收回金额取未来现金流量现值与公允价值减处置费用后的净额两者较高者。
manual_ifa_equity_profit_loss_covering,manual_abstract_route,会计学,所有者权益,弥补亏损后的所有者权益变动,会计学大类,财务会计,负债,现时义务与摊余成本,concept,prerequisite,弥补亏损后的所有者权益变动|所有者权益总额|弥补亏损|董事会|股东大会|利润分配|弥补亏损后的所有者权益变,,企业以前年度亏损可用以后年度利润弥补；董事会提出但未经股东大会批准的利润分配方案通常不确认负债，不减少所有者权益。
manual_ifa_retained_earnings_components,manual_abstract_route,会计学,所有者权益,留存收益构成,会计学大类,财务会计,所有者权益,权益变动与分配,calculation_or_measurement,measurement_rule|contrast,留存收益构成|留存收益|盈余公积|未分配利润|实收资本|资本公积,,留存收益由盈余公积和未分配利润构成；实收资本和资本公积属于所有者权益，但不属于留存收益。
manual_acc_nonmonetary_benefit_self_product,manual_abstract_route,会计学,职工薪酬,自产产品发放职工福利,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule|prerequisite,自产产品发放职工福利|笔记本电脑|自产产品|管理人员|非货币性福利|增值税,,企业将自产产品作为非货币性福利发放给职工，应按产品公允价值和相关税费计量职工薪酬，并同时按收入准则确认收入、结转成本。
manual_acc_employee_housing_benefit_long_deferred,manual_abstract_route,会计学,职工薪酬,低价售房职工福利长期递延,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule|prerequisite,低价售房职工福利长期递延|优惠价格|职工出售住房|服务10年|长期待摊费用|低于市场价,,企业以低于市场价格向职工出售住房并要求职工在未来服务期内继续服务的，售价低于公允价值的差额属于职工薪酬，应先确认为长期待摊费用或递延收益性质的待摊项目，再在服务期内按受益对象摊销计入相关成本费用。
manual_acc_convertible_bond_liability_equity_split,manual_abstract_route,会计学,金融负债与债券,可转债负债权益拆分,会计学大类,财务会计,负债,现时义务与摊余成本,calculation_or_measurement,measurement_rule|prerequisite,可转债负债权益拆分|可转换公司债券|权益成份|普通年金现值系数|复利现值系数|负债成份,,发行可转换公司债券时，应先按不含转换权的类似债券市场利率折现未来现金流量确定负债成份，再以发行总价扣除负债成份后的余额确认权益成份。
manual_acc_bond_effective_interest_opening_carrying,manual_abstract_route,会计学,金融负债与债券,债券实际利率法期初摊余成本,会计学大类,财务会计,负债,现时义务与摊余成本,calculation_or_measurement,measurement_rule|prerequisite,债券实际利率法期初摊余成本|公司债券|实际利率法|账面余额|利息费用|发行费用|票面利率|债券实际利率法期初摊余成,,实际利率法下，利息费用按期初摊余成本乘以实际利率确认；现金利息按面值乘以票面利率确认；差额调整摊余成本。发行费用冲减初始摊余成本，年初付息债券需注意付息后账面基础。
manual_acc_asset_future_cash_flow_period,manual_abstract_route,会计学,资产减值,资产未来现金流量预计期限,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule,资产未来现金流量预计期限|资产减值|未来现金流量|期限|剩余使用寿命|现值,,资产减值测试中预计未来现金流量现值时，现金流量预测期限原则上覆盖资产剩余使用寿命；若使用详细预测期，超出详细预测期后的现金流量应按稳定或递减增长率估计。
manual_acc_step_acquisition_common_control_capital_reserve,manual_abstract_route,会计学,长期股权投资与企业合并,同控分步取得控制资本公积,会计学大类,高级财务会计,合并与特殊会计,合并报表与特殊事项,calculation_or_measurement,measurement_rule,同控分步取得控制资本公积|分步取得|同一控制|资本公积|新增对价|重大影响|控制,,同一控制下分步取得股权最终形成控制时，应将长期股权投资初始成本与原账面价值加新增对价账面价值之间的差额调整资本公积；资本公积不足冲减的，调整留存收益。
manual_acc_common_control_longterm_investment_goodwill,manual_abstract_route,会计学,长期股权投资与企业合并,同控合并长投成本含原商誉,会计学大类,高级财务会计,合并与特殊会计,合并报表与特殊事项,calculation_or_measurement,measurement_rule,同控合并长投成本含原商誉|同一控制|母公司|最终控制方|商誉|初始投资成本|可辨认净资产,,同一控制下企业合并形成长期股权投资，初始投资成本按合并日取得被合并方在最终控制方合并报表中的所有者权益账面价值份额确定；最终控制方收购被合并方形成的商誉应一并考虑，直接相关中介费用通常计入当期损益。
manual_acc_investment_property_cost_to_fair_value,manual_abstract_route,会计学,投资性房地产,投资性房地产成本模式转公允价值模式,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule,投资性房地产成本模式转公允价值模式|投资性房地产|成本模式|公允价值模式|未分配利润|盈余公积|所得税|投资性房地产成本模式转公|允价值模式,,投资性房地产从成本模式变更为公允价值模式属于会计政策变更，转换日公允价值与账面价值的差额扣除所得税影响后调整留存收益，通常通过盈余公积和未分配利润反映，不计入当期损益。
manual_acc_investment_property_reconstruction,manual_abstract_route,会计学,投资性房地产,出租房地产改扩建期间列报,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule|prerequisite,出租房地产改扩建期间列报|出租|改扩建|投资性房地产|改建期间|资本化|折旧,,已出租建筑物转入改扩建且未来仍用于出租的，改扩建期间通常继续作为投资性房地产核算；符合资本化条件的后续支出计入投资性房地产成本，改扩建期间通常不计提折旧。
manual_acc_intangible_deferred_payment_initial,manual_abstract_route,会计学,无形资产,分期付款无形资产初始计量,会计学大类,财务会计,资产,确认、计量与减值,calculation_or_measurement,measurement_rule|prerequisite,分期付款无形资产初始计量|分期付款|无形资产|非专利权|年金现值系数|专利注册费|员工培训,,分期付款购买无形资产且具有融资性质时，应以购买价款现值为基础计量无形资产成本；必要税费、注册费等直接归属于使资产达到预定用途的支出计入成本，广告费、员工培训费等不计入成本。
manual_futures_fx_hedge_payable_usd,manual_abstract_route,经济学,套期保值与价差交易,美元应付款套保方向,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,美元应付款套保方向|支付美元|美元升值|买入美元远期|套期保值,,未来需要支付美元且担心美元升值时，应买入美元远期或期货合约锁定购汇成本。
manual_futures_hedging_lock_cost,manual_abstract_route,经济学,套期保值与价差交易,套期保值锁定生产成本,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,套期保值锁定生产成本|套期保值|谷物价格上涨|现货风险|锁定生产成本,,生产经营者预计原材料价格上涨时，可通过期货或衍生品套期保值锁定采购成本、规避现货价格风险。
manual_futures_option_buyer_right,manual_abstract_route,经济学,期货与衍生品,期权买方权利,会计学大类,会计学,未细分会计模块,待人工归类,concept,prerequisite,期权买方权利|期权|买方|购买或出售标的资产|权利,,期权赋予买方按约定条件购买或出售标的资产的权利，卖方承担相应义务。
manual_futures_fundamental_analysis_supply_demand,manual_abstract_route,经济学,期货与衍生品,基本面分析的经济学基础,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule|prerequisite,基本面分析的经济学基础|基本面分析法|经济学理论基础|供求理论|供给|需求,,期货和大宗商品基本面分析主要以供求理论为经济学基础，通过供给、需求、库存、成本、政策等因素判断价格趋势。
manual_sec_compliance_off_balance_sheet_business,manual_abstract_route,法学,证券公司合规,表外业务定义,会计学大类,财务会计,负债,现时义务与摊余成本,standard_or_principle,standard_peer,表外业务定义|商业银行表外业务风险管理指引|表外业务|不计入资产负债表|当期损益变动,,商业银行表外业务是指按现行会计准则不计入资产负债表内、不形成现实资产负债，但能够引起当期损益变动的业务。
manual_seclaw_service_agency_trading_blackout,manual_abstract_route,法学,证券法,证券服务机构承销期买卖限制,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,standard_or_principle,standard_peer,证券服务机构承销期买卖限制|审计报告|法律意见书|证券申报文件|承销期|6个月内|不得买卖|证券服务机构承销期买卖限,,制作审计报告、法律意见书等证券申报文件的证券服务机构和人员，在该证券承销期内及期满后六个月内，不得买卖该证券。
manual_econlaw_listed_company_quarter_report_deadline,manual_abstract_route,法学,经济法,上市公司季报披露期限,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,上市公司季报披露期限|上市公司|季度报告|一个月内|披露,,上市公司季度报告通常应在会计年度前三个月、九个月结束后一个月内编制披露。
manual_econlaw_bankruptcy_administrator_qualification,manual_abstract_route,法学,经济法,破产管理人资格,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,破产管理人资格|破产管理人|律师事务所|会计师事务所|利害关系|资格,,与债务人不存在利害关系且未处于法定限制期间的律师事务所、会计师事务所等中介机构，可依法担任破产管理人。
manual_strategy_financial_strategy_matrix,manual_abstract_route,管理学,战略控制与风险,财务战略矩阵,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,财务战略矩阵|投资资本回报率|资本成本|可持续增长率|销售增长率|现金剩余,,投资资本回报率高于资本成本表示价值创造；可持续增长率高于销售增长率表示现金剩余。
manual_strategy_flexible_budget,manual_abstract_route,管理学,战略控制与风险,弹性预算,会计学大类,管理会计,预算控制与经营决策,内部管理决策,concept,prerequisite,弹性预算|预算|实际业务量|动态预算,,以实际业务量为基础编制并可随业务量变化调整的预算，属于弹性预算。
manual_strategy_regional_division_structure,manual_abstract_route,管理学,组织结构,区域事业部结构,会计学大类,管理会计,预算控制与经营决策,内部管理决策,concept,same_domain,区域事业部结构|跨地区|当地需求|地区差异|区域事业部制,,当企业跨地区经营、各地区环境和需求差异显著时，适合采用区域事业部制结构。
manual_tax_land_price_in_property_original_value,manual_abstract_route,会计学,税额计算,房产税地价并入规则,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,房产税地价并入规则|宗地容积率|0.5|建筑面积2倍|地价|房产原值,,宗地容积率低于0.5的，按房产建筑面积的2倍计算土地面积并据以确定计入房产原值的地价。
manual_tax_ad_valorem_property_tax,manual_abstract_route,会计学,税额计算,从价房产税,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,从价房产税|房产税|从价计征|房产原值|扣除比例|出租,,房产税从价计征时通常按房产原值扣除规定比例后的余值乘适用税率计算；出租部分可按租金收入从租计征。
manual_tax_personal_rental_housing_property_tax,manual_abstract_route,会计学,税额计算,个人出租住房房产税,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,个人出租住房房产税|个人出租住房|房产税|租金收入|4%,,个人出租住房通常按租金收入适用优惠税率计征房产税，常见口径为4%，按实际出租月份计算。
manual_tax_vehicle_purchase_refund,manual_abstract_route,会计学,税额计算,车辆购置税退税,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,车辆购置税退税|车辆购置税|退税|退回|每满一年|扣减10%,,已缴车辆购置税的车辆因质量等原因退回的，退税额通常按已缴税款每满一年扣减10%计算。
manual_tax_vehicle_purchase_tax_basis,manual_abstract_route,会计学,税额计算,车辆购置税计税价格,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,车辆购置税计税价格|车辆购置税|计税价格|普通发票|保险费|装饰费|工具件,,车辆购置税以实际支付给销售方的全部价款为计税价格，价外费用和销售方开具普通发票的装饰、工具等可并入；保险公司单独开票的保险费通常不并入。
manual_tax_foreign_income_credit,manual_abstract_route,会计学,税额计算,境外所得抵免,会计学大类,高级财务会计,合并与特殊会计,合并报表与特殊事项,standard_or_principle,standard_peer,境外所得抵免|境外所得|所得税抵免|抵免限额|已缴纳企业所得税,,居民企业境内外所得合并计税，对境外已缴所得税按抵免限额抵免；超过抵免限额的部分可按规定结转。
manual_tax_nonresident_eit_assessment,manual_abstract_route,会计学,税额计算,非居民企业核定征收所得税,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,非居民企业核定征收所得税|非居民企业|驻华机构|核定|企业所得税,,非居民企业驻华机构账簿不全等情况下可核定应纳税所得额，并按核定利润率和适用企业所得税税率计算企业所得税。
manual_tax_auction_purchase_tax_basis,manual_abstract_route,会计学,税额计算,竞拍所得计税基础,会计学大类,财务会计,所得税会计,计税基础与暂时性差异,concept,prerequisite,竞拍所得计税基础|竞拍|增值税专用发票|佣金|计税基础,,企业竞拍取得物品并取得增值税专用发票时，计税基础可包含价款和不可抵扣税费；为竞拍另行支付的佣金等通常不并入竞拍所得物品计税基础。
manual_tax_property_transfer_pit_assessment,manual_abstract_route,会计学,税额计算,财产转让个人所得税核定,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,财产转让个人所得税核定|转让股权|原值凭证|核定|个人所得税|15%,,转让财产不能提供完整原值凭证时，可按税务机关核定扣除比例确定原值及合理费用，再按财产转让所得适用税率计算个人所得税。
manual_tax_urban_maintenance_construction_tax_base,manual_abstract_route,会计学,税额计算,城市维护建设税计税基础,会计学大类,财务会计,所得税会计,计税基础与暂时性差异,calculation_or_measurement,measurement_rule|prerequisite,城市维护建设税计税基础|城市维护建设税|城建税|进口环节增值税|代收代缴消费税|县城,,城建税以实际缴纳的增值税、消费税等为计税依据；进口环节缴纳的增值税、消费税通常不作为城建税计税依据，委托加工代收代缴消费税按受托方所在地税率处理。
manual_tax_constitution_tax_obligation,manual_abstract_route,会计学,税法,宪法纳税义务,会计学大类,会计学,未细分会计模块,待人工归类,standard_or_principle,standard_peer,宪法纳税义务|宪法|纳税义务|公民|依照法律纳税,,宪法明确规定中华人民共和国公民有依照法律纳税的义务。
manual_tax_penalty_rulemaking_authority,manual_abstract_route,会计学,税法,税务行政处罚设定权限,会计学大类,财务会计,现金流量表,现金流分类与列报,concept,same_domain,税务行政处罚设定权限|税务规章|非经营活动|违法行为|罚款|1000元,,税务规章可对非经营活动中的违法行为设定一定限额以下罚款；常见口径为不超过1000元。
manual_tax_administrative_penalty_hearing,manual_abstract_route,会计学,税法,税务行政处罚听证门槛,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,税务行政处罚听证门槛|税务行政处罚|听证|较大数额罚款|非经营组织|15000,,税务机关对公民、法人或其他组织作出较大数额罚款等行政处罚前，应告知其听证权利；对非经营组织较大额罚款通常触发听证要求。
manual_tax_consumption_tax_scope,manual_abstract_route,会计学,税法,消费税征税范围,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,消费税征税范围|烟草|电动汽车|胶鞋|手表,,烟草等应税消费品属于消费税征税范围；普通电动汽车、胶鞋、低价手表等不当然属于消费税征税范围。
manual_tax_consumption_tax_jewelry_scope,manual_abstract_route,会计学,税法,消费税金银珠宝范围,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,消费税金银珠宝范围|金银首饰|钻石|钻石饰品|零售环节|镶嵌首饰,,金银首饰、钻石及钻石饰品等在零售环节征收消费税；非金银镶嵌首饰不当然按金银首饰口径征税。
manual_tax_late_payment_surcharge,manual_abstract_route,会计学,税法,税收滞纳金,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,税收滞纳金|滞纳金|逾期缴纳|日万分之五|税款,,逾期缴纳税款的滞纳金通常按滞纳税款金额、滞纳天数和日万分之五计算。
manual_inv_coupon_bond_reinvestment_risk,manual_abstract_route,经济学,债券与衍生品,息票债券再投资风险,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,息票债券再投资风险|息票债券|零息票债券|再投资风险|5年期,,同期限、同到期收益率下，息票债券因中间现金流需再投资，通常比零息债券承担更高再投资风险。
manual_fund_pe_annual_report_submission,manual_abstract_route,经济学,私募股权,股权投资基金年报报送,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,standard_or_principle,standard_peer,股权投资基金年报报送|股权投资基金管理人|会计年度结束|4个月内|年度财务报告|协会,,股权投资基金管理人应在每个会计年度结束后规定月份内向协会报送经审计年度财报等材料；常见口径为4个月内。
manual_fund_bond_embedded_terms,manual_abstract_route,经济学,债券与衍生品,债券嵌入条款,会计学大类,管理会计,预算控制与经营决策,内部管理决策,calculation_or_measurement,measurement_rule,债券嵌入条款|赎回|回售|嵌入期权|收益率差异|债券条款,,债券期限相同但赎回、回售、嵌入期权等条款不同而导致收益率差异，属于条款差异。
manual_fund_guaranteed_bond_classification,manual_abstract_route,经济学,债券与衍生品,保证债券分类,会计学大类,管理会计,预算控制与经营决策,内部管理决策,concept,same_domain,保证债券分类|保证债券|抵押债券|质押债券|担保债券|保证形式,,按保证形式差异，保证债券可分为抵押债券、质押债券和担保债券。
manual_fund_asset_liability_ratio,manual_abstract_route,经济学,公司金融,资产负债率,会计学大类,财务会计,负债,现时义务与摊余成本,concept,same_domain,资产负债率|权益资本|债权资本|全部资本,,资产负债率=负债总额/资产总额。
manual_fund_sales_cash_receipts_formula,manual_abstract_route,经济学,公司金融,销售商品收现计算,会计学大类,财务会计,收入费用利润,确认与期间归属,calculation_or_measurement,measurement_rule,销售商品收现计算|销售商品提供劳务收到的现金|营业收入|应收账款|预收账款|退货,,销售商品提供劳务收到的现金可由营业收入、应收账款变动、预收账款变动、退货支付等调整计算。
manual_fund_owner_equity_formula,manual_abstract_route,经济学,公司金融,所有者权益计算,会计学大类,财务会计,负债,现时义务与摊余成本,calculation_or_measurement,measurement_rule,所有者权益计算|注册资本|资本公积|盈余公积|未分配利润|所有者权益,,所有者权益=实收资本+资本公积+盈余公积+未分配利润；资产=负债+所有者权益。
manual_fund_custodian_nav_review_frequency,manual_abstract_route,经济学,基金投资,基金净值复核频率,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,基金净值复核频率|证券投资基金托管业务管理办法|基金资产净值|复核|每年,,基金托管人对基金资产净值、基金份额净值等进行复核，具体频率按法规和基金合同执行，相关题目常见口径为每年至少一次。
manual_fund_profit_accounting_period,manual_abstract_route,经济学,基金投资,基金利润归属期间,会计学大类,财务会计,收入费用利润,确认与期间归属,concept,same_domain,基金利润归属期间|基金利润|经营成果|会计期间,,基金利润是基金在一定会计期间的经营成果。
manual_fund_dividend_nav_effect,manual_abstract_route,经济学,基金投资,基金分红对份额净值影响,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,基金分红对份额净值影响|基金分红|基金份额净值|影响|下降,,基金分红会使基金资产净值减少，除权后基金份额净值通常下降。
manual_bp_sales_cost_ratio_cash_impact,manual_abstract_route,经济学,金融计算,销售成本比率现金影响,会计学大类,管理会计,预算控制与经营决策,内部管理决策,calculation_or_measurement,measurement_rule,销售成本比率现金影响|销售成本比率|增加耗用现金|销售收入,,销售成本比率变化对现金的影响可按收入规模与成本率差异计算。
manual_bp_portfolio_return_weighted_average,manual_abstract_route,经济学,金融计算,组合收益率加权平均,会计学大类,会计学,未细分会计模块,待人工归类,calculation_or_measurement,measurement_rule,组合收益率加权平均|投资组合年百分比收益率|初始价值|年百分比收益率|加权平均,,投资组合年收益率按各资产初始价值加权平均计算。
manual_bp_qualified_investor_private_wealth,manual_abstract_route,经济学,银行理财与信贷,私募理财合格投资者,会计学大类,会计学,未细分会计模块,待人工归类,concept,same_domain,私募理财合格投资者|私募理财|合格投资者|2年以上投资经历|净资产|2000万,,私募理财合格投资者通常需具备风险识别承受能力和2年以上投资经历；法人或组织净资产门槛一般为最近1年末不低于1000万元而非2000万元。
