api_url,card_id,error,group,result_count,results_json,status,subject,term
,ceval_card.clinical_medicine.019.急性白血病,HTTP Error 429: Too Many Requests,medicine,,,err,clinical_medicine,急性白血病
,ceval_card.clinical_medicine.037.急性淋巴细胞性白血病,HTTP Error 429: Too Many Requests,medicine,,,err,clinical_medicine,急性淋巴细胞性白血病
,ceval_card.operating_system.005.信号量,HTTP Error 429: Too Many Requests,computer,,,err,operating_system,信号量
,ceval_card.ideological_and_moral_cultivation.006.信仰,HTTP Error 429: Too Many Requests,politics_history,,,err,ideological_and_moral_cultivation,信仰
,ceval_card.physician.021.体检,HTTP Error 429: Too Many Requests,medicine,,,err,physician,体检
,ceval_card.middle_school_politics.028.人民代表大会,HTTP Error 429: Too Many Requests,politics_history,,,err,middle_school_politics,人民代表大会
,ceval_card.ideological_and_moral_cultivation.010.为人民服务,HTTP Error 429: Too Many Requests,politics_history,,,err,ideological_and_moral_cultivation,为人民服务
,ceval_card.environmental_impact_assessment_engineer.025.不符合,HTTP Error 429: Too Many Requests,engineering,,,err,environmental_impact_assessment_engineer,不符合
,ceval_card.legal_exam.legal_professional.004.下列哪一选项是错误的,HTTP Error 429: Too Many Requests,legal_exam,,,err,legal_professional,下列哪一选项是错误的
,ceval_card.mao_zedong_thought.007.人民当家作主,HTTP Error 429: Too Many Requests,politics_history,,,err,mao_zedong_thought,人民当家作主
,ceval_card.computer_network.011.路由器,HTTP Error 429: Too Many Requests,computer,,,err,computer_network,路由器
,ceval_card.middle_school_history.025.鸦片战争,HTTP Error 429: Too Many Requests,politics_history,,,err,middle_school_history,鸦片战争
,ceval_card.computer_architecture.016.间接,HTTP Error 429: Too Many Requests,computer,,,err,computer_architecture,间接
,ceval_card.physician.009.腹痛,HTTP Error 429: Too Many Requests,medicine,,,err,physician,腹痛
,ceval_card.computer_architecture.008.立即,HTTP Error 429: Too Many Requests,computer,,,err,computer_architecture,立即
,ceval_card.electrical_engineer.044.波长为,HTTP Error 429: Too Many Requests,engineering,,,err,electrical_engineer,波长为
http[REDACTED_LOCAL_PATH]
,ceval_card.environmental_impact_assessment_engineer.009.建设项目环境保护管理条例,HTTP Error 429: Too Many Requests,engineering,,,err,environmental_impact_assessment_engineer,建设项目环境保护管理条例
,ceval_card.marxism.020.唯物主义的,HTTP Error 429: Too Many Requests,politics_history,,,err,marxism,唯物主义的
