id,type,subject,domain,name,aliases,keywords,priority,content
manual_acc_step_acquisition_common_control_capital_reserve,manual_abstract_route,会计学,长期股权投资与企业合并,同控分步取得控制资本公积,同控分步取得控制资本公积,分步取得|同一控制|资本公积|新增对价|重大影响|控制,1.68,同一控制下分步取得股权最终形成控制时，应将长期股权投资初始成本与原账面价值加新增对价账面价值之间的差额调整资本公积；资本公积不足冲减的，调整留存收益。
manual_acc_common_control_longterm_investment_goodwill,manual_abstract_route,会计学,长期股权投资与企业合并,同控合并长投成本含原商誉,同控合并长投成本含原商誉,同一控制|母公司|最终控制方|商誉|初始投资成本|可辨认净资产,1.68,同一控制下企业合并形成长期股权投资，初始投资成本按合并日取得被合并方在最终控制方合并报表中的所有者权益账面价值份额确定；最终控制方收购被合并方形成的商誉应一并考虑，直接相关中介费用通常计入当期损益。
manual_acc_investment_property_cost_to_fair_value,manual_abstract_route,会计学,投资性房地产,投资性房地产成本模式转公允价值模式,投资性房地产成本模式转公允价值模式,投资性房地产|成本模式|公允价值模式|未分配利润|盈余公积|所得税,1.68,投资性房地产从成本模式变更为公允价值模式属于会计政策变更，转换日公允价值与账面价值的差额扣除所得税影响后调整留存收益，通常通过盈余公积和未分配利润反映，不计入当期损益。
manual_acc_investment_property_reconstruction,manual_abstract_route,会计学,投资性房地产,出租房地产改扩建期间列报,出租房地产改扩建期间列报,出租|改扩建|投资性房地产|改建期间|资本化|折旧,1.68,已出租建筑物转入改扩建且未来仍用于出租的，改扩建期间通常继续作为投资性房地产核算；符合资本化条件的后续支出计入投资性房地产成本，改扩建期间通常不计提折旧。
manual_acc_intangible_deferred_payment_initial,manual_abstract_route,会计学,无形资产,分期付款无形资产初始计量,分期付款无形资产初始计量,分期付款|无形资产|非专利权|年金现值系数|专利注册费|员工培训,1.68,分期付款购买无形资产且具有融资性质时，应以购买价款现值为基础计量无形资产成本；必要税费、注册费等直接归属于使资产达到预定用途的支出计入成本，广告费、员工培训费等不计入成本。
manual_futures_fx_swap_definition,manual_abstract_route,经济学,期权与风险管理,外汇掉期定义,外汇掉期定义,外汇掉期|两个不同的起息日|方向相反|两次货币交换,1.69,外汇掉期是交易双方约定在两个不同起息日，以约定汇率进行方向相反的两次货币交换。
manual_futures_interest_rate_floor_payoff,manual_abstract_route,经济学,期权与风险管理,利率下限期权支付逻辑,利率下限期权支付逻辑,利率下限期权|市场参考利率低于|协定利率下限|卖方向买方支付,1.69,利率下限期权中，当市场参考利率低于协定下限利率时，卖方向买方支付差额；其保护的是利率下行风险。
manual_futures_call_option_buyer_profit,manual_abstract_route,经济学,期权与风险管理,看涨期权买方净收益,看涨期权买方净收益,看涨期权|执行价格|权利金|净收益,1.69,"看涨期权买方净收益= max(标的价格-执行价格,0)×合约规模×手数 - 权利金总额。"
manual_futures_fx_hedge_payable_usd,manual_abstract_route,经济学,套期保值与价差交易,美元应付款套保方向,美元应付款套保方向,支付美元|美元升值|买入美元远期|套期保值,1.69,未来需要支付美元且担心美元升值时，应买入美元远期或期货合约锁定购汇成本。
manual_futures_fx_hedge_receivable_pound,manual_abstract_route,经济学,套期保值与价差交易,英镑应收款套保方向,英镑应收款套保方向,收到英镑|英镑贬值|卖出英镑期货|套期保值,1.69,未来将收到英镑而担心英镑贬值时，应在期货市场卖出英镑期货合约进行套期保值。
manual_futures_spread_order_execution,manual_abstract_route,经济学,套期保值与价差交易,价差限价指令成交条件,价差限价指令成交条件,7月黄金期货|11月黄金期货|价差为20|限价指令,1.69,价差套利指令以价差为成交约束；买入近月、卖出远月且限定价差时，成交价差需满足指令限定的有利条件。
manual_futures_calendar_spread_narrowing,manual_abstract_route,经济学,套期保值与价差交易,跨期价差缩小交易,跨期价差缩小交易,买进5月|卖出9月|跨期套利|价差缩小,1.69,同一品种跨期交易中，若买入近月合约同时卖出远月合约，通常是在预期未来价差缩小或近月相对走强。
manual_futures_basis_profit_short_hedge,manual_abstract_route,经济学,套期保值与价差交易,基差与卖出套期保值盈亏,基差与卖出套期保值盈亏,卖出套期保值|基差|净盈利|4000元|平仓,1.69,卖出套期保值中，基差变强通常有利；若已知合约吨数与净盈利，可由净盈利/总吨数反推平仓时基差变化。
manual_futures_hedging_lock_cost,manual_abstract_route,经济学,套期保值与价差交易,套期保值锁定生产成本,套期保值锁定生产成本,套期保值|谷物价格上涨|现货风险|锁定生产成本,1.69,生产经营者预计原材料价格上涨时，可通过期货或衍生品套期保值锁定采购成本、规避现货价格风险。
manual_futures_cbot_1848_foundation,manual_abstract_route,经济学,期货与衍生品,CBOT成立节点,CBOT成立节点,1848年|芝加哥|82位商人|CBOT|芝加哥期货交易所,1.69,1848年，芝加哥82位商人发起组建芝加哥期货交易所 CBOT。
manual_futures_forward_advantage_flexibility,manual_abstract_route,经济学,期货与衍生品,远期合约灵活性优势,远期合约灵活性优势,远期合约|主要优点|灵活|交易双方需要,1.69,远期合约相较标准化期货的主要优点是可依据交易双方需要灵活订立，但流动性和信用风险管理通常弱于交易所期货。
manual_futures_option_buyer_right,manual_abstract_route,经济学,期货与衍生品,期权买方权利,期权买方权利,期权|买方|购买或出售标的资产|权利,1.69,期权赋予买方按约定条件购买或出售标的资产的权利，卖方承担相应义务。
manual_futures_zhengzhou_exchange_products,manual_abstract_route,经济学,期货与衍生品,郑商所主要品种边界,郑商所主要品种边界,郑州商品交易所|郑商所|白糖期货|铜期货|国债期货,1.69,郑州商品交易所上市品种以农产品、能源化工等商品期货为主，白糖期货属于郑商所品种；铜期货、国债期货不属于郑商所典型品种。
manual_futures_drawdown_risk_control,manual_abstract_route,经济学,期货与衍生品,回撤与止损风控,回撤与止损风控,回撤|止损|风险指标|胜率|盈利总额,1.69,最大回撤衡量策略风险；交易前应明确止损与入场计划，并要求盈利期望覆盖止损风险。
manual_futures_var_confidence_meaning,manual_abstract_route,经济学,期货与衍生品,VaR置信度含义,VaR置信度含义,VaR|置信度|90%|300万元|一天内损失,1.69,VaR 表示在给定置信度和持有期内，正常市场波动下可能遭受的最大损失边界；90%置信度日VaR为300万元，表示有90%的把握一天内损失不超过300万元。
manual_futures_wave_theory_elliott,manual_abstract_route,经济学,期货与衍生品,波浪理论提出者,波浪理论提出者,技术分析|波浪理论|艾略特|提出,1.69,技术分析中的波浪理论由艾略特提出；江恩理论、道氏理论和艾略特波浪理论属于不同技术分析体系。
manual_futures_fundamental_analysis_supply_demand,manual_abstract_route,经济学,期货与衍生品,基本面分析的经济学基础,基本面分析的经济学基础,基本面分析法|经济学理论基础|供求理论|供给|需求,1.69,期货和大宗商品基本面分析主要以供求理论为经济学基础，通过供给、需求、库存、成本、政策等因素判断价格趋势。
manual_futures_cme_1972_fx_futures,manual_abstract_route,经济学,期货与衍生品,CME外汇期货起源,CME外汇期货起源,1972年5月|芝加哥商业交易所|CME|外汇期货,1.69,芝加哥商业交易所 CME 于1972年5月推出外汇期货交易，这是现代金融期货发展的重要节点。
manual_futures_margin_ratio_common,manual_abstract_route,经济学,期货与衍生品,期货保证金比例常见区间,期货保证金比例常见区间,保证金制度|保证金比率|合约价值|5%|15%,1.69,期货交易采取保证金制度，保证金通常按合约价值一定比例收取；资格考试常见口径为合约价值的5%至15%。
manual_futures_derivatives_law_effective_date,manual_abstract_route,法学,期货与衍生品法,期货和衍生品法施行日期,期货和衍生品法施行日期,期货和衍生品法|2022年4月20日|2022年8月1日|施行,1.68,《中华人民共和国期货和衍生品法》由全国人大常委会通过后，自2022年8月1日起施行。
manual_sec_compliance_officer_part_time_boundary,manual_abstract_route,法学,证券公司合规,合规管理人员兼职边界,合规管理人员兼职边界,合规管理人员|不得兼任其他任何职务|不正确|专职合规|15人以上,1.68,证券公司应配备与职责相适应的合规管理人员；合规管理人员并非绝对不得兼任任何职务，关键是避免利益冲突并保障独立履职。
manual_sec_compliance_asset_management_no_promised_return,manual_abstract_route,法学,证券公司合规,受托投资管理不得承诺收益,受托投资管理不得承诺收益,受托投资管理|自营业务严格分离|承诺收益|保本|合同,1.68,证券公司受托投资管理业务应与自营业务严格分离、独立运作，不得在合同中承诺收益或保本。
manual_sec_compliance_staff_business_change_registration,manual_abstract_route,法学,证券公司合规,证券从业登记变更期限,证券从业登记变更期限,登记人员|业务类别发生变化|证券公司|5个工作日|变更登记,1.68,证券公司登记人员从事业务类别发生变化的，证券公司应自变化之日起五个工作日内为其办理变更登记。
manual_sec_compliance_off_balance_sheet_business,manual_abstract_route,法学,证券公司合规,表外业务定义,表外业务定义,商业银行表外业务风险管理指引|表外业务|不计入资产负债表|当期损益变动,1.68,商业银行表外业务是指按现行会计准则不计入资产负债表内、不形成现实资产负债，但能够引起当期损益变动的业务。
manual_seclaw_disqualified_exchange_head_five_year,manual_abstract_route,法学,证券法,证券交易所负责人任职限制,证券交易所负责人任职限制,证券交易场所|证券登记结算机构|因违法违纪被免职|证券交易所负责人|5年,1.68,证券交易场所、证券登记结算机构人员或证券公司董监高因违法违纪被免职的，自解除职务之日起五年内通常不得担任证券交易所负责人。
manual_seclaw_service_agency_trading_blackout,manual_abstract_route,法学,证券法,证券服务机构承销期买卖限制,证券服务机构承销期买卖限制,审计报告|法律意见书|证券申报文件|承销期|6个月内|不得买卖,1.68,制作审计报告、法律意见书等证券申报文件的证券服务机构和人员，在该证券承销期内及期满后六个月内，不得买卖该证券。
manual_seclaw_sponsor_rep_regulatory_measure_suspension,manual_abstract_route,法学,证券法,保荐代表人监管措施暂停受理,保荐代表人监管措施暂停受理,保荐代表人|连续两个自然年|监管措施|累计超过两次|6个月,1.68,保荐代表人在连续两个自然年内被监管部门采取措施次数累计超过规定次数的，证监会可在一定期限内不接受其具体负责推荐的事项；常见口径为六个月。
manual_seclaw_acquisition_announcement_offer_penalty,manual_abstract_route,法学,证券法,上市公司收购公告要约义务罚则,上市公司收购公告要约义务罚则,上市公司收购|公告|收购要约|50万元以上500万元以下,1.68,收购人未按证券法履行上市公司收购公告、发出收购要约等义务的，责令改正、给予警告，并可处五十万元以上五百万元以下罚款。
manual_seclaw_fundraising_fraud_prosecution_threshold,manual_abstract_route,法学,证券法,集资诈骗追诉标准,集资诈骗追诉标准,非法占有|诈骗|非法集资|立案追诉|10万元,1.68,以非法占有为目的，使用诈骗方法非法集资，达到刑事立案追诉标准的应追诉；常见个人数额口径为十万元以上。
manual_seclaw_unapproved_stock_bond_issuance_crime,manual_abstract_route,法学,证券法,擅自发行股票债券责任,擅自发行股票债券责任,擅自发行股票|公司企业债券|数额巨大|后果严重|5年以下,1.68,未经国家主管部门批准，擅自发行股票或者公司、企业债券，数额巨大、后果严重或者有其他严重情节的，对责任人员可处五年以下有期徒刑或者拘役，并处罚金。
manual_seclaw_public_offering_200_boundary,manual_abstract_route,法学,证券法,公开发行证券人数边界,公开发行证券人数边界,公开发行证券|特定对象|累计超过200人|员工持股计划|210人,1.68,向特定对象发行证券累计超过二百人的，通常构成公开发行；依法实施员工持股计划的员工人数按规则可不计入特定对象累计人数。
manual_seclaw_financial_opening_principle,manual_abstract_route,法学,证券法,金融业对外开放原则,金融业对外开放原则,金融稳定发展委员会|11条金融业对外开放措施|宜快不宜慢|宜早不宜迟|对外开放原则,1.68,金融业对外开放措施在监管口径中强调宜快不宜慢、宜早不宜迟，体现稳妥但积极推进开放的原则。
manual_econlaw_unlisted_public_company_boundary,manual_abstract_route,法学,经济法,非上市公众公司边界,非上市公众公司边界,非上市公众公司|股东累计超过200人|全国股转系统|特定对象|公开转让,1.66,非上市公众公司包括股票向特定对象发行或转让导致股东累计超过200人的股份有限公司，以及依法公开转让股票的股份有限公司等；相关公开转让通常需经证监会核准并在全国股转系统进行。
manual_econlaw_listed_company_guarantee_disclosure,manual_abstract_route,法学,经济法,上市公司对外担保披露时点,上市公司对外担保披露时点,上市公司|对外担保|董事会|股东大会|形成决议|披露,1.66,上市公司对外担保事项达到披露标准时，通常在董事会或股东大会形成决议时及时披露。
manual_econlaw_listed_company_quarter_report_deadline,manual_abstract_route,法学,经济法,上市公司季报披露期限,上市公司季报披露期限,上市公司|季度报告|一个月内|披露,1.66,上市公司季度报告通常应在会计年度前三个月、九个月结束后一个月内编制披露。
manual_econlaw_regional_equity_market_trade,manual_abstract_route,法学,经济法,区域性股权市场交易方式,区域性股权市场交易方式,区域性股权市场|协议转让|交易方式,1.66,区域性股权市场可采用协议转让等方式进行交易。
manual_econlaw_movable_property_right_boundary,manual_abstract_route,法学,经济法,动产物权类型边界,动产物权类型边界,动产物权|建设用地使用权|不动产|用益物权,1.66,建设用地使用权属于不动产用益物权，不属于动产物权。
manual_econlaw_property_right_object,manual_abstract_route,法学,经济法,物权客体,物权客体,物权客体|民法典|有体物|物权编,1.66,民法典物权编所称物通常指有体物；权利在法律规定情形下也可作为物权客体。
manual_econlaw_foreign_investment_transition_period,manual_abstract_route,法学,经济法,外商投资法组织形式过渡期,外商投资法组织形式过渡期,外商投资法|组织形式|过渡期|5年,1.66,外商投资法施行前已设立的外商投资企业，可在法定过渡期内继续保留原企业组织形式等，常见口径为5年。
manual_econlaw_bankruptcy_administrator_qualification,manual_abstract_route,法学,经济法,破产管理人资格,破产管理人资格,破产管理人|律师事务所|会计师事务所|利害关系|资格,1.66,与债务人不存在利害关系且未处于法定限制期间的律师事务所、会计师事务所等中介机构，可依法担任破产管理人。
manual_econlaw_bankruptcy_pending_litigation,manual_abstract_route,法学,经济法,破产程序中未结诉讼,破产程序中未结诉讼,破产申请|已经开始尚未终结|诉讼|仲裁|管理人接管,1.66,破产申请受理后，已经开始而尚未终结的有关债务人的民事诉讼或仲裁应中止，待管理人接管债务人财产后继续进行。
manual_econlaw_bill_amount_mismatch_invalid,manual_abstract_route,法学,经济法,票据金额大小写不一致,票据金额大小写不一致,票据金额|大小写|中文大写|阿拉伯数字|不一致|支票无效,1.66,票据金额大小写不一致的，票据通常无效。
manual_econlaw_bill_debtor_acceptor,manual_abstract_route,法学,经济法,票据债务人,票据债务人,票据债务人|汇票承兑人|支票出票人|票据法,1.66,票据关系中，汇票的承兑人是票据债务人之一，负有到期付款责任。
manual_econlaw_legal_fact_scope,manual_abstract_route,法学,经济法,法律事实范围,法律事实范围,法律事实|人的行为|自然事件|法律关系,1.66,法律事实既可以是人的行为，也可以是自然事件；其特点是能引起法律关系产生、变更或消灭。
manual_strategy_dispersed_equity_governance_risk,manual_abstract_route,管理学,战略控制与风险,股权结构分散治理风险,股权结构分散治理风险,股权结构分散|公司治理|大股东|相互制衡|不稳定,1.65,大股东之间缺乏共同利益、相互制衡且股权结构分散，可能造成公司治理不稳定。
manual_strategy_financial_strategy_matrix,manual_abstract_route,管理学,战略控制与风险,财务战略矩阵,财务战略矩阵,投资资本回报率|资本成本|可持续增长率|销售增长率|现金剩余,1.65,投资资本回报率高于资本成本表示价值创造；可持续增长率高于销售增长率表示现金剩余。
manual_strategy_cultural_management_response,manual_abstract_route,管理学,战略控制与风险,文化管理应对战略稳定,文化管理应对战略稳定,技术方式|行为模式|战略稳定|文化管理,1.65,当新技术或新方法引发人员行为阻力、但整体战略仍较稳定时，应优先加强文化管理。
manual_strategy_flexible_budget,manual_abstract_route,管理学,战略控制与风险,弹性预算,弹性预算,预算|实际业务量|弹性预算|动态预算,1.65,以实际业务量为基础编制并可随业务量变化调整的预算，属于弹性预算。
manual_strategy_decision_tree_method,manual_abstract_route,管理学,战略控制与风险,决策树法,决策树法,概率|投资方案|净现值|期望|决策树,1.65,在多种状态及概率下比较投资方案期望收益或净现值并择优，属于决策树法。
manual_strategy_regional_division_structure,manual_abstract_route,管理学,组织结构,区域事业部结构,区域事业部结构,跨地区|当地需求|地区差异|区域事业部制,1.65,当企业跨地区经营、各地区环境和需求差异显著时，适合采用区域事业部制结构。
manual_strategy_m_division_structure_advantage,manual_abstract_route,管理学,组织结构,多事业部结构优缺点,多事业部结构优缺点,多事业部结构|业务成长|总部负担|分部绩效|联系更直接,1.65,多事业部结构有利于业务成长、分部绩效衡量和减轻总部负担；产品或区域职能人员联系更直接通常不是其典型优点。
manual_strategy_internal_relationship_coordination,manual_abstract_route,管理学,组织结构,组织内部关系协调,组织内部关系协调,组织结构|集权与分权|中层管理人员|协同与激励|外部融资,1.65,调整组织结构内部管理关系时，重点考虑集权与分权、中层管理人员调整、协同与激励等，不属于外部融资问题。
manual_strategy_innovation_organization,manual_abstract_route,管理学,战略管理,创新型战略组织,创新型战略组织,创新型战略组织|灵活|多种技术路线|标准化程度低,1.65,强调高度灵活、多技术路径、标准化较低、避免单一路线停滞的组织，适合创新型战略组织。
manual_strategy_forward_integration,manual_abstract_route,管理学,战略管理,前向一体化战略,前向一体化战略,销售环节|专营店|下游|前向一体化,1.65,企业向产业链下游销售、渠道、终端等环节延伸，属于前向一体化战略。
manual_strategy_product_development,manual_abstract_route,管理学,战略管理,产品开发战略,产品开发战略,现有市场|新产品|产品开发战略|消费者需求,1.65,在现有市场上推出新产品或改良产品以满足消费者新需求，属于产品开发战略。
manual_strategy_company_mission_change,manual_abstract_route,管理学,战略管理,公司宗旨变化,公司宗旨变化,公司宗旨|业务范围|经营领域|服务对象|多元化公司,1.65,公司业务范围、经营领域和服务对象发生显著扩展，通常体现公司宗旨变化，而非仅经营哲学或战略层次变化。
manual_tax_land_price_in_property_original_value,manual_abstract_route,会计学,税额计算,房产税地价并入规则,房产税地价并入规则,宗地容积率|0.5|建筑面积2倍|地价|房产原值,1.64,宗地容积率低于0.5的，按房产建筑面积的2倍计算土地面积并据以确定计入房产原值的地价。
manual_tax_ad_valorem_property_tax,manual_abstract_route,会计学,税额计算,从价房产税,从价房产税,房产税|从价计征|房产原值|扣除比例|出租,1.64,房产税从价计征时通常按房产原值扣除规定比例后的余值乘适用税率计算；出租部分可按租金收入从租计征。
manual_tax_personal_rental_housing_property_tax,manual_abstract_route,会计学,税额计算,个人出租住房房产税,个人出租住房房产税,个人出租住房|房产税|租金收入|4%,1.64,个人出租住房通常按租金收入适用优惠税率计征房产税，常见口径为4%，按实际出租月份计算。
manual_tax_vehicle_purchase_refund,manual_abstract_route,会计学,税额计算,车辆购置税退税,车辆购置税退税,车辆购置税|退税|退回|每满一年|扣减10%,1.64,已缴车辆购置税的车辆因质量等原因退回的，退税额通常按已缴税款每满一年扣减10%计算。
manual_tax_vehicle_purchase_tax_basis,manual_abstract_route,会计学,税额计算,车辆购置税计税价格,车辆购置税计税价格,车辆购置税|计税价格|普通发票|保险费|装饰费|工具件,1.64,车辆购置税以实际支付给销售方的全部价款为计税价格，价外费用和销售方开具普通发票的装饰、工具等可并入；保险公司单独开票的保险费通常不并入。
