file,kind,name,from,to,trigger_keywords,examples
lang_语文.json,language_to_entry,语言树→语文联想通道,language/sentence_patterns.json,entries/语文.json,语言文字|文学鉴赏|写作方法|文化常识,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
route_会计学.json,entry_to_route,,language/sentence_patterns.json,entries/会计学.json → neurons/会计学_neurons.json,会计要素|会计科目与账户|会计分录|T型账户|原始凭证与记账凭证|会计账簿|对账与财产清查|结账|错账更正方法|货币资金|应收款项|存货|固定资产|无形资产|长期股权投资|投资性房地产|金融资产分类|负债|应交税费核算|所有者权益|期间费用|收入确认(IFRS15/CAS14)|政府补助|借款费用资本化|非货币性资产交换|债务重组|企业合并|合并财务报表|外币折算|股份支付|衍生金融工具|租赁(IFRS16/CAS21)|所得税会计|每股收益|公允价值计量|成本核算程序|辅助生产费用分配|制造费用分配|完工产品与在产品|标准成本法|作业成本法(ABC)|联产品与副产品|成本性态分析|变动成本法vs完全成本法|本量利分析(CVP)|全面预算|责任会计|短期经营决策|平衡计分卡(BSC)|审计目标|审计程序|审计证据|重要性水平|内部控制|审计抽样|具体项目审计|审计报告|财务报表分析|筹资管理|股利政策|营运资金管理|杠杆效应|企业价值评估|资本结构理论|增值税纳税人|增值税计算|企业所得税汇算|个人所得税|消费税|税收优惠|会计法|中国会计准则体系|职业道德基本原则|实证会计理论三大假说|会计信息价值相关性|会计稳健性|管理层预测(MD&A)|ESG信息披露|独立董事制度|股权激励|控股股东与代理问题|内部控制评价与审计|盈利质量分析|现金流分析|表外负债识别|行业分析与估值|并购尽职调查|并购协同效应量化|对赌协议|反收购策略|税负转嫁理论|国际税务筹划|企业重组税务|审计期望差|法务会计|大数据审计|战略成本管理|环境管理会计|激励机制中的财务指标|IPO盈余管理|分析师预测|年报文本分析|实证会计研究方法|常见研究设计|会计学顶级期刊|安然事件与SOX法案|会计职业道德决策模型,
route_信息技术.json,entry_to_route,,language/sentence_patterns.json,entries/信息技术.json → neurons/信息技术_neurons.json,计算机组成原理|进制转换|操作系统基础|计算机网络|排序算法|查找算法|递归与分治|贪心与动态规划|树与图|Python基础|C语言基础|关系数据库|加解密|网络安全|信息与信息技术|计算机硬件|计算机软件|文字处理(Word基础)|数据处理(Excel基础)|演示文稿(PPT基础)|互联网基础|算法入门|编程入门(Scratch/Python),
route_化学.json,entry_to_route,,language/sentence_patterns.json,entries/化学.json → neurons/化学_neurons.json,物质的量n|物质的量浓度|原子结构|核外电子排布|元素周期律|化学键|分子构型|反应热与焓变|热化学方程式|盖斯定律|速率表达式|化学平衡|影响平衡的因素|弱电解质的电离|水的电离与pH|盐类水解|沉淀溶解平衡|酸碱中和滴定|原电池|电解池|金属的腐蚀与防护|钠及其化合物|铝及其化合物|铁及其化合物|氯及其化合物|硫及其化合物|氮及其化合物|烷烃|烯烃|炔烃|苯及其同系物|烃的衍生物|糖类|油脂与蛋白质|物质的变化|空气|水|碳及其化合物|金属|常见的酸|常见的碱|盐与化肥,
route_历史.json,entry_to_route,,language/sentence_patterns.json,entries/历史.json → neurons/历史_neurons.json,夏商周|秦朝统一|汉朝|隋唐|宋元|明清|鸦片战争|洋务运动|辛亥革命|五四运动|中共成立与国民革命|抗日战争|解放战争与建国|古希腊罗马|新航路开辟|英法美资产阶级革命|工业革命|一战与二战|冷战|中国早期人类|原始农耕生活|夏商周分封制|百家争鸣|统一多民族国家的建立与巩固|古代亚非文明|古代欧洲文明|步入近代,
route_地理.json,entry_to_route,,language/sentence_patterns.json,entries/地理.json → neurons/地理_neurons.json,太阳对地球的影响|地球运动的地理意义|大气受热过程|热力环流|气压带风带|季风环流|气候类型|天气系统|水循环|河流补给与水文特征|洋流|地壳物质循环|板块构造|自然带|人口增长模式|人口迁移|城市化|农业区位因素|工业区位因素|交通运输|可持续发展|中国地形|中国气候特点|区域差异|地球的形状和大小|地图|世界地理概况|中国地理概况|中国自然资源|中国四大地理区域,
route_思想政治.json,entry_to_route,,language/sentence_patterns.json,entries/思想政治.json → neurons/思想政治_neurons.json,商品与货币|价值规律|生产与消费|我国基本经济制度|企业经营|财政与税收|市场经济|新发展理念|国家性质|公民政治参与|文化的作用|文化传承与创新|唯物论|辩证法|认识论|唯物史观|价值观,
route_数学.json,entry_to_route,,language/sentence_patterns.json,entries/数学.json → neurons/数学_neurons.json,集合的基本运算|四种命题|充分必要条件|函数定义与三要素|函数的单调性|函数的奇偶性|函数的周期性|二次函数|幂函数|指数函数|对数函数|指数对数互化|反函数|函数图像变换|任意角与弧度制|三角函数的定义|同角基本关系|诱导公式|和差公式|二倍角公式|正弦型函数|解斜三角形|等差数列|等比数列|数列通项求法|数列求和技巧|一元二次不等式|基本不等式|线性规划|柱锥台球表面积体积|三视图与直观图|空间中的线面关系|空间向量|直线方程|两直线位置关系|圆的方程|椭圆|双曲线|抛物线|弦长公式|排列组合|二项式定理|古典概型|条件概率与独立|离散型随机变量|二项分布|正态分布|线性回归|独立性检验|导数的定义|基本导数公式|导数四则运算|复合函数求导|导数判断单调性|导数求极值|定积分|定积分求面积|四则运算|分数|小数与百分数|单位换算|简单几何|有理数|整式与分式|一元一次方程|二元一次方程组|一元二次方程|不等式与不等式组|平面直角坐标系|一次函数|反比例函数|概率基础|线角基础|全等三角形|相似三角形|三角形|四边形|圆|三角函数锐角,
route_物理.json,entry_to_route,,language/sentence_patterns.json,entries/物理.json → neurons/物理_neurons.json,匀变速直线运动|自由落体|竖直上抛|平抛运动|v-t图像|受力分析|力的合成与分解|牛顿第二定律应用|超重与失重|连接体问题|圆周运动|万有引力定律|卫星变轨|宇宙速度|功的计算|动能定理|机械能守恒|功能关系|动量定理|动量守恒|碰撞分类|库仑定律|电场强度|电势与电势能|电容器|欧姆定律|电功率|串并联|电表改装|安培力|洛伦兹力|带电粒子在磁场中|法拉第定律|楞次定律|自感与互感|交流电表达式|变压器|分子动理论|理想气体状态方程|热力学第一定律|简谐运动|机械波|折射定律|光的干涉|光的衍射|光电效应|氢原子能级|核反应|声音的产生与传播|光的直线传播|光的反射|凸透镜成像|物态变化|内能与热量|力|压强|浮力|简单机械|电路基础|电功与电热|电与磁,
route_生物.json,entry_to_route,,language/sentence_patterns.json,entries/生物.json → neurons/生物_neurons.json,细胞的化学成分|细胞膜|细胞器|细胞核|酶|ATP|有氧呼吸|无氧呼吸|光合作用|有丝分裂|减数分裂|细胞分化与全能性|分离定律|自由组合定律|伴性遗传|基因突变|染色体变异|达尔文自然选择|现代生物进化理论|基因频率|内环境与稳态|神经调节|体液调节|免疫调节|种群数量特征|群落|生态系统|生物的特征|生态系统|显微镜|植物|人体系统|神经与激素|遗传与进化基础|传染病与免疫,
route_英语.json,entry_to_route,,language/sentence_patterns.json,entries/英语.json → neurons/英语_neurons.json,一般现在时|一般过去时|现在完成时|被动语态|定语从句|名词性从句|状语从句|虚拟语气|非谓语动词|倒装与强调|书信格式|议论文结构|连接词|八大时态基础|比较级与最高级|被动语态基础|宾语从句|状语从句基础|情态动词,
route_语文.json,entry_to_route,,language/sentence_patterns.json,entries/语文.json → neurons/语文_neurons.json,字音字形|词语辨析|病句修改|修辞手法|120个实词|18个虚词|特殊句式|词类活用|意象|表现手法|文学史|议论文论证方法|记叙文六要素|常用修辞|表达方式|记叙顺序|文言文基础|名著导读,
