file,subject,from,to,type
first_order_经济学.json,经济学,金融深化,信用扩张与货币供给|证券直接发行|金融中介主要职能,first_order_same_domain
first_order_经济学.json,经济学,资本资产定价模型CAPM,CAPM必要收益率|半强式有效市场|DCF估值投资建议,first_order_same_domain
first_order_经济学.json,经济学,债券修正久期价格近似,名义利率与实际年利率|费雪实际利率精确式|债券实际利率法,first_order_same_domain
first_order_经济学.json,经济学,资产证券化产品类型,资产配置主要策略|期货持有成本套利|基差走弱与套保收益,first_order_same_domain
first_order_经济学.json,经济学,现代企业制度基础,现代公司特征|要约收购|MM资本结构理论,first_order_same_domain
first_order_经济学.json,经济学,项目NPV经营现金流,旧设备继续使用初始现金流|单利现值|有效年利率,first_order_same_domain
first_order_经济学.json,经济学,看跌看涨期权平价,CAPM股权必要收益率|永久债券定价|项目NPV经营现金流,first_order_same_domain
first_order_经济学.json,经济学,资本充足率覆盖风险,关联授信比例|贷款五级分类|合规管理机制,first_order_same_domain
first_order_经济学.json,经济学,贷款五级分类,抵押贷款额度|押品管理流程|公司信贷管理原则,first_order_same_domain
first_order_经济学.json,经济学,私募理财合格投资者,理财规划客户信息收集|客户理财目标表述|金融市场资金融通功能,first_order_same_domain
first_order_经济学.json,经济学,基金分红对份额净值影响,基金利润归属期间|托管协议定义|基金净值复核频率,first_order_same_domain
first_order_经济学.json,经济学,保证债券分类,债券嵌入条款|资产负债率|所有者权益计算,first_order_same_domain
first_order_经济学.json,经济学,增值服务价值,区域性股权市场功能|股权回购流程|杠杆收购模型要素,first_order_same_domain
first_order_经济学.json,经济学,债券全价与净价,债券定价现值公式|债券久期价格敏感性|债券违约风险溢价,first_order_same_domain
first_order_经济学.json,经济学,可转债转换价值与转换溢价,看跌期权保护性头寸保本价格|期权对冲比率含义|债券定价现值公式,first_order_same_domain
first_order_经济学.json,经济学,固定增长股利贴现模型,股票预期持有期收益率|单期股票现值|多期几何平均收益率,first_order_same_domain
first_order_经济学.json,经济学,基本面分析的经济学基础,套期保值锁定生产成本|期货保证金比例常见区间|VaR置信度含义,first_order_same_domain
first_order_经济学.json,经济学,波浪理论提出者,基本面分析的经济学基础|回撤与止损风控|价差限价指令成交条件,first_order_same_domain
first_order_经济学.json,经济学,英镑应收款套保方向,美元应付款套保方向|外汇掉期定义|CME外汇期货起源,first_order_same_domain
first_order_经济学.json,经济学,看涨期权买方净收益,期权买方权利|利率下限期权支付逻辑|远期合约灵活性优势,first_order_same_domain
first_order_统计学.json,统计学,总体、样本、统计量与参数,由样本推断总体|估计量性质|抽样误差与样本量,first_order_same_logic
first_order_统计学.json,统计学,假设检验解释,单侧假设检验|显著性水平嵌套|置信水平与α,first_order_same_logic
first_order_统计学.json,统计学,列联表与相关系数,卡方列联表自由度|期望频数|φ相关系数,first_order_same_structure
first_order_统计学.json,统计学,正态分布经验法则,正态标准化|中心极限定理与样本均值|样本均值方差,first_order_same_structure
