discipline,module,upper_concept,sub_concept,route_count,suggested_children,sample_route_ids,sample_names
通识/待人工复核大类,通识/待人工复核,待人工复核模块,待人工归类,77,按source_subject回填|按关键词人工确认|非财经通识单独保留,auto_neuron_FinEval_neurons_advanced_financial_accounting_15|auto_neuron_FinEval_neurons_advanced_financial_accounting_17|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_36|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_41|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_84|auto_neuron_FinEval_neurons_central_banking_16|auto_neuron_FinEval_neurons_central_banking_25|auto_neuron_FinEval_neurons_certified_management_accountant_11|auto_neuron_FinEval_neurons_certified_management_accountant_18|auto_neuron_FinEval_neurons_certified_management_accountant_19|auto_neuron_FinEval_neurons_certified_management_accountant_21|auto_neuron_FinEval_neurons_certified_practising_accountant_1|auto_neuron_FinEval_neurons_certified_practising_accountant_5|auto_neuron_FinEval_neurons_china_actuary_7|auto_neuron_FinEval_neurons_china_actuary_8,出资向供货人购买租赁物件，并租给承租人使用，承租人则分期向出租人支付租金，这类租赁业务称为____。 | 利用衍生工具的公允价值进行套期保值的是____。 | ____是能为个人和公司提供各种产品和全面服务的营销渠道。 | 分期付款业务手续费包括以下的____。 | 抵押人在抵押物价值____所担保债权的余额部分的情况下可以同时或者先后就同一项财产向两个以上的债权人进行抵押。
金融学大类,投资学,债券定价与久期,利率敏感性与收益率,69,,manual_inv_option_hedge_ratio_meaning|manual_inv_protective_put_breakeven|manual_inv_bond_present_value_pricing|manual_inv_forward_rate_expected_return|manual_inv_coupon_bond_reinvestment_risk|manual_inv_bond_duration_price_sensitivity|manual_inv_convertible_value_premium|manual_inv_discount_bond_price_convergence|manual_inv_bond_dirty_clean_price|manual_fund_bond_embedded_terms|manual_fund_guaranteed_bond_classification|manual_cf_perpetual_bond_pricing|manual_fm_modified_duration_price_change|manual_fineng_interest_rate_futures_long_hedge|manual_fineng_derivative_contract_types,期权对冲比率含义 | 看跌期权保护性头寸保本价格 | 债券定价现值公式 | 远期利率与预期收益率 | 息票债券再投资风险
会计学大类,财务会计,收入费用利润,确认与期间归属,63,,manual_acc_employee_housing_benefit_long_deferred|manual_acc_eps_basic|manual_acc_cash_flow_indirect_method|manual_acc_accumulated_paid_absence|manual_acc_revenue|auto_neuron_FinEval_Accounting_neurons_accounting_40|auto_neuron_FinEval_Accounting_neurons_cost_accounting_6|auto_neuron_FinEval_Accounting_neurons_cost_accounting_16|auto_neuron_FinEval_Accounting_neurons_cost_accounting_19|auto_neuron_FinEval_Accounting_neurons_cost_accounting_36|auto_neuron_FinEval_Accounting_neurons_cost_accounting_38|auto_neuron_FinEval_Accounting_neurons_management_accounting_0|auto_neuron_FinEval_Accounting_neurons_management_accounting_1|auto_neuron_FinEval_Accounting_neurons_management_accounting_28|auto_neuron_FinEval_Accounting_neurons_auditing_33,低价售房职工福利长期递延 | 基本每股收益 EPS | 现金流量表间接法 | 累积带薪缺勤 | 收入确认五步法
金融学大类,金融监管与从业资格,证券基金市场监管,产品制度与合规,53,,manual_sec_compliance_officer_part_time_boundary|manual_sec_compliance_asset_management_no_promised_return|manual_fund_regional_equity_market_function|manual_fund_value_added_services|manual_fund募集回访方式|manual_fund_entrusted_distribution|manual_fund_custody_agreement_definition|manual_mf_world_bank_group_boundary|manual_mf_direct_securities_issuance|manual_central_bank_open_market_operation_target|manual_central_bank_reserve_requirement_subjects|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_68|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_92|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_118|auto_neuron_FinEval_neurons_central_banking_7,合规管理人员兼职边界 | 受托投资管理不得承诺收益 | 区域性股权市场功能 | 增值服务价值 | 募集回访方式
会计学大类,高级财务会计,合并与特殊会计,合并报表与特殊事项,45,,manual_afa_inflation_accounting_cost_benefit|manual_acc_step_acquisition_common_control_capital_reserve|manual_acc_common_control_longterm_investment_goodwill|manual_acc_consolidation|auto_neuron_FinEval_Accounting_neurons_accounting_26|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_0|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_1|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_2|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_5|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_14|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_22|auto_neuron_FinEval_Accounting_neurons_management_accounting_12|auto_neuron_FinEval_Accounting_neurons_management_accounting_15|auto_neuron_FinEval_Accounting_neurons_management_accounting_16|auto_neuron_FinEval_Accounting_neurons_management_accounting_17,通货膨胀会计模式选择原则 | 同控分步取得控制资本公积 | 同控合并长投成本含原商誉 | 合并财务报表 | 乙公司是甲公司的母公司。截至2014年1月1日，甲公司以银行存款350万元购买了丁公司80$\%$的股权（非同一控制下的控股合并），并具备对丁公司财务和经营政策
金融学大类,银行与货币金融,商业银行经营与监管,信用风险与合规流程,45,,manual_cf_simple_interest_present_value|manual_finance_central_bank_business_counterparties|manual_finance_bank_credit_instrument_creation|manual_central_bank_excess_reserve_money_multiplier|manual_central_bank_broad_money_boundary|manual_central_bank_interest_rate_target_features|manual_central_bank_monetary_policy_primary_goal|manual_central_bank_monetary_statistics_parallel|manual_central_bank_clearing_methods|manual_central_bank_deposit_business_features|manual_central_bank_transparency_principle|manual_central_bank_bank_of_issue|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_7|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_18|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_25,单利现值 | 央行业务对象 | 银行创造信用流通工具职能 | 超额准备金与货币乘数 | 广义货币供给构成边界
法学与监管大类,经济法,商事法律制度,主体、交易与监管,43,,manual_econlaw_regional_equity_market_trade|manual_econlaw_legal_fact_scope|auto_neuron_FinEval_neurons_accounting_3|auto_neuron_FinEval_neurons_auditing_35|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_17|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_43|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_54|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_61|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_78|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_91|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_102|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_107|auto_neuron_FinEval_neurons_central_banking_2|auto_neuron_FinEval_neurons_central_banking_15|auto_neuron_FinEval_neurons_central_banking_17,区域性股权市场交易方式 | 法律事实范围 | 企业应当在履行了合同中的履约义务，即在____时确认收入。 | 内部控制制度是单位内部建立的使各项业务活动互相联系、互相制约的措施、方法和规程。下列与销售相关的内部控制中，与销售收入的 | 以下关于市场准入的描述中，错误的是____。
经济学大类,微观经济学,市场与决策,供需、弹性与市场结构,43,定义概念|机制规律|政策效应|图形/模型|计算题型,manual_econ_utility_max_mrs_price_ratio|manual_econ_mrs_exchange_direction|manual_econ_law_of_demand|manual_econ_price_support_surplus_purchase|manual_econ_satiation_vertical_indifference_curve|manual_econ_inferior_goods|manual_econ_total_product_mp_zero|manual_econ_first_degree_price_discrimination|manual_econ_cournot_model|manual_econ_rent_seeking|manual_econ_wage_income_effect_labor_supply|manual_econ_market_labor_supply|manual_econ_factor_demand_marginal_product|manual_econ_average_revenue_market_structure|manual_econ_perfect_competition_total_revenue,效用最大化与相对价格 | MRS 与互利交换方向 | 需求规律 | 支持价格 | 饱和商品与垂直无差异曲线
会计学大类,成本会计,成本计算与成本控制,产品成本与成本管理,39,,auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_25|auto_neuron_FinEval_Accounting_neurons_cost_accounting_11|auto_neuron_FinEval_Accounting_neurons_cost_accounting_13|auto_neuron_FinEval_Accounting_neurons_cost_accounting_17|auto_neuron_FinEval_Accounting_neurons_cost_accounting_20|auto_neuron_FinEval_Accounting_neurons_cost_accounting_23|auto_neuron_FinEval_Accounting_neurons_cost_accounting_26|auto_neuron_FinEval_Accounting_neurons_cost_accounting_27|auto_neuron_FinEval_Accounting_neurons_cost_accounting_34|auto_neuron_FinEval_Accounting_neurons_management_accounting_21|auto_neuron_FinEval_neurons_advanced_financial_accounting_25|auto_neuron_FinEval_neurons_cost_accounting_8|auto_neuron_FinEval_neurons_cost_accounting_11|auto_neuron_FinEval_neurons_cost_accounting_13,因通货膨胀而导致置存资产虚增的价值不列入利润表的做法，属于____。 | 按本期一般物价指数将历史成本会计报表中各项会计数据加以调整称为一般物价水平会计，其计价单位一般是____。 | 分配加工费用时所采用的在产品完工率，是指在产品____。 | 产品成本计算的基本方法和辅助方法的区分标准是____。 | 在计算完工产品成本时不计算在产品成本的必备条件是____。
会计学大类,金融工程,衍生品与风险管理,无套利定价与套保,36,,manual_futures_fx_hedge_payable_usd|manual_futures_hedging_lock_cost|manual_futures_option_buyer_right|manual_fm_futures_carry_arbitrage|manual_fineng_forward_contract_definition|manual_finance_derivatives_functions|auto_neuron_FinEval_Accounting_neurons_accounting_1|auto_neuron_FinEval_Accounting_neurons_financial_management_4|auto_neuron_FinEval_Accounting_neurons_financial_management_14|auto_neuron_FinEval_Accounting_neurons_financial_management_15|auto_neuron_FinEval_Accounting_neurons_financial_management_16|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_7|auto_neuron_FinEval_neurons_accounting_1|auto_neuron_FinEval_neurons_cost_accounting_1|auto_neuron_FinEval_neurons_finance_12,美元应付款套保方向 | 套期保值锁定生产成本 | 期权买方权利 | 期货持有成本套利 | 金融远期合约定义
税法与财政大类,税法与财政,税收制度,纳税义务与征管,35,,manual_public_finance_preferential_trade_arrangements|auto_neuron_FinEval_neurons_accounting_9|auto_neuron_FinEval_neurons_accounting_21|auto_neuron_FinEval_neurons_certified_practising_accountant_22|auto_neuron_FinEval_neurons_certified_practising_accountant_23|auto_neuron_FinEval_neurons_certified_practising_accountant_29|auto_neuron_FinEval_neurons_certified_practising_accountant_31|auto_neuron_FinEval_neurons_certified_practising_accountant_32|auto_neuron_FinEval_neurons_certified_practising_accountant_34|auto_neuron_FinEval_neurons_certified_practising_accountant_36|auto_neuron_FinEval_neurons_corporate_finance_6|auto_neuron_FinEval_neurons_economic_law_21|auto_neuron_FinEval_neurons_intermediate_financial_accounting_11|auto_neuron_FinEval_neurons_intermediate_financial_accounting_14|auto_neuron_FinEval_neurons_macroeconomics_13,特惠贸易安排类型 | 某日甲公司向乙公司一次购进了三套不同型号且有不同生产能力的设备X、Y和Z。甲公司以银行存款支付货款800000元、包装费 | 甲公司对投资性房地产采用成本模式进行后续计量。自20×1年1月1日起，甲公司将一项投资性房地产出租给某单位，租期为4年， | 下列产品中，在计算缴纳消费税时准许扣除外购应税消费品已纳消费税的是____。 | 以下哪种产品适用于千消费税征税？
会计学大类,税法,增值税,征税范围、税率与抵扣,33,,manual_acc_nonmonetary_benefit_self_product|manual_tax_auction_purchase_tax_basis|manual_tax_urban_maintenance_construction_tax_base|manual_tax_vat|auto_neuron_FinEval_Accounting_neurons_accounting_0|auto_neuron_FinEval_Accounting_neurons_accounting_4|auto_neuron_FinEval_Accounting_neurons_accounting_10|auto_neuron_FinEval_Accounting_neurons_accounting_11|auto_neuron_FinEval_Accounting_neurons_accounting_20|auto_neuron_FinEval_Accounting_neurons_accounting_38|auto_neuron_FinEval_Accounting_neurons_cost_accounting_3|auto_neuron_FinEval_Accounting_neurons_management_accounting_3|auto_neuron_FinEval_Accounting_neurons_tax_law_0|auto_neuron_FinEval_Accounting_neurons_tax_law_2|auto_neuron_FinEval_Accounting_neurons_tax_law_8,自产产品发放职工福利 | 竞拍所得计税基础 | 城市维护建设税计税基础 | 增值税一般纳税人与小规模纳税人 | 甲公司2×14年12月20日与乙公司签订商品销售合同。合同约定：甲公司需承担在商品运抵乙公司前灭失、毁损、价值变动等风险，于2×15年5月20日前将合同标的商品
会计学大类,公司金融,资本预算与资本结构,现金流与资本成本,32,,manual_cf_project_npv_ocf|manual_cf_old_equipment_initial_cash_flow|manual_fm_reinvestment_pe_ratio|manual_fin_npv|manual_fin_irr|manual_fin_wacc|auto_neuron_FinEval_Accounting_neurons_management_accounting_22|auto_neuron_FinEval_Accounting_neurons_financial_management_11|auto_neuron_FinEval_Accounting_neurons_financial_management_12|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_25|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_59|auto_neuron_FinEval_neurons_certified_management_accountant_14|auto_neuron_FinEval_neurons_certified_management_accountant_15|auto_neuron_FinEval_neurons_certified_management_accountant_16|auto_neuron_FinEval_neurons_corporate_finance_17,项目NPV经营现金流 | 旧设备继续使用初始现金流 | 再投资与市盈率 | 净现值 NPV | 内部收益率 IRR
经济学大类,宏观经济学,宏观总量与政策,产出、价格与政策传导,32,,manual_public_finance_expansionary_policy_boundary|manual_public_finance_local_government_dual_role|manual_macro_natural_unemployment_flow_model|manual_macro_okun_law|manual_macro_inflation_rate|manual_macro_real_gdp_base_price|manual_macro_gdp_deflator_nominal_gdp|manual_macro_tax_cut_multiplier|manual_macro_multiplier_accelerator_cycle|manual_macro_repressed_inflation|manual_macro_structural_unemployment|manual_macro_expenditure_gdp|auto_neuron_FinEval_neurons_central_banking_22|auto_neuron_FinEval_neurons_china_actuary_14|auto_neuron_FinEval_neurons_macroeconomics_0,扩张性财政政策适用条件 | 地方政府财政政策双重角色 | 自然失业率流量模型 | 奥肯定律 | 通货膨胀率
会计学大类,税法,企业所得税,应纳税所得额与抵免,30,,manual_acc_investment_property_cost_to_fair_value|manual_tax_foreign_income_credit|manual_tax_nonresident_eit_assessment|manual_tax_property_transfer_pit_assessment|auto_neuron_FinEval_Accounting_neurons_accounting_23|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_10|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_22|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_10|auto_neuron_FinEval_Accounting_neurons_tax_law_3|auto_neuron_FinEval_Accounting_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_tax_law_12|auto_neuron_FinEval_Accounting_neurons_tax_law_13|auto_neuron_FinEval_Accounting_neurons_tax_law_14|auto_neuron_FinEval_Accounting_neurons_tax_law_17|auto_neuron_FinEval_Accounting_neurons_tax_law_34,投资性房地产成本模式转公允价值模式 | 境外所得抵免 | 非居民企业核定征收所得税 | 财产转让个人所得税核定 | 甲公司将一栋商业大楼出租给乙公司使用，并一直采用成本模式进行后续计量，税法对其成本模式计量口径是认可的。2015年1月1日，由于房地产交易市场的成熟，具备了采用
税法与财政大类,税法,增值税,征税范围、税率与抵扣,30,,manual_public_finance_import_tax_types|auto_neuron_FinEval_neurons_accounting_0|auto_neuron_FinEval_neurons_accounting_4|auto_neuron_FinEval_neurons_accounting_5|auto_neuron_FinEval_neurons_accounting_10|auto_neuron_FinEval_neurons_accounting_11|auto_neuron_FinEval_neurons_accounting_20|auto_neuron_FinEval_neurons_accounting_38|auto_neuron_FinEval_neurons_certified_practising_accountant_20|auto_neuron_FinEval_neurons_certified_practising_accountant_21|auto_neuron_FinEval_neurons_certified_practising_accountant_28|auto_neuron_FinEval_neurons_certified_practising_accountant_35|auto_neuron_FinEval_neurons_cost_accounting_3|auto_neuron_FinEval_neurons_management_accounting_3|auto_neuron_FinEval_neurons_public_finance_8,进口环节税种 | 甲公司2×14年12月20日与乙公司签订商品销售合同。合同约定：甲公司需承担在商品运抵乙公司前灭失、毁损、价值变动等风险 | 202x年1月8日，甲公司与乙公司进行债务重组，重组日甲公司应收乙公司账款账面余额为200万元，已提坏账准备20万元，其 | 甲公司在非同一控制下企业合并中取得10台生产设备，合并日以公允价值计量这些生产设备。甲公司可以进入X市场或Y市场出售这些 | 某增值税一般纳税企业自建生产线，购入工程物资300万元，增值税税额为26万元，已全部用于建造生产线；耗用库存材料30万元
统计学大类,概率统计,概率分布,随机变量与分布,29,,manual_bp_normal_95_interval|manual_stat_tpl_sample_mean_variance|manual_stat_tpl_clt_sample_mean|manual_stat_tpl_normal_standardization|manual_stat_tpl_discrete_distribution_normalization|manual_stat_tpl_probability_set|manual_stat_tpl_chebyshev|manual_stat_tpl_mode_mean_median|manual_stat_tpl_normal_empirical_rule|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_21|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_27|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_35|auto_neuron_FinEval_neurons_china_actuary_1|auto_neuron_FinEval_neurons_china_actuary_24|auto_neuron_FinEval_neurons_corporate_finance_9,正态分布95%区间 | 样本均值方差 | 中心极限定理与样本均值 | 正态标准化 | 离散分布归一化
会计学大类,管理会计,预算控制与经营决策,内部管理决策,28,,manual_cma_procurement_value_chain_objective|manual_ma_estimated_liability_tax_base_warranty|manual_ma_management_vs_financial_accounting_user_purpose|manual_afa_deferred_tax_liability_tax_depreciation_greater|manual_ifa_equity_method_bargain_purchase_and_profit_share|manual_bp_sales_cost_ratio_cash_impact|auto_neuron_FinEval_Accounting_neurons_accounting_14|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_11|auto_neuron_FinEval_Accounting_neurons_cost_accounting_28|auto_neuron_FinEval_Accounting_neurons_management_accounting_5|auto_neuron_FinEval_Accounting_neurons_financial_management_3|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_16|auto_neuron_FinEval_neurons_accounting_14|auto_neuron_FinEval_neurons_accounting_15|auto_neuron_FinEval_neurons_advanced_financial_accounting_24,采购管理部门价值链目标 | 产品质量保证预计负债计税基础 | 管理会计与财务会计核心区别 | 税法折旧大于会计折旧递延所得税负债 | 权益法初始利得与投资收益
金融学大类,投资学,资产定价,风险收益与估值,28,,manual_inv_bond_default_risk_premium|manual_inv_henriksson_market_timing_beta|manual_inv_single_period_stock_pv|manual_inv_constant_growth_ddm|manual_inv_expected_holding_period_return|manual_inv_bjs_capm_empirical_slope|manual_cf_capm_equity_required_return|manual_fm_constant_growth_required_return|manual_fm_capm_required_return|manual_fm_two_stage_dividend_valuation|auto_neuron_FinEval_neurons_certified_management_accountant_4|auto_neuron_FinEval_neurons_certified_management_accountant_5|auto_neuron_FinEval_neurons_china_actuary_39|auto_neuron_FinEval_neurons_corporate_finance_20|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_2,债券违约风险溢价 | Henriksson市场时机实证结论 | 单期股票现值 | 固定增长股利贴现模型 | 股票预期持有期收益率
