card_id,group,subject,chinese_name,sub_concept,node_type,matched_question_count,definition_clues,regularity_clues,trap_clues,example_count,priority
ceval_card.college_programming.008.return,computer,college_programming,大学编程,return,formula_or_calculation,25,0,0,0,8,83
ceval_card.operating_system.037.状态,computer,operating_system,操作系统,状态,formula_or_calculation,21,2,0,2,8,79
ceval_card.ideological_and_moral_cultivation.003.爱国主义,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,爱国主义,concept,20,4,1,0,8,78
ceval_card.college_programming.007.endl,computer,college_programming,大学编程,endl,concept,23,0,0,0,8,77
ceval_card.electrical_engineer.017.计算,engineering,electrical_engineer,注册电气工程师,计算,formula_or_calculation,23,0,0,0,8,77
ceval_card.metrology_engineer.012.测量结果,engineering,metrology_engineer,注册计量师,测量结果,regulation_or_standard,23,0,0,0,8,77
ceval_card.physician.022.子宫,medicine,physician,医师资格,子宫,concept,23,0,0,0,8,77
ceval_card.computer_architecture.009.直接,computer,computer_architecture,计算机组成,直接,formula_or_calculation,22,0,0,0,8,74
ceval_card.electrical_engineer.015.10kV,engineering,electrical_engineer,注册电气工程师,10kV,formula_or_calculation,22,0,0,0,8,74
ceval_card.ideological_and_moral_cultivation.001.人生目的,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生目的,abstraction_or_regularity,22,0,0,0,8,74
ceval_card.clinical_medicine.002.女性,medicine,clinical_medicine,临床医学,女性,regulation_or_standard,22,0,0,0,8,74
ceval_card.physician.001.男性,medicine,physician,医师资格,男性,concept,22,0,0,0,8,74
ceval_card.computer_network.007.数据链路层,computer,computer_network,计算机网络,数据链路层,concept,21,0,0,0,8,71
ceval_card.environmental_impact_assessment_engineer.002.中华人民共和国环境影响评价法,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,中华人民共和国环境影响评价法,regulation_or_standard,21,0,0,0,8,71
ceval_card.clinical_medicine.032.贫血,medicine,clinical_medicine,临床医学,贫血,abstraction_or_regularity,20,0,0,0,8,68
ceval_card.fire_engineer.003.错误的是,engineering,fire_engineer,注册消防工程师,错误的是,formula_or_calculation,20,0,0,0,8,68
ceval_card.college_programming.016.char,computer,college_programming,大学编程,char,formula_or_calculation,19,0,0,0,8,65
ceval_card.college_programming.031.ch,computer,college_programming,大学编程,ch,abstraction_or_regularity,19,0,0,0,8,65
ceval_card.metrology_engineer.037.被测量,engineering,metrology_engineer,注册计量师,被测量,abstraction_or_regularity,19,0,0,0,8,65
ceval_card.mao_zedong_thought.004.毛泽东思想,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,毛泽东思想,concept,19,0,0,0,8,65
ceval_card.physician.016.出血,medicine,physician,医师资格,出血,concept,19,0,0,0,8,65
ceval_card.computer_architecture.001.Cache,computer,computer_architecture,计算机组成,Cache,formula_or_calculation,18,0,0,0,8,62
ceval_card.college_programming.015.private,computer,college_programming,大学编程,private,concept,18,0,0,0,8,62
ceval_card.electrical_engineer.004.2m,engineering,electrical_engineer,注册电气工程师,2m,formula_or_calculation,18,0,0,0,8,62
ceval_card.electrical_engineer.019.10m,engineering,electrical_engineer,注册电气工程师,10m,regulation_or_standard,18,0,0,0,8,62
ceval_card.marxism.026.的观点,politics_history,marxism,马克思主义基本原理,的观点,concept,18,0,0,0,8,62
ceval_card.modern_chinese_history.023.农民,politics_history,modern_chinese_history,近代史纲要,农民,concept,18,0,0,0,8,62
ceval_card.operating_system.033.存储管理,computer,operating_system,操作系统,存储管理,concept,16,1,1,0,8,60
ceval_card.computer_architecture.003.正确的是,computer,computer_architecture,计算机组成,正确的是,formula_or_calculation,17,0,0,0,8,59
ceval_card.college_programming.022.std,computer,college_programming,大学编程,std,abstraction_or_regularity,17,0,0,0,8,59
ceval_card.mao_zedong_thought.001.实事求是,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,实事求是,formula_or_calculation,17,0,0,0,8,59
ceval_card.middle_school_history.003.英国,politics_history,middle_school_history,初中历史,英国,concept,17,0,0,0,8,59
ceval_card.physician.014.正确的是,medicine,physician,医师资格,正确的是,concept,17,0,0,0,8,59
ceval_card.ideological_and_moral_cultivation.012.理想信念,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想信念,concept,16,1,0,0,8,58
ceval_card.college_programming.020.using,computer,college_programming,大学编程,using,abstraction_or_regularity,16,0,0,0,8,56
ceval_card.college_programming.021.namespace,computer,college_programming,大学编程,namespace,abstraction_or_regularity,16,0,0,0,8,56
ceval_card.ideological_and_moral_cultivation.002.人生态度,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生态度,concept,16,0,0,0,8,56
ceval_card.ideological_and_moral_cultivation.005.人生价值,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生价值,abstraction_or_regularity,16,0,0,0,8,56
ceval_card.middle_school_history.005.法国,politics_history,middle_school_history,初中历史,法国,concept,14,1,1,1,8,56
ceval_card.physician.005.女性,medicine,physician,医师资格,女性,formula_or_calculation,16,0,0,0,8,56
ceval_card.computer_network.003.传输层,computer,computer_network,计算机网络,传输层,concept,15,1,0,0,8,55
ceval_card.computer_architecture.038.32位,computer,computer_architecture,计算机组成,32位,formula_or_calculation,10,4,4,0,8,54
ceval_card.computer_network.027.序号,computer,computer_network,计算机网络,序号,concept,15,0,0,0,8,53
ceval_card.computer_network.038.报文段,computer,computer_network,计算机网络,报文段,concept,15,0,0,0,8,53
ceval_card.electrical_engineer.024.5kV,engineering,electrical_engineer,注册电气工程师,5kV,formula_or_calculation,15,0,0,0,8,53
ceval_card.middle_school_history.041.美国,politics_history,middle_school_history,初中历史,美国,concept,15,0,0,0,8,53
ceval_card.metrology_engineer.007.正确的是,engineering,metrology_engineer,注册计量师,正确的是,formula_or_calculation,12,0,2,2,8,52
ceval_card.computer_architecture.002.内存,computer,computer_architecture,计算机组成,内存,formula_or_calculation,13,2,0,0,8,51
ceval_card.environmental_impact_assessment_engineer.019.的规定,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,的规定,formula_or_calculation,11,2,3,0,8,51
ceval_card.computer_network.025.CSMA,computer,computer_network,计算机网络,CSMA,concept,14,0,0,0,8,50
ceval_card.college_programming.017.const,computer,college_programming,大学编程,const,formula_or_calculation,14,0,0,0,8,50
ceval_card.electrical_engineer.005.3m,engineering,electrical_engineer,注册电气工程师,3m,formula_or_calculation,14,0,0,0,8,50
ceval_card.electrical_engineer.009.20m,engineering,electrical_engineer,注册电气工程师,20m,concept,14,0,0,0,8,50
ceval_card.high_school_politics.001.这说明,politics_history,high_school_politics,高中政治,这说明,formula_or_calculation,14,0,0,0,8,50
ceval_card.middle_school_politics.039.规定,politics_history,middle_school_politics,初中政治,规定,regulation_or_standard,14,0,0,0,8,50
ceval_card.middle_school_history.017.唐朝,politics_history,middle_school_history,初中历史,唐朝,concept,14,0,0,0,8,50
ceval_card.clinical_medicine.021.出血,medicine,clinical_medicine,临床医学,出血,concept,12,1,1,1,8,50
ceval_card.fire_engineer.004.00h,engineering,fire_engineer,注册消防工程师,00h,regulation_or_standard,14,0,0,0,8,50
ceval_card.environmental_impact_assessment_engineer.005.下列选项中,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,下列选项中,regulation_or_standard,14,0,0,0,8,50
ceval_card.physician.008.发热,medicine,physician,医师资格,发热,regulation_or_standard,14,0,0,0,8,50
ceval_card.computer_network.018.流量控制,computer,computer_network,计算机网络,流量控制,procedure,13,1,0,0,8,49
ceval_card.middle_school_politics.002.对此,politics_history,middle_school_politics,初中政治,对此,regulation_or_standard,13,0,0,1,8,49
ceval_card.fire_engineer.024.8m,engineering,fire_engineer,注册消防工程师,8m,formula_or_calculation,13,1,0,0,8,49
ceval_card.high_school_politics.002.这表明,politics_history,high_school_politics,高中政治,这表明,abstraction_or_regularity,12,0,0,2,8,48
ceval_card.college_programming.039.在C,computer,college_programming,大学编程,在C,formula_or_calculation,13,0,0,0,8,47
ceval_card.electrical_engineer.011.1m,engineering,electrical_engineer,注册电气工程师,1m,formula_or_calculation,13,0,0,0,8,47
ceval_card.electrical_engineer.025.4m,engineering,electrical_engineer,注册电气工程师,4m,formula_or_calculation,13,0,0,0,8,47
ceval_card.electrical_engineer.027.110kV,engineering,electrical_engineer,注册电气工程师,110kV,formula_or_calculation,13,0,0,0,8,47
ceval_card.middle_school_politics.001.这说明,politics_history,middle_school_politics,初中政治,这说明,regulation_or_standard,13,0,0,0,8,47
ceval_card.fire_engineer.008.3m,engineering,fire_engineer,注册消防工程师,3m,formula_or_calculation,13,0,0,0,8,47
ceval_card.fire_engineer.017.B1,engineering,fire_engineer,注册消防工程师,B1,formula_or_calculation,11,3,0,0,8,47
ceval_card.fire_engineer.022.20m,engineering,fire_engineer,注册消防工程师,20m,regulation_or_standard,13,0,0,0,8,47
ceval_card.environmental_impact_assessment_engineer.003.环境影响评价技术导则声环境,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,环境影响评价技术导则声环境,formula_or_calculation,13,0,0,0,8,47
ceval_card.physician.003.查体,medicine,physician,医师资格,查体,formula_or_calculation,13,0,0,0,8,47
ceval_card.physician.039.医生,medicine,physician,医师资格,医生,regulation_or_standard,13,0,0,0,8,47
ceval_card.computer_network.004.网络层,computer,computer_network,计算机网络,网络层,concept,12,1,0,0,8,46
ceval_card.middle_school_history.001.上海,politics_history,middle_school_history,初中历史,上海,abstraction_or_regularity,12,1,0,0,8,46
ceval_card.operating_system.039.部分,computer,operating_system,操作系统,部分,formula_or_calculation,9,3,2,0,8,45
ceval_card.basic_medicine.001.下列选项中,medicine,basic_medicine,基础医学,下列选项中,concept,11,0,0,2,8,45
ceval_card.clinical_medicine.008.血气分析,medicine,clinical_medicine,临床医学,血气分析,formula_or_calculation,11,2,0,0,8,45
ceval_card.computer_network.037.分组,computer,computer_network,计算机网络,分组,concept,12,0,0,0,8,44
ceval_card.operating_system.027.系统调用,computer,operating_system,操作系统,系统调用,concept,12,0,0,0,8,44
ceval_card.computer_architecture.020.通用寄存器,computer,computer_architecture,计算机组成,通用寄存器,formula_or_calculation,12,0,0,0,8,44
ceval_card.computer_architecture.041.DMA,computer,computer_architecture,计算机组成,DMA,concept,12,0,0,0,8,44
ceval_card.electrical_engineer.014.8m,engineering,electrical_engineer,注册电气工程师,8m,concept,12,0,0,0,8,44
ceval_card.electrical_engineer.016.15m,engineering,electrical_engineer,注册电气工程师,15m,concept,12,0,0,0,8,44
ceval_card.electrical_engineer.020.30m,engineering,electrical_engineer,注册电气工程师,30m,concept,12,0,0,0,8,44
ceval_card.electrical_engineer.028.220kV,engineering,electrical_engineer,注册电气工程师,220kV,formula_or_calculation,12,0,0,0,8,44
ceval_card.metrology_engineer.001.测量标准,engineering,metrology_engineer,注册计量师,测量标准,regulation_or_standard,12,0,0,0,8,44
ceval_card.modern_chinese_history.005.工人,politics_history,modern_chinese_history,近代史纲要,工人,concept,12,0,0,0,8,44
ceval_card.middle_school_history.043.北京,politics_history,middle_school_history,初中历史,北京,concept,12,0,0,0,8,44
ceval_card.clinical_medicine.005.错误的是,medicine,clinical_medicine,临床医学,错误的是,formula_or_calculation,12,0,0,0,8,44
ceval_card.clinical_medicine.038.支气管扩张,medicine,clinical_medicine,临床医学,支气管扩张,concept,12,0,0,0,8,44
ceval_card.fire_engineer.005.50h,engineering,fire_engineer,注册消防工程师,50h,regulation_or_standard,12,0,0,0,8,44
ceval_card.fire_engineer.007.不正确的是,engineering,fire_engineer,注册消防工程师,不正确的是,formula_or_calculation,12,0,0,0,8,44
ceval_card.fire_engineer.015.2m,engineering,fire_engineer,注册消防工程师,2m,formula_or_calculation,12,0,0,0,8,44
ceval_card.environmental_impact_assessment_engineer.004.中华人民共和国环境保护法,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,中华人民共和国环境保护法,regulation_or_standard,12,0,0,0,8,44
ceval_card.environmental_impact_assessment_engineer.022.依据,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,依据,regulation_or_standard,12,0,0,0,8,44
ceval_card.ideological_and_moral_cultivation.027.情感,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,情感,concept,9,3,1,0,8,43
ceval_card.high_school_politics.024.同时,politics_history,high_school_politics,高中政治,同时,formula_or_calculation,7,2,0,5,7,42
ceval_card.computer_network.026.错误的是,computer,computer_network,计算机网络,错误的是,formula_or_calculation,11,0,0,0,8,41
ceval_card.operating_system.002.在Unix中,computer,operating_system,操作系统,在Unix中,concept,11,0,0,0,8,41
ceval_card.operating_system.003.Windows,computer,operating_system,操作系统,Windows,concept,11,0,0,0,8,41
ceval_card.electrical_engineer.002.min,engineering,electrical_engineer,注册电气工程师,min,formula_or_calculation,11,0,0,0,8,41
ceval_card.mao_zedong_thought.002.三个代表,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,三个代表,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.mao_zedong_thought.008.邓小平理论,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,邓小平理论,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.mao_zedong_thought.010.重要思想,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,重要思想,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.modern_chinese_history.004.民族资产阶级,politics_history,modern_chinese_history,近代史纲要,民族资产阶级,concept,11,0,0,0,8,41
ceval_card.ideological_and_moral_cultivation.011.人生观,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,人生观,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.ideological_and_moral_cultivation.044.社会价值,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,社会价值,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.high_school_history.028.这说明,politics_history,high_school_history,高中历史,这说明,abstraction_or_regularity,11,0,0,0,8,41
ceval_card.clinical_medicine.009.再生障碍性贫血,medicine,clinical_medicine,临床医学,再生障碍性贫血,concept,11,0,0,0,8,41
ceval_card.fire_engineer.028.min,engineering,fire_engineer,注册消防工程师,min,formula_or_calculation,11,0,0,0,8,41
ceval_card.fire_engineer.038.30m,engineering,fire_engineer,注册消防工程师,30m,concept,11,0,0,0,8,41
ceval_card.physician.007.呕吐,medicine,physician,医师资格,呕吐,concept,11,0,0,0,8,41
ceval_card.computer_network.006.应用层,computer,computer_network,计算机网络,应用层,formula_or_calculation,10,1,0,0,8,40
ceval_card.mao_zedong_thought.036.指出,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,指出,formula_or_calculation,10,0,0,1,8,40
ceval_card.middle_school_politics.017.合作,politics_history,middle_school_politics,初中政治,合作,abstraction_or_regularity,10,1,0,0,8,40
ceval_card.mao_zedong_thought.007.人民当家作主,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,人民当家作主,formula_or_calculation,9,1,0,1,8,39
ceval_card.high_school_politics.026.教育,politics_history,high_school_politics,高中政治,教育,regulation_or_standard,9,0,0,2,8,39
ceval_card.operating_system.005.信号量,computer,operating_system,操作系统,信号量,concept,10,0,0,0,8,38
ceval_card.computer_architecture.004.错误的是,computer,computer_architecture,计算机组成,错误的是,formula_or_calculation,10,0,0,0,8,38
ceval_card.computer_architecture.042.磁盘,computer,computer_architecture,计算机组成,磁盘,formula_or_calculation,10,0,0,0,8,38
ceval_card.metrology_engineer.002.检定证书,engineering,metrology_engineer,注册计量师,检定证书,regulation_or_standard,10,0,0,0,8,38
ceval_card.middle_school_politics.028.人民代表大会,politics_history,middle_school_politics,初中政治,人民代表大会,regulation_or_standard,10,0,0,0,8,38
ceval_card.ideological_and_moral_cultivation.006.信仰,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,信仰,formula_or_calculation,10,0,0,0,8,38
ceval_card.ideological_and_moral_cultivation.010.为人民服务,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,为人民服务,formula_or_calculation,10,0,0,0,8,38
ceval_card.clinical_medicine.019.急性白血病,medicine,clinical_medicine,临床医学,急性白血病,concept,10,0,0,0,8,38
ceval_card.clinical_medicine.037.急性淋巴细胞性白血病,medicine,clinical_medicine,临床医学,急性淋巴细胞性白血病,concept,10,0,0,0,8,38
ceval_card.fire_engineer.016.4m,engineering,fire_engineer,注册消防工程师,4m,formula_or_calculation,10,0,0,0,8,38
ceval_card.environmental_impact_assessment_engineer.006.环境影响评价技术导则地表水环境,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,环境影响评价技术导则地表水环境,formula_or_calculation,10,0,0,0,8,38
ceval_card.environmental_impact_assessment_engineer.007.环境影响评价技术导则大气环境,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,环境影响评价技术导则大气环境,formula_or_calculation,10,0,0,0,8,38
ceval_card.environmental_impact_assessment_engineer.008.规划环境影响评价条例,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,规划环境影响评价条例,formula_or_calculation,10,0,0,0,8,38
ceval_card.environmental_impact_assessment_engineer.021.国务院环境保护行政主管部门,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,国务院环境保护行政主管部门,regulation_or_standard,10,0,0,0,8,38
ceval_card.environmental_impact_assessment_engineer.025.不符合,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,不符合,regulation_or_standard,10,0,0,0,8,38
ceval_card.physician.021.体检,medicine,physician,医师资格,体检,formula_or_calculation,10,0,0,0,8,38
ceval_card.fire_engineer.020.MPa,engineering,fire_engineer,注册消防工程师,MPa,regulation_or_standard,9,1,0,0,8,37
ceval_card.computer_network.011.路由器,computer,computer_network,计算机网络,路由器,formula_or_calculation,8,2,0,0,8,36
ceval_card.computer_architecture.043.PC,computer,computer_architecture,计算机组成,PC,concept,8,2,0,0,8,36
ceval_card.computer_architecture.008.立即,computer,computer_architecture,计算机组成,立即,formula_or_calculation,9,0,0,0,8,35
ceval_card.computer_architecture.016.间接,computer,computer_architecture,计算机组成,间接,formula_or_calculation,9,0,0,0,8,35
ceval_card.electrical_engineer.044.波长为,engineering,electrical_engineer,注册电气工程师,波长为,formula_or_calculation,9,0,0,0,8,35
ceval_card.marxism.020.唯物主义的,politics_history,marxism,马克思主义基本原理,唯物主义的,concept,9,0,0,0,8,35
ceval_card.marxism.041.不可知论,politics_history,marxism,马克思主义基本原理,不可知论,concept,9,0,0,0,8,35
ceval_card.high_school_politics.035.指出,politics_history,high_school_politics,高中政治,指出,regulation_or_standard,9,0,0,0,8,35
ceval_card.modern_chinese_history.019.南京,politics_history,modern_chinese_history,近代史纲要,南京,procedure,9,0,0,0,8,35
ceval_card.high_school_history.002.这表明,politics_history,high_school_history,高中历史,这表明,abstraction_or_regularity,9,0,0,0,8,35
ceval_card.middle_school_history.025.鸦片战争,politics_history,middle_school_history,初中历史,鸦片战争,concept,9,0,0,0,8,35
ceval_card.environmental_impact_assessment_engineer.009.建设项目环境保护管理条例,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,建设项目环境保护管理条例,formula_or_calculation,9,0,0,0,8,35
ceval_card.physician.006.30岁,medicine,physician,医师资格,30岁,formula_or_calculation,9,0,0,0,8,35
ceval_card.physician.009.腹痛,medicine,physician,医师资格,腹痛,concept,9,0,0,0,8,35
ceval_card.physician.037.3个月,medicine,physician,医师资格,3个月,concept,9,0,0,0,8,35
ceval_card.computer_network.005.在OSI参考模型中,computer,computer_network,计算机网络,在OSI参考模型中,formula_or_calculation,8,1,0,0,8,34
ceval_card.mao_zedong_thought.045.公平正义,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,公平正义,formula_or_calculation,8,1,0,0,8,34
ceval_card.clinical_medicine.003.PaO,medicine,clinical_medicine,临床医学,PaO,formula_or_calculation,8,1,0,0,8,34
ceval_card.clinical_medicine.004.PaCO,medicine,clinical_medicine,临床医学,PaCO,formula_or_calculation,8,1,0,0,8,34
ceval_card.environmental_impact_assessment_engineer.011.中华人民共和国海洋环境保护法,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,中华人民共和国海洋环境保护法,formula_or_calculation,7,1,2,0,7,34
ceval_card.computer_network.019.拥塞控制,computer,computer_network,计算机网络,拥塞控制,procedure,8,0,0,0,8,32
ceval_card.operating_system.014.管道,computer,operating_system,操作系统,管道,procedure,8,0,0,0,8,32
ceval_card.operating_system.029.就绪,computer,operating_system,操作系统,就绪,concept,8,0,0,0,8,32
ceval_card.computer_architecture.012.相对寻址,computer,computer_architecture,计算机组成,相对寻址,formula_or_calculation,7,2,0,0,7,32
ceval_card.computer_architecture.023.主存储器,computer,computer_architecture,计算机组成,主存储器,formula_or_calculation,8,0,0,0,8,32
ceval_card.computer_architecture.040.有关,computer,computer_architecture,计算机组成,有关,concept,8,0,0,0,8,32
ceval_card.college_programming.045.protected,computer,college_programming,大学编程,protected,concept,8,0,0,0,8,32
ceval_card.electrical_engineer.010.m2,engineering,electrical_engineer,注册电气工程师,m2,formula_or_calculation,8,0,0,0,8,32
ceval_card.metrology_engineer.011.错误的是,engineering,metrology_engineer,注册计量师,错误的是,formula_or_calculation,8,0,0,0,8,32
ceval_card.metrology_engineer.017.国家计量检定规程,engineering,metrology_engineer,注册计量师,国家计量检定规程,regulation_or_standard,8,0,0,0,8,32
ceval_card.marxism.008.客观唯心主义,politics_history,marxism,马克思主义基本原理,客观唯心主义,concept,8,0,0,0,8,32
ceval_card.marxism.018.辩证唯物主义,politics_history,marxism,马克思主义基本原理,辩证唯物主义,concept,8,0,0,0,8,32
ceval_card.mao_zedong_thought.006.各民族共同繁荣,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,各民族共同繁荣,regulation_or_standard,8,0,0,0,8,32
ceval_card.mao_zedong_thought.013.民族平等,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,民族平等,concept,8,0,0,0,8,32
ceval_card.mao_zedong_thought.019.依法治国,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,依法治国,formula_or_calculation,7,1,0,1,7,32
ceval_card.mao_zedong_thought.030.发展生产力,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,发展生产力,formula_or_calculation,8,0,0,0,8,32
ceval_card.mao_zedong_thought.031.与时俱进,politics_history,mao_zedong_thought,毛泽东思想和中国特色社会主义理论体系概论,与时俱进,formula_or_calculation,8,0,0,0,8,32
ceval_card.middle_school_politics.037.国家主席,politics_history,middle_school_politics,初中政治,国家主席,regulation_or_standard,8,0,0,0,8,32
ceval_card.modern_chinese_history.011.严复,politics_history,modern_chinese_history,近代史纲要,严复,concept,8,0,0,0,8,32
ceval_card.modern_chinese_history.013.康有为,politics_history,modern_chinese_history,近代史纲要,康有为,concept,8,0,0,0,8,32
ceval_card.modern_chinese_history.031.调整,politics_history,modern_chinese_history,近代史纲要,调整,concept,5,3,1,2,5,32
ceval_card.ideological_and_moral_cultivation.004.集体主义,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,集体主义,formula_or_calculation,8,0,0,0,8,32
ceval_card.middle_school_history.014.南京,politics_history,middle_school_history,初中历史,南京,concept,8,0,0,0,8,32
ceval_card.basic_medicine.018.纤维蛋白,medicine,basic_medicine,基础医学,纤维蛋白,concept,7,1,1,0,7,32
ceval_card.clinical_medicine.007.pH,medicine,clinical_medicine,临床医学,pH,formula_or_calculation,8,0,0,0,8,32
