ceval_subject,chinese_name,category,c1_status,jianmu_disciplines,dev_val_questions,semantic_hit_questions,semantic_hit_rate,semantic_connection_status,top_missing_terms,hit_examples_json
metrology_engineer,注册计量师,STEM,partial,自然科学大类|数学大类,29,0,0.0,semantic_gap,10|极差系数C|检定具有法制性|正确的是|在比对总结报告发出之前|间接测量法|符合测量法|错误的是|资质|执业|其对象是|范围内的测量仪器|全国|企业|法制管理|所有|其对象是法制管理范围内的测量仪器|在比对工作中|参考值的确定方法有多种|由主导实验室提出经专家组评审并征得|同意后确定|同行专家|参加实验室|比对组织者|主导实验室的领导,[]
high_school_mathematics,高中数学,STEM,covered,数学大类,23,21,0.913,semantic_connected,平面|alpha|beta|subset|为做好社区新冠疫情防控工作|需将五名志愿者分配到三个社区去开展工作|每名志愿者只分配到一个社区|每个社区至少分配一名志愿者|志愿者甲和乙必须去同一个社区|则不同的分配方法共有|12种|18种|24种|36种|已知|则下列结论一定正确是|n是平行直线|n是异面直线|n是共面直线|n是不相交直线,"[{""id"": 0, ""question"": ""已知函数$f(x)=\\sin(\\omega x-\\frac{\\pi}{6})(\\omega>0).$若f(x)在$\\left(0,\\frac{\\pi}{2}\\right)$上有且仅有三个极值点，则不正确的有____"", ""hits"": [[2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 1, ""question"": ""二项式$(\\sqrt[3]{3}+x)^{12}$的展开式中，系数为有理数的项的个数为____"", ""hits"": [[1, ""auto_neuron_数学_neurons_初中代数_0"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 2, ""question"": ""为加快新冠肺炎检测效率，某检测机构采取合并检测法，即将多人的拭子样本合并检测，若为阴性，则可以确定所有样本都是阴性的，若为阳性，则还需要对本组的每个人再做检测．现对20名密切接触者的拭子样本进行合并检测，每份样本的检测结果是阴性还是阳性都是相互独立的，每人检测结果呈阳性的概率为p，且检测次数的数学期望为20，则p的值为____"", ""hits"": [[3, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""manual_math_pythagorean"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_rule_数学_rules_函数与分析_3"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_rule_数学_rules_函数与分析_2"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_rule_数学_rules_函数与分析_1"", ""数学"", ""基础数学"", ""概念与方法""]]}]"
high_school_physics,高中物理,STEM,covered,自然科学大类,24,9,0.375,weakly_connected,frac|484|Omega|2E|固体收缩时|12|mv|kA|kB|控制变量法|下列说法正确的是|8m|2m|4m|mgh|分子间距增大|分子力表现为引力|分子力表现为斥力|分子间距减小|一个物体放在斜面上保持静止|该物体共受几个力的作用|4个|3个|2个|1个,"[{""id"": 2, ""question"": ""下列说法正确的是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_原子物理_0"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_化学_neurons_初中化学_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 3, ""question"": ""物体做匀速圆周运动时，下列说法正确的是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_曲线运动与万有引力_0"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 4, ""question"": ""以下哪些运动的加速度一定是恒量____"", ""hits"": [[1, ""auto_neuron_物理_neurons_运动学_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_物理_neurons_机械振动与波_0"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_物理_neurons_曲线运动与万有引力_0"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
high_school_chemistry,高中化学,STEM,covered,自然科学大类,24,6,0.25,weakly_connected,Cl|SO|2O|OH|35|和Al|Fe|11|mol|CO|BaSO|下列说法正确的是|Na|uparrow|CH|生成|盐酸|无法实现分离|A选项错误|3沉淀|B选项正确|pH|1mol|排除|元素Y,"[{""id"": 4, ""question"": ""下列物质属于共价化合物的是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_初中化学_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 0, ""question"": ""对于淀粉和纤维素两种物质，下列说法正确的是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_有机化学_5"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 9, ""question"": ""氯化铜的稀溶液在盐酸中呈黄绿色，存在的化学平衡$Cu(H_2O)_4]^{2+}（淡蓝色）+4Cl^- \\rightleftharpoons(CuCl4)^{2—}（黄绿色）+4H_2O$，下列可使溶液变成淡蓝色的方法是____"", ""hits"": [[1, ""auto_rule_化学_rules_化学反应_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_化学_neurons_化学反应速率与平衡_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
high_school_biology,高中生物,STEM,covered,自然科学大类,24,11,0.4583,weakly_connected,frac|受同一抗原刺激后|单倍体|体细胞内含有三个染色体组|分化|衰老|E47是人工合成的|由47个核苷酸组成的单链DNA分子|它可以催化两个DNA片段之间的连接|下列有关E47的分析|错误的是|A与T的比例不一定相等|具有双螺旋结构|具有酶的功能|碱基序列决定其特异性|E47是一个单链DNA分子|而双螺旋结构是由两条互补的DNA链通过碱|基配对形成的|所以E47不具有双螺旋结构|B选项错误|如果DNA分子上某一片段是基因|则该片段|携带遗传信息|上面有密码子|能转录产生mRNA,"[{""id"": 0, ""question"": ""某池塘生态系统的一条食物链为：浮游植物→浮游动物→鱼→水鸟。假如水鸟只依靠吃鱼来增加体重，那么每增加体重1千克，至少该生态系统内的浮游植物的量为____"", ""hits"": [[1, ""auto_neuron_生物_neurons_生态_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_生物_neurons_初中生物_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_生物_neurons_初中生物_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 2, ""question"": ""在减数分裂的第一次分裂过程中，不出现的变化是____"", ""hits"": [[1, ""auto_neuron_生物_neurons_细胞的生命历程_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 4, ""question"": ""气孔关闭会导致光合作用效率下降，其表现在____"", ""hits"": [[1, ""auto_neuron_生物_neurons_细胞代谢_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_生物_neurons_细胞代谢_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_生物_neurons_初中生物_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
middle_school_mathematics,初中数学,STEM,covered,数学大类,24,18,0.75,semantic_connected,2x|pi|如果|是关于|x的|方程|的解|那么|的值为|O是一个正n边形的外接圆|O的半径与这个正n边形的边长相等|则n的值为|垃圾分类|已经在全国开展得如火如荼|某回收公司有四包可回收垃圾|每包以标准克数|千克|为基准|超过的千克数记作正数|不足的千克数记作负数|以下数据是记录结果|其中表示实际重量最接近标准千克数的是|下列说法正确的是|抛一枚硬币|正面一定朝上,"[{""id"": 0, ""question"": ""若点A（ $x_1$，-3 ），B（ $x_2$，-2 ），C（ $x_3$，1）在反比例函数 $y=-\\dfrac{k^{2}+1}{x}$的图象上，则$x_1$ ，$x_2$ ，$x_3$ 的大小关系是为____"", ""hits"": [[1, ""auto_neuron_数学_neurons_初中代数_8"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 1, ""question"": ""已知点P（-1，4）在反比例函数$y=\\frac{k}{x}$ (k≠0)的图象上，则k的值是____"", ""hits"": [[1, ""auto_neuron_数学_neurons_初中代数_8"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 2, ""question"": ""若$x=-2$是关于x 的方程$3x-k+1=0$ 的解，则k的值为____"", ""hits"": [[1, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}]"
middle_school_biology,初中生物,STEM,covered,自然科学大类,26,16,0.6154,weakly_connected,运用适当的方法可以保存食品|将新鲜蘑菇制成干蘑菇采用的保存方法是|低温冷藏|真空包装|脱水法|添加防腐剂|保护生物多样性的最为有效是措施是|迁地保护|就地保护|克隆|法制管理|胎儿在母体内的生长发育需要营养物质和排出|废物|胎儿与母体之间进行物质交换的器官是|卵巢|输卵管|胎盘|子宫内膜|下列说法正确的是|一位妇女颅内大脑皮层上长了肿瘤导致她失明|是由于肿瘤压迫了反射孤的神经中枢|醉酒驾车极易发生交通事故|是因为酒精主要麻醉了酒驾者的脑干|赛场上选手听到发令枪声后迅速起跑属于简单|反射,"[{""id"": 0, ""question"": ""在进行植物分类时，小刚将玉米、向日葵、油松归为一类，将肾蕨、葫芦藓、水绵归为另一类，他的分类依据是____"", ""hits"": [[1, ""auto_neuron_生物_neurons_初中生物_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 1, ""question"": ""下列关于病毒的说法，不正确的是____"", ""hits"": [[1, ""auto_neuron_生物_neurons_初中生物_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 2, ""question"": ""细菌与真菌相比，在细胞结构上，细菌没有____"", ""hits"": [[1, ""auto_neuron_生物_neurons_细胞_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_生物_neurons_细胞_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
middle_school_physics,初中物理,STEM,covered,自然科学大类,24,7,0.2917,weakly_connected,青山|竹排|首先|滑雪运动员冲过终点后不能立即停下来是因为|下列说法正确的是|嫦娥四号|倒立|正立|一曲|梁祝|哀婉动听|用小提琴或钢琴演奏能呈现不同的特点|你能区分出是钢琴还是小提琴|主要是依据声音的|频率|振幅|音色|节奏|我们需要了解声音的基本特征|包括频率|振幅和音色等|其次|音色是乐器固有的特点|不同乐器的音色是不同的|因此我们可以通过音色来区分小提琴和钢琴,"[{""id"": 2, ""question"": ""关于光现象，下列说法中正确的是____"", ""hits"": [[1, ""auto_neuron_生物_neurons_初中生物_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 3, ""question"": ""下列属于可再生能源的是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_原子物理_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 4, ""question"": ""下列有关物态变化的判断，正确的是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_初中物理_声光热力电_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_化学_neurons_初中化学_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
middle_school_chemistry,初中化学,STEM,covered,自然科学大类,25,4,0.16,semantic_gap,Na|2CO|的俗名|2O|OH|25|Ca|NaOH|首先|Fe|3H|2SO|其次|22|NO|CO|Al|物质的俗名与化学式相对应正确的是|生石灰|CaCO|熟石灰|烧碱|纯碱|生石灰是|CaO,"[{""id"": 1, ""question"": ""下列现象，用分子的相关知识解释不正确的是____"", ""hits"": [[1, ""auto_rule_化学_rules_物质结构_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_化学_neurons_物质结构与周期律_3"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 4, ""question"": ""下列有关实验现象的描述正确的是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_初中化学_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 2, ""question"": ""空气是人类生存所必需的重要资源，空气中最多的气体是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_初中化学_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
veterinary_medicine,兽医学,STEM,partial,自然科学大类,28,2,0.0714,semantic_gap,10|mol|max|不变|与膜蛋白脂无关|丙酮酸激酶|因此|增大|减小|蛋白质|NH|某酶有4种底物|Km|值如下|该酶的最适底物为|值是酶对底物的亲和力的度量|表示当底物浓度为|酶活性达到最大值的一半|最适底物是指酶对某种底物的亲和力最强|值最小的底物|比较选项中的|值大小|发现|值最小|因此最适底物为,"[{""id"": 3, ""question"": ""血液内存在的下列物质中，不属于代谢终产物的是____。"", ""hits"": [[1, ""auto_neuron_化学_neurons_有机化学_5"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 13, ""question"": ""关于酶偶联受体的叙述，错误的是____。"", ""hits"": [[1, ""auto_neuron_生物_neurons_细胞_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
college_economics,大学经济学,Social Science,covered,经济学大类|金融学大类|税法与财政大类,60,60,1.0,semantic_connected,,"[{""id"": 0, ""question"": ""考虑以下小型开放经济的数据：Y=1000，C=700，G=150，I=250-1000r*。如果世界利率为5%，那么小型开放经济的净出口为____。"", ""hits"": [[3, ""manual_macro_expenditure_gdp"", ""宏观经济学"", ""宏观总量与政策"", ""产出、价格与政策传导""], [1, ""manual_macro_investment_demand_interest_rate"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""], [1, ""manual_macro_crowding_out_effect"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""], [1, ""manual_futures_margin_ratio_common"", ""金融工程"", ""衍生品与风险管理"", ""无套利定价与套保""], [1, ""auto_neuron_FinEval_neurons_tax_law_19"", ""税法与财政"", ""税收制度"", ""纳税义务与征管""]]}, {""id"": 1, ""question"": ""已知一垄断企业成本函数为TC=5Q2+20Q+10，产品的需求函数为Q=140-P。利润最大化的产量为____。"", ""hits"": [[1, ""manual_macro_expenditure_gdp"", ""宏观经济学"", ""宏观总量与政策"", ""产出、价格与政策传导""], [1, ""auto_neuron_FinEval_neurons_tax_law_26"", ""组织管理"", ""组织结构"", ""结构设计与协调""], [1, ""auto_neuron_FinEval_neurons_tax_law_19"", ""税法与财政"", ""税收制度"", ""纳税义务与征管""], [1, ""auto_neuron_FinEval_neurons_tax_law_14"", ""税法"", ""企业所得税"", ""应纳税所得额与抵免""], [1, ""auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_6"", ""金融工程"", ""衍生品与风险管理"", ""无套利定价与套保""]]}, {""id"": 2, ""question"": ""如果消费与实际利率负相关，则______。"", ""hits"": [[2, ""manual_fm_effective_annual_rate_compounding"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""], [2, ""manual_finance_fisher_equation_approx"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""], [1, ""manual_macro_rational_expectations_announced_money_growth"", ""宏观经济学"", ""宏观总量与政策"", ""产出、价格与政策传导""], [1, ""manual_macro_investment_demand_interest_rate"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""], [1, ""manual_macro_crowding_out_effect"", ""银行与货币金融"", ""货币金融与中央银行"", ""货币政策与汇率利率""]]}]"
