route_id,subject,domain,name,layer,score_abs,score_reg,type,keywords,content
manual_stat_tpl_clt_sample_mean,统计学,统计学公式模板,中心极限定理与样本均值,regularity,1,2,manual_abstract_route,样本均值|中心极限定理|等待出租车|100位,样本量足够大时，样本均值近似服从正态分布，均值为总体均值μ，标准误为σ/√n。
manual_stat_tpl_normal_standardization,统计学,统计学公式模板,正态标准化,regularity,0,2,manual_abstract_route,"概率密度|N(0,1)|sqrt|标准化","若X~N(μ,σ²)，则Z=(X-μ)/σ~N(0,1)。密度中exp[-(x-μ)^2/(2σ²)]可读出均值和方差。"
manual_stat_tpl_probability_set,统计学,统计学公式模板,概率集合公式,abstraction,2,2,manual_abstract_route,P(A)|P(B)|P(A∪B)|P(A\cupB),P(A∩非B)=P(A)-P(A∩B)。若已知P(A∪B)=c、P(B)=b且题目结构给出A包含关系口径，可化为c-b；一般情况下应先由P(A∪B)=P(A)+P(B)-P(A∩B)求交集。
manual_stat_tpl_chebyshev,统计学,统计学公式模板,切比雪夫不等式,regularity,0,3,manual_abstract_route,切比雪夫|k=4,任意分布中，落在均值±k个标准差之外的比例最多为1/k²；落在区间内的比例至少为1-1/k²。k=4时区间外最多6.25%。
manual_stat_tpl_normal_empirical_rule,统计学,统计学公式模板,正态分布经验法则,regularity,0,4,manual_abstract_route,正态分布|标准差|平均工资|68%,正态分布下，均值±1个标准差约覆盖68%的个体，均值±2个标准差约覆盖95%，均值±3个标准差约覆盖99.7%。人数=总人数×覆盖比例。
manual_acc_profit_sharing_plan,会计学,职工薪酬,利润分享计划,regularity,0,2,manual_abstract_route,利润总额|奖金|离职|支付总额|应付职工薪酬,利润分享计划属于职工薪酬。企业因职工提供服务而负有支付义务，且金额能够可靠估计时，应按预期支付额和职工已提供服务期间确认相关负债和费用。公式：当期确认金额=预计利润分享总额×已服务期间/总服务期间。边界：若计划覆盖跨年度服务期间，年末只确认截至当期已提供服务对应的部分。
manual_acc_accumulated_paid_absence,会计学,职工薪酬,累积带薪缺勤,regularity,0,2,manual_abstract_route,职工|年休假|结转|工作日工资|管理费用,累积带薪缺勤是指未使用的带薪休假权利可结转以后期间。企业应在职工提供服务从而增加其未来带薪缺勤权利时，确认预期将支付的额外金额。公式：应确认金额=预计将使用的结转额外天数×相关职工人数×日工资。边界：只有预计会导致企业额外支付的累计未使用权利才确认；不会额外支付或已作废的部分不确认。
manual_acc_convertible_bond_equity_component,会计学,金融负债,可转换公司债券权益成份,regularity,0,2,manual_abstract_route,可转换|普通年金现值系数|复利现值系数|票面年利率|实际利率,发行可转换公司债券时，应先按类似不含转换权债券的市场利率折现未来现金流确定负债成份公允价值，再以发行价格扣除负债成份后的余额确认权益成份。公式：权益成份=发行价格-(票面利息现值+本金现值)。边界：不能直接把全部发行价确认为负债，也不能把权益成份确认为零，除非转换权无价值或准则另有规定。
manual_acc_goodwill_impairment,会计学,资产减值,商誉减值测试,regularity,0,2,manual_abstract_route,商誉|减值测试|资产组|账面价值|现金流量,商誉不能独立产生现金流量，减值测试应结合与其相关的资产组或资产组组合。测试时，相关资产组的账面价值应包括分摊的商誉金额。边界：商誉不是像普通资产一样单独测试并按比例任意分摊损失；应先对包含商誉的资产组进行减值测试。
manual_acc_impairment_asset_group,会计学,资产减值,资产减值与资产组,regularity,0,3,manual_abstract_route,账面价值|可收回金额|公允价值减处置费用|现金流量|资产组,"资产减值以账面价值是否超过可收回金额为判断标准。可收回金额为公允价值减处置费用后的净额与预计未来现金流量现值两者较高者。单项资产可收回金额难以估计时，应以该资产所属资产组为基础确定可收回金额。公式：减值损失=max(0,账面价值-可收回金额)。边界：账面价值小于可收回金额不计提减值；任一可收回金额指标足以覆盖账面价值时不应计提减值。"
manual_acc_common_control_combination_initial,会计学,企业合并,同一控制下企业合并初始计量,regularity,0,3,manual_abstract_route,同一控制|母公司|最终控制方|商誉|可辨认净资产|初始投资成本,同一控制下企业合并形成的长期股权投资，应以合并日取得被合并方所有者权益在最终控制方合并财务报表中的账面价值份额作为初始投资成本；若最终控制方收购被合并方时形成商誉，还应包含相关商誉。为合并发生的审计、评估等中介费用通常计入当期损益，不计入长期股权投资初始成本。公式：初始投资成本=最终控制方口径可辨认净资产账面价值×持股比例+原确认商誉。
manual_acc_lti_initial_measurement,会计学,长期股权投资,长期股权投资初始计量,regularity,0,2,manual_abstract_route,长期股权投资|重大影响|发行股份|设备|公允价值|手续费|资本公积,长期股权投资初始成本取决于取得方式。以发行权益证券、非现金资产等作为对价取得并能施加重大影响的，通常以付出对价的公允价值计量；发行权益证券发生的佣金手续费冲减资本公积，不计入长期股权投资成本。边界：同一控制下企业合并形成的长期股权投资不按一般公允价值对价计量，而按最终控制方合并报表口径的净资产账面价值份额并考虑原商誉。公式：初始投资成本=股份公允价值+其他非现金资产公允价值+可计入成本的直接相关支出。
manual_math_pythagorean,数学,几何,勾股定理,abstraction,2,0,manual_concept,直角三角形|斜边|面积法|两直角边,直角三角形两直角边平方和等于斜边平方，即 a²+b²=c²；可用面积拼图法证明。
auto_neuron_FinEval_Accounting_neurons_accounting_1,FinEval_Accounting,accounting,在20×6年1月1日，在经过股东大会批准后，甲公司向50名高管人员每人授予了1万份股票期权。根据股份支付协议规定，这些高管人员自20×6年1月1日起，在甲公司连,regularity,0,2,neuron,,在20×6年1月1日，在经过股东大会批准后，甲公司向50名高管人员每人授予了1万份股票期权。根据股份支付协议规定，这些高管人员自20×6年1月1日起，在甲公司连续服务3年后，可以按照每股5元的价格购买1万股甲公司普通股。而在20×6年1月1日，每份股票期权的公允价值为15元。在20×6年没有高管人员离开公司，但甲公司预计在未来两年将有5名高管离开公司。至于20×6年12月31日，甲公司授予高管的股 答案:C. 解析:1. 甲公司因该股份支付协议在20×6年应确认的费用金额＝(
auto_neuron_FinEval_Accounting_neurons_accounting_23,FinEval_Accounting,accounting,甲公司将一栋商业大楼出租给乙公司使用，并一直采用成本模式进行后续计量，税法对其成本模式计量口径是认可的。2015年1月1日，由于房地产交易市场的成熟，具备了采用,regularity,0,2,neuron,,甲公司将一栋商业大楼出租给乙公司使用，并一直采用成本模式进行后续计量，税法对其成本模式计量口径是认可的。2015年1月1日，由于房地产交易市场的成熟，具备了采用公允价值模式计量的条件，甲公司决定对该投资性房地产从成本模式转换为公允价值模式计量。该大楼原价6000万元，已计提折旧3000万元，当日该大楼的公允价值为7000万元。甲公司按净利润的20$\%$计提法定盈余公积，假设不考虑所得税的影响，则 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_accounting_30,FinEval_Accounting,accounting,为了资产减值测试的目的，企业需要对资产未来现金流量进行预计，并选择恰当的折现率对其进行折现，以确定资产预计未来现金流量的现值。根据企业会计准则的规定，预计资产未,regularity,0,2,neuron,,为了资产减值测试的目的，企业需要对资产未来现金流量进行预计，并选择恰当的折现率对其进行折现，以确定资产预计未来现金流量的现值。根据企业会计准则的规定，预计资产未来现金流量的期限应当是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_accounting_37,FinEval_Accounting,accounting,甲公司共有200名职工，从2014年1月1日起，该公司实行累积带薪缺勤制度。该制度规定，每名职工每年可享受5个工作日的带薪年休假，未使用的年休假只能向后结转一个,regularity,0,2,neuron,,甲公司共有200名职工，从2014年1月1日起，该公司实行累积带薪缺勤制度。该制度规定，每名职工每年可享受5个工作日的带薪年休假，未使用的年休假只能向后结转一个日历年度，超过1年未行使的权利作废；职工休年休假时，首先使用当年享受的权利，不足部分再从上年结转的带薪年休假中扣除；职工离开公司时，对未使用的累积带薪年休假无权获得现金支付。2014年12月31日，每名职工当年平均未使用带薪年休假为1天。2 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_accounting_38,FinEval_Accounting,accounting,某公司是一家增值税一般纳税人，适用13$\%$的增值税税率来销售或进口货物。该公司共有20名总部管理人员。截至2015年1月1日，该公司向这些管理人员售出的住房,regularity,0,2,neuron,,某公司是一家增值税一般纳税人，适用13$\%$的增值税税率来销售或进口货物。该公司共有20名总部管理人员。截至2015年1月1日，该公司向这些管理人员售出的住房平均每套购买价格为28万元，销售价格为每套16万元。销售合同规定，职工在取得住房后必须在该公司服务满10年（含2015年1月）。于2015年7月15日，该公司又向这些管理人员发放了本公司生产的笔记本电脑，每人一台。每台电脑的成本为0.36万 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_2,FinEval_Accounting,intermediate_financial_accounting,会计计量是财务会计的一个基本特征，它在财务会计的理论和方法占有重要的地位。下列关于会计计量属性的表述中，不正确的是____。,abstraction,2,1,neuron,,会计计量是财务会计的一个基本特征，它在财务会计的理论和方法占有重要的地位。下列关于会计计量属性的表述中，不正确的是____。 答案:C. 解析:1. 现值是指对未来净现金流量以恰当的折现率进行折现后的金额，是考虑货币时间价值因素等的一种计量属性。
auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_26,FinEval_Accounting,intermediate_financial_accounting,甲股份公司在2019年开始自行研究一项新的专利技术。在研究过程中，他们花费了500万元用于材料费、人工费和其他费用。其中，有400万元符合资本化条件。到2019,regularity,0,2,neuron,,甲股份公司在2019年开始自行研究一项新的专利技术。在研究过程中，他们花费了500万元用于材料费、人工费和其他费用。其中，有400万元符合资本化条件。到2019年底，甲公司预计还需要投入150万元才能使该专利技术成功并达到预期的使用目标。如果考虑后续投入因素，预计可回收的金额为280万元；如果不考虑后续投入因素，预计可回收的金额为390万元。根据预计，该专利技术达到预期可使用状态后，扣除处置费用后 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_cost_accounting_2,FinEval_Accounting,cost_accounting,我国公司法的规定：上市公司在弥补亏损和提取法定公积金后所余税后利润，按照股份比例向股东分配利润。上市公司因分配现金利润而确认应付股利的时点是____。,regularity,0,2,neuron,,我国公司法的规定：上市公司在弥补亏损和提取法定公积金后所余税后利润，按照股份比例向股东分配利润。上市公司因分配现金利润而确认应付股利的时点是____。 答案:D. 解析:1. 企业股东大会或类似机构通过的利润分配方案中确定分配的现金股利或利润时，应确认为应付股利。
auto_neuron_FinEval_Accounting_neurons_cost_accounting_3,FinEval_Accounting,cost_accounting,20×4年3月1日，甲公司向乙公司销售商品1000件，每件售价为20元（不含增值税），甲、乙公司均为增值税一般纳税人，适用的增值税税率均为13$\%$。甲公司向,regularity,0,2,neuron,,20×4年3月1日，甲公司向乙公司销售商品1000件，每件售价为20元（不含增值税），甲、乙公司均为增值税一般纳税人，适用的增值税税率均为13$\%$。甲公司向乙公司销售商品给予10$\%$的商业折扣，提供的现金折扣条件为2/10、1/20、n/30，并代垫运杂费1000元。乙公司于20×4年3月15日付款。不考虑其他因素，甲公司在该项交易中应确认的收入是____。 答案:A. 解析:1. 甲公司在该项交易中应确认的收入＝5000×20×(1－10$\%$)＝90000（元）
auto_neuron_FinEval_Accounting_neurons_cost_accounting_9,FinEval_Accounting,cost_accounting,在作业成本法的规定下，制造费用的分配标准是____。,regularity,0,2,neuron,,在作业成本法的规定下，制造费用的分配标准是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_cost_accounting_23,FinEval_Accounting,cost_accounting,要按照完工产品和月末在产品数量比例来分配计算完工产品和月末在产品的原材料费用，必须满足以下条件____。,regularity,0,2,neuron,,要按照完工产品和月末在产品数量比例来分配计算完工产品和月末在产品的原材料费用，必须满足以下条件____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_management_accounting_0,FinEval_Accounting,management_accounting,以下选项中不违背会计信息质量可比性要求的有____。,regularity,0,2,neuron,,以下选项中不违背会计信息质量可比性要求的有____。 答案:A. 解析:1. 客户财务状况好转，期末可以调整坏账准备的计提比例，符合会计准则的规定。2. 选项B、C、D的目的是为了操纵利润，违背会计信息质量可比性要求。
auto_neuron_FinEval_Accounting_neurons_management_accounting_1,FinEval_Accounting,management_accounting,要用统计图表示利润与销售量之间的关系，用____表示更合适。,abstraction,2,0,neuron,,要用统计图表示利润与销售量之间的关系，用____表示更合适。 答案:B. 解析:1. 利润与销售量之间的关系可以用折线图表示。本-量-利分析是一种经营决策方法，它通过对企业成本、销售收入和销售量之间的关系进行分析，以确定企业在不同销售量和销售价格的情况下，可以达到何种收益水平。利润与销售量之间的关系可以用折线图表示，将销售量作为横坐标，利润作为纵坐标，绘制出利润随销售量变化的曲线。利润曲线可以帮助企业了解销售收入、成本和利润之间的关系，为企业制定产品定价、生产计划、销售策略等
auto_neuron_FinEval_Accounting_neurons_financial_management_1,FinEval_Accounting,financial_management,甲公司2013年的税后利润为1200万元，而2013年年初未分配利润为200万元。根据公司的政策，公司将按照10$%$的比例提取法定盈余公积。预计在2014年，,regularity,1,2,neuron,,甲公司2013年的税后利润为1200万元，而2013年年初未分配利润为200万元。根据公司的政策，公司将按照10$%$的比例提取法定盈余公积。预计在2014年，公司需要新增投资资本600万元。公司的目标资本结构为债务占总资本的3/7。根据公司的剩余股利分配政策，2013年可分配的现金股利金额为____万元。 答案:B. 解析:1. 2013年利润留存＝600×70$\%$＝420（万元），股利分配＝1200－420＝780（万元）。
auto_neuron_FinEval_Accounting_neurons_financial_management_2,FinEval_Accounting,financial_management,A企业正在制定某模具的标准成本。加工一件该模具需要的必不可少的加工操作时间为30小时，设备调整时间为2小时，必要的工间休息时间为3小时。正常的废品率为2$\%$,regularity,0,2,neuron,,A企业正在制定某模具的标准成本。加工一件该模具需要的必不可少的加工操作时间为30小时，设备调整时间为2小时，必要的工间休息时间为3小时。正常的废品率为2$\%$。该模具的直接人工标准工时是____小时。 答案:B. 解析:1. 标准工时是指在现有生产技术条件下，生产单位产品所需要的时间，包括直接加工操作必不可少的时间，以及必要的间歇和停工，如工间休息、调整设备时间、不可避免的废品耗用工时等，所以该模具的直接人工标准工时＝(30＋2＋3)/(1－2$\%$)＝35.71（小时）
auto_neuron_FinEval_Accounting_neurons_tax_law_3,FinEval_Accounting,tax_law,某企业成立于2020 年 5 月，其财务人员于2022 年4 月为了解企业所得税优惠政策的小型微利企业认定标准，故向聘请的注册会计师咨询可享受。财务人员的下列表,regularity,1,2,neuron,,某企业成立于2020 年 5 月，其财务人员于2022 年4 月为了解企业所得税优惠政策的小型微利企业认定标准，故向聘请的注册会计师咨询可享受。财务人员的下列表述中，符合税法规定的是____。 答案:C. 解析:1. 2019年1月1日小型微利企业出台了最新认定标准：第一、从事国家非限制和禁止行业; 第二、从业人数≤30人、资产总额≤5000万元、年度应纳税所得额≤300万元。从业人数，包括与企业建立劳动关系 的职工人数和企业接受的劳务派遣用工人数;从业人数和资产总额指标，应
auto_neuron_FinEval_Accounting_neurons_tax_law_4,FinEval_Accounting,tax_law,2023年4月，M市某烟草公司向K县某烟草种植户收购了一批烟叶，收购价为70 万元、价外补贴7万元。以下关于该笔烟叶交易涉及烟叶税征收管理的表述中，不符合税法规,regularity,0,2,neuron,,2023年4月，M市某烟草公司向K县某烟草种植户收购了一批烟叶，收购价为70 万元、价外补贴7万元。以下关于该笔烟叶交易涉及烟叶税征收管理的表述中，不符合税法规定的是____。 答案:B. 解析:1.  烟叶税的纳税人为收购烟叶的单位。2.  应纳税额=实际支付价款 × 税率 = 烟叶收购价款x (1+10%) × 税率 = 70 × (1+10%) × 20$\%$= 15.4（万元）。3.  烟叶税按月计征，纳税人应当于纳税义务发生月终了之日起15日内申报并缴纳税款。4.
auto_neuron_FinEval_Accounting_neurons_tax_law_19,FinEval_Accounting,tax_law,根据《中华人民共和国消费税暂行条例》消费税税目税率附表规定，金银首饰、铂金首饰和钻石及钻石饰品5％；其他贵重首饰和珠宝玉石10％。下列关于金银首饰消费税的说法，,regularity,0,3,neuron,,根据《中华人民共和国消费税暂行条例》消费税税目税率附表规定，金银首饰、铂金首饰和钻石及钻石饰品5％；其他贵重首饰和珠宝玉石10％。下列关于金银首饰消费税的说法，符合现行消费税政策规定的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_tax_law_34,FinEval_Accounting,tax_law,根据非居民税收管理规定，关于企业所得税法实施条例中所得发生地主管税务机关的确定原则，下列哪个说法是正确的？,regularity,1,2,neuron,,根据非居民税收管理规定，关于企业所得税法实施条例中所得发生地主管税务机关的确定原则，下列哪个说法是正确的？ 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_12,FinEval_Accounting,corporate_strategy_and_risk_management,甲制药公司是一家经过国有企业改制的新兴民营企业，专注于补血类产品线的开发。然而，资金和管理方面存在问题，导致甲公司在补血类产品市场的发展受到了阻碍。为了克服这种,abstraction,2,0,neuron,,甲制药公司是一家经过国有企业改制的新兴民营企业，专注于补血类产品线的开发。然而，资金和管理方面存在问题，导致甲公司在补血类产品市场的发展受到了阻碍。为了克服这种情况，公司董事会经过慎重考虑决定进行全面的企业管理结构重塑。然而，实施变革面临着巨大挑战，因为变革初期就与多个部门的文化发生冲突。基于战略稳定性与文化适应性矩阵的原则，甲制药公司在实施上述战略时，可以采取的策略不包括____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_15,FinEval_Accounting,corporate_strategy_and_risk_management,某公司产品遍布全球多个国家，其会对不同的用户提供不同标准产品，比如航空航天企业所需的产品安全标准远高于普通工业企业产品。同时，该公司会结合订单金额、购买频率、信,regularity,0,2,neuron,,某公司产品遍布全球多个国家，其会对不同的用户提供不同标准产品，比如航空航天企业所需的产品安全标准远高于普通工业企业产品。同时，该公司会结合订单金额、购买频率、信用评级等指标对客户进行分级，依据客户等级实行对应的营销策略。依据产业市场细分的变量，该公司采用的不包括____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_20,FinEval_Accounting,corporate_strategy_and_risk_management,某公司招聘员工，要求应聘者学历至少为研究生，有相关实习经验最佳。上述材料体现的横向分工组织结构的基本协调机制是____。,abstraction,2,0,neuron,,某公司招聘员工，要求应聘者学历至少为研究生，有相关实习经验最佳。上述材料体现的横向分工组织结构的基本协调机制是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_37,FinEval_Accounting,corporate_strategy_and_risk_management,股份有限公司的前几大股东可能存在关联，不能形成一种相互制衡的关系。M公司在股权转让之前，由三大股东控制，而其余流通股东极其分散难以与其抗衡。从表面上看，M1相对,abstraction,2,0,neuron,,股份有限公司的前几大股东可能存在关联，不能形成一种相互制衡的关系。M公司在股权转让之前，由三大股东控制，而其余流通股东极其分散难以与其抗衡。从表面上看，M1相对控股，M2和M3虽无任何关联，但存在共同利益，有可能一致行动，这威胁到M1的相对控股地位，导致股东们无法在集体行动上达成一致，使M公司的股权结构具有潜在的不稳定性。依据材料分析，M公司治理问题产生的主要原因是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_economic_law_0,FinEval_Accounting,economic_law,下列属于法律基本特征的是____。,regularity,1,2,neuron,,下列属于法律基本特征的是____。 答案:A. 解析:1. 法律具有一定的时空性、客观性、规范性和强制性。时空性指法律规范的适用时间和地点是确定的；客观性指法律规范的内容是客观存在的事实和规则；规范性指法律规范的目的是规范社会行为；强制性指法律规范的执行具有强制力，违反法律规定将会受到相应的法律制裁。这些基本特征是法律得以有效实施和规范社会行为的重要保障。
auto_neuron_FinEval_Accounting_neurons_economic_law_1,FinEval_Accounting,economic_law,2011年，甲有限合伙企业实现利润600万元。2012年年初，合伙企业向普通合伙人乙、丙及有限合伙人丁各分配利润200万元。根据合伙企业法律制度的规定，就上述可,regularity,0,2,neuron,,2011年，甲有限合伙企业实现利润600万元。2012年年初，合伙企业向普通合伙人乙、丙及有限合伙人丁各分配利润200万元。根据合伙企业法律制度的规定，就上述可分配利润应缴纳所得税的主体是____。 答案:B. 解析:1. 合伙企业的生产经营所得和其他所得，由合伙人分别缴纳所得税，故应由乙、丙、丁分别缴纳所得税。
auto_neuron_FinEval_Accounting_neurons_economic_law_2,FinEval_Accounting,economic_law,根据公司法律制度的规定，下列主体中，有资格提出上市公司独立董事候选人的是____。,regularity,0,2,neuron,,根据公司法律制度的规定，下列主体中，有资格提出上市公司独立董事候选人的是____。 答案:A. 解析:1. 根据中国证监会的规定，上市公司董事会、监事会、单独或者合并持有上市公司已发行股份1%以上的股东可以提出独立董事候选人，并经股东大会选举决定。
auto_neuron_FinEval_Accounting_neurons_economic_law_3,FinEval_Accounting,economic_law,公司法律制度的规定：股份有限公司发起人持有的本公司股份，自公司成立之日起一定期限内不得转让。该期限是____。,regularity,0,3,neuron,,公司法律制度的规定：股份有限公司发起人持有的本公司股份，自公司成立之日起一定期限内不得转让。该期限是____。 答案:A. 解析:1. 发起人持有的本公司股份，自公司成立之日起1年内不得转让。
auto_neuron_FinEval_Accounting_neurons_economic_law_5,FinEval_Accounting,economic_law,附条件民事法律行为根据民事制度的法律规定，下列有关其所附条件的表述中，哪一个是正确的？,regularity,0,3,neuron,,附条件民事法律行为根据民事制度的法律规定，下列有关其所附条件的表述中，哪一个是正确的？ 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_economic_law_6,FinEval_Accounting,economic_law,根据票据法律制度的规定，下列主体中哪一个是票据上主债务人____。,regularity,0,2,neuron,,根据票据法律制度的规定，下列主体中哪一个是票据上主债务人____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_economic_law_7,FinEval_Accounting,economic_law,某食品公司签发的支票上，中文大写记载的金额为“壹万玖仟陆佰元整”，而阿拉伯数字（数码）记载的金额为“15630元”，根据票据法律制度的规定，下列关于该支票效力的,regularity,0,3,neuron,,某食品公司签发的支票上，中文大写记载的金额为“壹万玖仟陆佰元整”，而阿拉伯数字（数码）记载的金额为“15630元”，根据票据法律制度的规定，下列关于该支票效力的表述中，正确的是____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_economic_law_8,FinEval_Accounting,economic_law,广义的票据法是指涉及票据关系调整的各种法律规范，既包括专门的票据法律、法规，也包括其他法律、法规中有关票据的规范。根据票据法律制度的规定，下列票据记载事项中，可,regularity,1,2,neuron,,广义的票据法是指涉及票据关系调整的各种法律规范，既包括专门的票据法律、法规，也包括其他法律、法规中有关票据的规范。根据票据法律制度的规定，下列票据记载事项中，可以更改的是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_economic_law_9,FinEval_Accounting,economic_law,根据我国法律制度的规定，下列各项中，属于票据的相对必要记载事项的是____。,regularity,0,2,neuron,,根据我国法律制度的规定，下列各项中，属于票据的相对必要记载事项的是____。 答案:C. 解析:正确选项C
