card_id,ceval_subject,ceval_chinese_name,discipline,module,upper_concept,sub_concept,node_type,matched_question_count,definition_clue_count,regularity_clue_count,trap_clue_count,example_count,needs_authoritative_upgrade
ceval_card.computer_network.018.流量控制,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,流量控制,procedure,13,1,0,0,8,True
ceval_card.computer_network.019.拥塞控制,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,拥塞控制,procedure,8,0,0,0,8,True
ceval_card.computer_network.020.差错控制,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,差错控制,procedure,6,0,0,0,6,True
ceval_card.computer_network.021.GBN,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,GBN,formula_or_calculation,4,1,3,0,4,True
ceval_card.computer_network.022.80Mbps,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,80Mbps,formula_or_calculation,1,2,3,0,1,True
ceval_card.computer_network.023.16KB,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,16KB,concept,4,0,0,0,4,True
ceval_card.computer_network.024.II,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,II,concept,2,0,0,0,2,True
ceval_card.computer_network.025.CSMA,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,CSMA,concept,14,0,0,0,8,True
ceval_card.computer_network.026.错误的是,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,错误的是,formula_or_calculation,11,0,0,0,8,True
ceval_card.computer_network.027.序号,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,序号,concept,15,0,0,0,8,True
ceval_card.computer_network.028.IEEE,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,IEEE,regulation_or_standard,1,0,0,0,1,True
ceval_card.computer_network.029.生成PDU,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,生成PDU,concept,1,0,0,0,1,True
ceval_card.computer_network.030.网桥,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,网桥,formula_or_calculation,2,2,0,0,2,True
ceval_card.computer_network.031.交换机,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,交换机,formula_or_calculation,5,2,0,0,5,True
ceval_card.computer_network.032.传输数据,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,传输数据,formula_or_calculation,3,2,3,0,3,True
ceval_card.computer_network.033.数据报交换可能出现分组乱序,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,数据报交换可能出现分组乱序,formula_or_calculation,2,0,0,0,2,True
ceval_card.computer_network.034.物理层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,物理层,concept,6,0,0,0,6,True
ceval_card.computer_network.035.主机甲与主机乙之间已建立一个TCP连接,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,主机甲与主机乙之间已建立一个TCP连接,concept,3,0,0,0,3,True
ceval_card.computer_network.036.服务器,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,服务器,formula_or_calculation,6,1,0,0,6,True
ceval_card.computer_network.037.分组,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,分组,concept,12,0,0,0,8,True
ceval_card.computer_network.038.报文段,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,报文段,concept,15,0,0,0,8,True
ceval_card.computer_network.039.非坚持CSMA,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,非坚持CSMA,concept,3,0,0,0,3,True
ceval_card.computer_network.040.III,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,III,concept,2,0,0,0,2,True
ceval_card.computer_network.041.在TCP,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,在TCP,concept,7,0,0,0,7,True
ceval_card.computer_network.042.MSS为1KB,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,MSS为1KB,formula_or_calculation,3,0,0,0,3,True
ceval_card.computer_network.043.request,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,request,concept,1,0,0,0,1,True
ceval_card.computer_network.044.计算机软件,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,计算机软件,formula_or_calculation,2,2,0,0,2,True
ceval_card.computer_network.045.三次握手,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,三次握手,formula_or_calculation,3,0,0,0,3,True
ceval_card.operating_system.001.etc,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,etc,concept,7,0,0,0,7,True
ceval_card.operating_system.002.在Unix中,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,在Unix中,concept,11,0,0,0,8,True
ceval_card.operating_system.003.Windows,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,Windows,concept,11,0,0,0,8,True
ceval_card.operating_system.004.ls,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,ls,concept,7,1,0,0,7,True
ceval_card.operating_system.005.信号量,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,信号量,concept,10,0,0,0,8,True
ceval_card.operating_system.006.在Unix系统中,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,在Unix系统中,concept,5,0,0,0,5,True
ceval_card.operating_system.007.目录中的,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,目录中的,concept,4,0,0,0,4,True
ceval_card.operating_system.008.bin,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,bin,concept,5,0,0,0,5,True
ceval_card.operating_system.009.lib,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,lib,concept,4,0,0,0,4,True
ceval_card.operating_system.010.dev,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,dev,concept,4,0,0,0,4,True
ceval_card.operating_system.011.cd,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,cd,concept,2,0,0,0,2,True
ceval_card.operating_system.012.services,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,services,formula_or_calculation,4,0,0,0,4,True
ceval_card.operating_system.013.共享存储区,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,共享存储区,concept,4,0,0,0,4,True
ceval_card.operating_system.014.管道,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,管道,procedure,8,0,0,0,8,True
ceval_card.operating_system.015.init,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,init,concept,2,0,0,0,2,True
ceval_card.operating_system.016.eval,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,eval,concept,1,0,0,0,1,True
ceval_card.operating_system.017.cmd,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,cmd,concept,1,0,0,0,1,True
ceval_card.operating_system.018.全局变量,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,全局变量,formula_or_calculation,5,2,1,0,5,True
ceval_card.operating_system.019.var1,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,var1,concept,1,0,0,0,1,True
ceval_card.operating_system.020.var2,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,var2,concept,1,0,0,0,1,True
ceval_card.operating_system.021.while,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,while,concept,1,0,0,0,1,True
ceval_card.operating_system.022.file,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,file,regulation_or_standard,5,1,0,0,5,True
ceval_card.operating_system.023.在操作系统中,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,在操作系统中,concept,3,1,0,0,3,True
ceval_card.operating_system.024.可变分区,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,可变分区,concept,6,0,0,0,6,True
ceval_card.operating_system.025.隐蔽文件目录,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,隐蔽文件目录,regulation_or_standard,3,0,0,0,3,True
ceval_card.operating_system.026.最佳适应算法,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,最佳适应算法,formula_or_calculation,3,0,0,0,3,True
ceval_card.operating_system.027.系统调用,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,系统调用,concept,12,0,0,0,8,True
ceval_card.operating_system.028.源程序,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,源程序,concept,3,0,0,0,3,True
ceval_card.operating_system.029.就绪,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,就绪,concept,8,0,0,0,8,True
ceval_card.operating_system.030.networks,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,networks,formula_or_calculation,3,0,0,0,3,True
ceval_card.operating_system.031.protocols,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,protocols,formula_or_calculation,3,0,0,0,3,True
ceval_card.operating_system.032.虚拟设备,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,虚拟设备,concept,3,0,0,0,3,True
ceval_card.operating_system.033.存储管理,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,存储管理,concept,16,1,1,0,8,True
ceval_card.operating_system.034.先来先服务,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,先来先服务,abstraction_or_regularity,6,0,0,0,6,True
ceval_card.operating_system.035.文件控制块,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,文件控制块,concept,3,0,0,0,3,True
ceval_card.operating_system.036.在Windows,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,在Windows,formula_or_calculation,4,0,0,0,4,True
ceval_card.operating_system.037.状态,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,状态,formula_or_calculation,21,2,0,2,8,True
ceval_card.operating_system.038.打印机,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,打印机,concept,3,0,0,0,3,True
ceval_card.operating_system.039.部分,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,部分,formula_or_calculation,9,3,2,0,8,True
ceval_card.operating_system.040.中断屏蔽,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,中断屏蔽,abstraction_or_regularity,2,0,0,2,2,True
ceval_card.operating_system.041.能运行更多的程序,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,能运行更多的程序,concept,2,0,0,0,2,True
ceval_card.operating_system.042.能运行更大的程序,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,能运行更大的程序,concept,2,0,0,0,2,True
ceval_card.operating_system.043.实现分时系统,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,实现分时系统,concept,2,0,0,0,2,True
ceval_card.operating_system.044.实现虚拟存储技术,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,实现虚拟存储技术,concept,2,0,0,0,2,True
ceval_card.operating_system.045.分段,operating_system,操作系统,信息技术大类,计算机科学,系统、网络与程序设计,分段,concept,3,0,0,0,3,True
ceval_card.computer_architecture.001.Cache,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,Cache,formula_or_calculation,18,0,0,0,8,True
ceval_card.computer_architecture.002.内存,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,内存,formula_or_calculation,13,2,0,0,8,True
ceval_card.computer_architecture.003.正确的是,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,正确的是,formula_or_calculation,17,0,0,0,8,True
ceval_card.computer_architecture.004.错误的是,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,错误的是,formula_or_calculation,10,0,0,0,8,True
ceval_card.computer_architecture.005.主存,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,主存,formula_or_calculation,29,0,0,0,8,True
ceval_card.computer_architecture.006.寄存器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,寄存器,formula_or_calculation,42,2,0,0,8,True
ceval_card.computer_architecture.007.TLB,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,TLB,procedure,2,0,0,0,2,True
ceval_card.computer_architecture.008.立即,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,立即,formula_or_calculation,9,0,0,0,8,True
ceval_card.computer_architecture.009.直接,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,直接,formula_or_calculation,22,0,0,0,8,True
ceval_card.computer_architecture.010.以上都不对,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,以上都不对,formula_or_calculation,5,0,2,0,5,True
ceval_card.computer_architecture.011.指令寄存器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,指令寄存器,formula_or_calculation,7,0,0,0,7,True
ceval_card.computer_architecture.012.相对寻址,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,相对寻址,formula_or_calculation,7,2,0,0,7,True
ceval_card.computer_architecture.013.CPU,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,CPU,formula_or_calculation,40,1,2,0,8,True
ceval_card.computer_architecture.014.高速缓冲存储器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,高速缓冲存储器,procedure,4,0,0,0,4,True
ceval_card.computer_architecture.015.数据总线,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,数据总线,formula_or_calculation,7,0,0,0,7,True
ceval_card.computer_architecture.016.间接,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,间接,formula_or_calculation,9,0,0,0,8,True
ceval_card.computer_architecture.017.速度快,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,速度快,formula_or_calculation,4,1,0,0,4,True
ceval_card.computer_architecture.018.位功耗高,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,位功耗高,formula_or_calculation,1,1,0,0,1,True
ceval_card.computer_architecture.019.0000007FH,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,0000007FH,abstraction_or_regularity,1,3,2,0,1,True
ceval_card.computer_architecture.020.通用寄存器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,通用寄存器,formula_or_calculation,12,0,0,0,8,True
ceval_card.computer_architecture.021.直接寻址,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,直接寻址,formula_or_calculation,5,0,0,0,5,True
ceval_card.computer_architecture.022.基址寻址,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,基址寻址,formula_or_calculation,4,0,0,0,4,True
ceval_card.computer_architecture.023.主存储器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,主存储器,formula_or_calculation,8,0,0,0,8,True
ceval_card.computer_architecture.024.存储器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,存储器,formula_or_calculation,42,2,2,0,8,True
ceval_card.computer_architecture.025.程序计数器,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,程序计数器,formula_or_calculation,7,0,0,0,7,True
ceval_card.computer_architecture.026.外设,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,外设,concept,6,0,0,0,6,True
ceval_card.computer_architecture.027.晶体管,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,晶体管,formula_or_calculation,1,0,0,0,1,True
ceval_card.computer_architecture.028.中小规模集成电路,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,中小规模集成电路,formula_or_calculation,1,0,0,0,1,True
ceval_card.computer_architecture.029.未命中,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,未命中,procedure,1,0,0,0,1,True
ceval_card.computer_architecture.030.命中,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,命中,procedure,7,0,0,0,7,True
ceval_card.computer_architecture.031.寄存器组,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,寄存器组,procedure,2,0,0,0,2,True
ceval_card.computer_architecture.032.磁带,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,磁带,procedure,2,0,0,0,2,True
ceval_card.computer_architecture.033.软磁盘,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,软磁盘,procedure,1,0,0,0,1,True
ceval_card.computer_architecture.034.活动头硬磁盘,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,活动头硬磁盘,procedure,1,0,0,0,1,True
ceval_card.computer_architecture.035.它一般用,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,它一般用,concept,1,0,0,0,1,True
ceval_card.computer_architecture.036.门来实现,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,门来实现,concept,1,0,0,0,1,True
ceval_card.computer_architecture.037.集成度低,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,集成度低,formula_or_calculation,1,1,0,0,1,True
ceval_card.computer_architecture.038.32位,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,32位,formula_or_calculation,10,4,4,0,8,True
ceval_card.computer_architecture.039.1500H,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,1500H,concept,1,2,0,0,1,True
ceval_card.computer_architecture.040.有关,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,有关,concept,8,0,0,0,8,True
ceval_card.computer_architecture.041.DMA,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,DMA,concept,12,0,0,0,8,True
ceval_card.computer_architecture.042.磁盘,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,磁盘,formula_or_calculation,10,0,0,0,8,True
ceval_card.computer_architecture.043.PC,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,PC,concept,8,2,0,0,8,True
ceval_card.computer_architecture.044.立即寻址,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,立即寻址,concept,6,0,0,0,6,True
ceval_card.computer_architecture.045.原码,computer_architecture,计算机组成,信息技术大类,计算机科学,系统、网络与程序设计,原码,formula_or_calculation,5,0,0,0,5,True
ceval_card.college_programming.001.int,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,int,formula_or_calculation,66,1,2,1,8,True
ceval_card.college_programming.002.cout,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,cout,procedure,42,1,2,1,8,True
ceval_card.college_programming.003.public,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,public,concept,39,0,0,0,8,True
ceval_card.college_programming.004.void,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,void,formula_or_calculation,39,1,2,1,8,True
ceval_card.college_programming.005.class,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,class,concept,35,0,0,0,8,True
ceval_card.college_programming.006.main,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,main,formula_or_calculation,37,1,2,1,8,True
ceval_card.college_programming.007.endl,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,endl,concept,23,0,0,0,8,True
ceval_card.college_programming.008.return,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,return,formula_or_calculation,25,0,0,0,8,True
ceval_card.college_programming.009.next,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,next,concept,6,0,0,0,6,True
ceval_card.college_programming.010.include,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,include,procedure,31,1,2,1,8,True
ceval_card.college_programming.011.iostream,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,iostream,procedure,30,1,2,1,8,True
ceval_card.college_programming.012.Base,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,Base,concept,5,0,0,0,5,True
ceval_card.college_programming.013.data,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,data,formula_or_calculation,7,0,0,0,7,True
ceval_card.college_programming.014.num,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,num,formula_or_calculation,6,0,0,0,6,True
ceval_card.college_programming.015.private,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,private,concept,18,0,0,0,8,True
ceval_card.college_programming.016.char,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,char,formula_or_calculation,19,0,0,0,8,True
ceval_card.college_programming.017.const,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,const,formula_or_calculation,14,0,0,0,8,True
ceval_card.college_programming.018.top,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,top,procedure,4,0,0,0,4,True
ceval_card.college_programming.019.operator,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,operator,formula_or_calculation,5,0,0,0,5,True
ceval_card.college_programming.020.using,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,using,abstraction_or_regularity,16,0,0,0,8,True
ceval_card.college_programming.021.namespace,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,namespace,abstraction_or_regularity,16,0,0,0,8,True
ceval_card.college_programming.022.std,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,std,abstraction_or_regularity,17,0,0,0,8,True
ceval_card.college_programming.023.prev,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,prev,concept,1,0,0,0,1,True
ceval_card.college_programming.024.display,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,display,formula_or_calculation,4,0,0,0,4,True
ceval_card.college_programming.025.func,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,func,formula_or_calculation,4,0,0,0,4,True
ceval_card.college_programming.026.foo,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,foo,concept,1,0,0,0,1,True
ceval_card.college_programming.027.Sample,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,Sample,formula_or_calculation,2,0,0,0,2,True
ceval_card.college_programming.028.fun,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,fun,concept,7,0,0,0,7,True
ceval_card.college_programming.029.in,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,in,concept,84,2,2,1,8,True
ceval_card.college_programming.030.wheel,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,wheel,formula_or_calculation,2,0,0,0,2,True
ceval_card.college_programming.031.ch,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,ch,abstraction_or_regularity,19,0,0,0,8,True
ceval_card.college_programming.032.example,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,example,concept,2,0,0,0,2,True
ceval_card.college_programming.033.object,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,object,concept,3,0,0,0,3,True
ceval_card.college_programming.034.other,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,other,formula_or_calculation,4,0,0,0,4,True
ceval_card.college_programming.035.test,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,test,formula_or_calculation,1,0,0,0,1,True
ceval_card.college_programming.036.arr,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,arr,concept,2,0,0,0,2,True
ceval_card.college_programming.037.rear,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,rear,concept,4,0,0,0,4,True
ceval_card.college_programming.038.if,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,if,formula_or_calculation,7,0,1,0,7,True
ceval_card.college_programming.039.在C,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,在C,formula_or_calculation,13,0,0,0,8,True
ceval_card.college_programming.040.sizeof,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,sizeof,concept,4,0,0,0,4,True
ceval_card.college_programming.041.Derived,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,Derived,concept,3,0,0,0,3,True
ceval_card.college_programming.042.print,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,print,concept,5,0,0,0,5,True
ceval_card.college_programming.043.CStudent,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,CStudent,formula_or_calculation,1,0,0,0,1,True
ceval_card.college_programming.044.value,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,value,concept,2,0,0,0,2,True
ceval_card.college_programming.045.protected,college_programming,大学编程,信息技术大类,计算机科学,系统、网络与程序设计,protected,concept,8,0,0,0,8,True
ceval_card.college_physics.001.frac,college_physics,大学物理,物理与工程大类,物理工程,模型、定律与工程规范,frac,formula_or_calculation,21,3,3,0,8,True
ceval_card.college_physics.002.varepsilon,college_physics,大学物理,物理与工程大类,物理工程,模型、定律与工程规范,varepsilon,formula_or_calculation,14,0,0,0,8,True
ceval_card.college_physics.003.sqrt,college_physics,大学物理,物理与工程大类,物理工程,模型、定律与工程规范,sqrt,formula_or_calculation,13,0,0,0,8,True
