subject,id,type,answer,c11_pred,c14_pred,A,B,C,D,question,top_routes,top_terms
discrete_mathematics,8,negative_choice,A,A,B,G = (G*)*,G*= ((G*)*)*,(G*)* = (G*)*)*)*,((G*)*)*= ((((G*)*)*)*)*,设G为平面图，则下面可能不正确的选项是_____,manual_sec_compliance_officer_part_time_boundary|manual_bp_financial_planner_privacy_boundary|ceval_seed.teacher_qualification.001.不正确|ceval_seed.teacher_qualification.035.学校|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_116,产品制度与合规|信用、资本与流程监管|不正确|学校|产品制度与合规
discrete_mathematics,9,concept_choice,A,A,D,8,7,6,5,已知一棵树T中有度为5，4，3，2的顶点各一个，其余为树叶顶点，T的树叶顶点数为哪项？____,auto_neuron_FinEval_neurons_china_actuary_2|auto_neuron_FinEval_neurons_china_actuary_19|auto_neuron_FinEval_neurons_china_actuary_22|auto_neuron_FinEval_neurons_china_actuary_27|auto_neuron_FinEval_neurons_statistics_21,随机变量与分布|待人工归类|风险度量与保费|赔款分摊与风险转移|待人工归类
discrete_mathematics,13,concept_choice,D,D,A,A的最大元素是18；,A 的最小元素是2；,B= {3，9}的上界只有 18；,B= {4，9} 没有上下界。,设A={2，3，4，6，9，12，18}，A中的整除关系R是偏序关系，那么在偏序集<A，R>中，下列说法正确的是____,auto_neuron_FinEval_Accounting_neurons_management_accounting_28|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_38|auto_neuron_FinEval_neurons_management_accounting_28|auto_neuron_FinEval_neurons_public_finance_4|auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_21,确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规
electrical_engineer,31,concept_choice,A,A,B,10MW,20MW,50MW,100MW,装机容量____及以上的光伏发电站应配置光伏发电功率预测系统。,ceval_seed.college_programming.002.cout|ceval_seed.metrology_engineer.006.量程|ceval_seed.veterinary_medicine.031.DNA|ceval_seed.environmental_impact_assessment_engineer.010.m3|ceval_seed.metrology_engineer.024.安培,cout|量程|DNA|m3|安培
high_school_mathematics,16,concept_choice,A,A,D,$a\geq1$,$a\leq1$,$a\geq-1$,$a\leq -3$,"已知条件$[REDACTED_LOCAL_PATH]>2$，条件$q:x>a$,且$\neg p$是$\neg q$的充分不必要条件，则实数a的取值范围是____",ceval_seed.discrete_mathematics.002.left|ceval_seed.discrete_mathematics.021.mathtt|ceval_seed.college_physics.001.frac|ceval_seed.college_physics.004.left|ceval_seed.college_physics.005.right,left|mathtt|frac|left|right
high_school_biology,15,negative_choice,B,B,D,  1/2,  1/3,  2/3,  1/4,"已知21四体的胚胎不能成活。现有一对夫妇均为21三体综合征患者，假设他们在产生配子时，第21号的三体染色体一条移向细胞的一极，两条移向另一极,则他们生出患病女孩的概率是____",manual_strategy_decision_tree_method|manual_inv_expected_holding_period_return|auto_neuron_FinEval_Accounting_neurons_accounting_20|auto_neuron_FinEval_neurons_accounting_20|auto_neuron_FinEval_neurons_china_actuary_2,战略选择与实施|风险收益与估值|征税范围、税率与抵扣|征税范围、税率与抵扣|随机变量与分布
middle_school_physics,10,concept_choice,D,D,B,中继星与地月间不可能靠电磁波通信,地球和太阳系中的其他行星起源于不同的星云,发射当天地球运行在绕太阳公转轨道中的夏至与秋分之间,月球的自转周期和公转周期相同，人类只能看到月球的正面,中国国家航天局宣布，2018年5月21日5时28分，我国在西昌卫星发射中心用“长征四号丙”运载火箭，成功将“鹊桥号”中继星发射升空，为“嫦娥四号”月球探测任务提供地月间的中继通信，负责地球与未来“嫦娥四号”通信的中继接力。下列说法正确的是____,auto_neuron_FinEval_Accounting_neurons_management_accounting_28|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_38|auto_neuron_FinEval_neurons_management_accounting_28|auto_neuron_FinEval_neurons_public_finance_4|auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_21,确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规
veterinary_medicine,20,concept_choice,A,A,C,结构域,超二级结构,二级结构,三级结构,蛋白质分子是结构极其复杂的生物大分子。有的蛋白质分子只包含一条多肽链；有的则包含数条多肽链。通常将蛋白质的结构划分为几个层次，有一种结构层次出现在一条多肽链的内部，是多肽链局部的所有原子及原子团形成的有规律的构象，该构象一般成球状结构，执行一定的功能，该结构是____,manual_fund_equity_repurchase_process|ceval_seed.operating_system.023.在操作系统中|manual_bp_capital_adequacy_risk_coverage|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_18|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_18,资源配置与制度分析|在操作系统中|信用、资本与流程监管|结构设计与协调|结构设计与协调
college_economics,16,abstraction_choice,A,A,D,成年劳动力占成年人口的比率,成年人就业比率,劳动力就业比率,劳动力就业比率与失业比率之和,劳动力参与率反映的是____。,ceval_seed.high_school_biology.024.下列叙述正确的是|auto_neuron_FinEval_Accounting_neurons_auditing_29|auto_neuron_FinEval_Accounting_neurons_financial_management_22|auto_neuron_FinEval_Accounting_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_tax_law_14,下列叙述正确的是|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免
college_economics,21,concept_choice,A,A,B,经济人,社会人,自我实现人,复杂人,微观经济学的基本假设之一是____假设,manual_futures_fundamental_analysis_supply_demand|manual_econ_utility_max_mrs_price_ratio|manual_econ_mrs_exchange_direction|manual_econ_law_of_demand|manual_econ_price_support_surplus_purchase,供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构
college_economics,41,concept_choice,A,A,B,一个混合策略纳什均衡，即两个人都以80%的概率选择“避让”，以20%的概率选择“冲过去”,一个混合策略纳什均衡，即一个人以20%的概率选择“避让”，另一个人以80%的概率选择“冲过去”,一个混合策略纳什均衡，即两个人都以40%的概率选择“避让”，以60%的概率选择“冲过去”,没有混合策略纳什均衡,在一条狭窄的巷子里，两个年轻人骑着自行车相向而行，每个人都有两个策略，即或者选择“冲过去”，或者选择“避让”。如果选择避让，不管对方采取什么策略，他得到的收益都是0，如果一人采取“冲过去”的战略，那么如果对方采取“避让”，他得到的收益是9；如果对方不避让，他得到的收益是-36。这个博弈有两个纯策略纳什均衡和____。,ceval_seed.metrology_engineer.006.量程|ceval_seed.environmental_impact_assessment_engineer.031.一般情况下|ceval_seed.physician.004.kg|ceval_seed.sports_science.004.首先|ceval_seed.sports_science.005.其次,量程|一般情况下|kg|首先|其次
college_economics,43,concept_choice,D,D,C,对于消费者1而言，E1的效用水平高于E2,对于消费者2而言，E3的效用水平高于E2,E2属于帕累托最优状态，E1和E3不属于帕累托最优状态,E1、E2、E3都属于帕累托最优状态,如图所示，两个消费者的无差异曲线相切于E1、E2、E3，这意味着____。,manual_econ_satiation_vertical_indifference_curve|manual_econ_indifference_curve_properties|auto_neuron_FinEval_neurons_investments_24|ceval_seed.college_physics.024.U1|ceval_seed.college_physics.025.U2,供需、弹性与市场结构|供需、弹性与市场结构|破产程序与管理人|U1|U2
college_economics,44,concept_choice,A,A,D,基尼系数就越大，收入就越不平等,基尼系数就越大，收入就越平等,基尼系数就越小，收入就越不平等,基尼系数就越小，收入就越平等,洛伦兹曲线越是向横轴凸出____,ceval_seed.college_chemistry.020.delta|manual_econ_total_product_mp_zero|manual_acc_debit_credit|auto_neuron_FinEval_Accounting_neurons_cost_accounting_20|auto_neuron_FinEval_neurons_cost_accounting_20,delta|供需、弹性与市场结构|确认、计量与减值|产品成本与成本管理|产品成本与成本管理
college_economics,53,concept_choice,C,C,B,人的消费行为而非生产行为,人的生产行为而非消费行为,人的生产行为和消费行为,以上都不是,外部效应可以产生于____,ceval_seed.computer_network.008.坚持CSMA|ceval_seed.computer_network.039.非坚持CSMA|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_30|auto_neuron_FinEval_neurons_fund_qualification_certificate_13|auto_neuron_FinEval_neurons_fund_qualification_certificate_46,坚持CSMA|非坚持CSMA|战略选择与实施|供需、弹性与市场结构|信用、资本与流程监管
business_administration,0,concept_choice,B,B,C,泰罗,法约尔,孔茨,韦伯,最早对管理的具体职能加以概括和系统论述的是____。,auto_neuron_FinEval_Accounting_neurons_auditing_29|auto_neuron_FinEval_Accounting_neurons_financial_management_22|auto_neuron_FinEval_Accounting_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_tax_law_14|auto_neuron_FinEval_Accounting_neurons_tax_law_47,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量
business_administration,13,negative_choice,A,A,B,加权平均边际贡献率56,加权平均边际贡献率为46,盈亏临界点销售额为213,甲产品盈亏临界点销售量为3,已知某企业生产销售甲、乙两种产品，2005年销售量分别为10万件和15万件，单价分别为20元和30元，单位变动成本分别为12元和15元，单位变动销售成本分别为10元和12元，固定成本总额为100万元，则下列说法不正确的是____。,manual_cf_project_npv_ocf|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_15|auto_neuron_FinEval_neurons_intermediate_financial_accounting_15|ceval_seed.middle_school_chemistry.021.下列说法不正确的是|ceval_seed.fire_engineer.001.0m,现金流与资本成本|模型估计与检验|供需、弹性与市场结构|下列说法不正确的是|0m
education_science,9,negative_choice,A,A,B,言语直观,形象直观,感知直观,表象直观,对有关历史生活的领会，不能缺少____。,ceval_seed.teacher_qualification.007.这属于|auto_neuron_FinEval_neurons_corporate_finance_18|ceval_seed.computer_architecture.040.有关|ceval_seed.middle_school_physics.013.下列说法中不正确的是|ceval_seed.marxism.022.概念,这属于|估计量与置信区间|有关|下列说法中不正确的是|概念
teacher_qualification,19,abstraction_choice,A,A,C,教育行动研究法,教育实验法,教育叙事研究法,个案研究法,杨老师在教授生字词的过程中发现部分学生有缺笔少画的现象，于是他把“小学生缺笔少画现象的原因及对策研究”作为研究课题，拟订相应的研究计划，在工作中收集、整理相关资料并实施教学措施，最后根据反馈信息调整教学方案。这种研究方法属于____。,ceval_seed.high_school_politics.026.教育|ceval_seed.sports_science.006.最后|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_17|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_Accounting_neurons_economic_law_22,教育|最后|确认、计量与减值|产品成本与成本管理|物的分类与权利边界
teacher_qualification,33,concept_choice,C,C,B,鲁智深——倒拔垂杨柳,孙悟空——大闹天宫,周瑜——三顾茅庐,刘姥姥——进大观园,下面是中国古代四大名著中的人物与情节，其中搭配不当的一项是____。,ceval_seed.art_studies.002.中的人物|auto_neuron_FinEval_Accounting_neurons_accounting_28|auto_neuron_FinEval_Accounting_neurons_accounting_39|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_17|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_26,中的人物|产品制度与合规|基本假设、要素与信息质量|确认、计量与减值|基本假设、要素与信息质量
high_school_politics,1,concept_choice,C,C,A,①②,②③,①④,②④,"企业联合是指企业之间为增强市场竞争力、获取更大经济效益而实行的合营或合并。大企业之间的联合通常叫强强联合。下列甲乙两公司的行为属于企业强强联合的是____
①甲公司利用乙公司的生产技术力量，投资新项目
②甲公司通过资本市场收购乙公司20%股份
③乙公司把自有资产抵押给银行，用贷款来购买甲公司的设备
④乙公司产品通过甲公司的销售网络迅速进入国际市场",auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_17|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_21|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_3|auto_neuron_FinEval_neurons_advanced_financial_accounting_3|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_24,确认、计量与减值|确认、计量与减值|确认、计量与减值|确认、计量与减值|合并报表与特殊事项
high_school_politics,9,concept_choice,B,B,C,无偿性,强制性,固定性,法制性,唐代著名诗人杜荀鹤在《山中寡妇》中写道：“任是深山更深处，也应无计避征徭。”这句诗主要强调了税收的____,manual_cbf_international_business_objectives|manual_central_bank_deposit_business_features|ceval_seed.chinese_language_and_literature.038.中国|ceval_seed.professional_tour_guide.039.唐代,信用、资本与流程监管|信用风险与合规流程|中国|唐代
high_school_geography,12,concept_choice,B,B,D,上半夜,下半夜,子夜前后,整个夜晚,可以看见下弦月的时间是____,auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_30|auto_neuron_FinEval_neurons_insurance_8|ceval_seed.computer_network.025.CSMA|ceval_seed.marxism.001.时间,战略选择与实施|风险度量与保费|CSMA|时间
middle_school_politics,1,concept_choice,C,C,D,①②,①③,②④,③④,"非公有制经济是我国社会主义市场经济的重要组成问题，我国鼓励、支持、引导非公有制经济发展是因为非公有制经济____

①广泛吸纳社会资金，是国民经济的主导力量 ②有利于增长税收、扩大就业、促进经济增长
③是我国社会主义经济制度的基础，占主体地位 ④在促进大众创业和万众创新方面发挥重要作用",ceval_seed.middle_school_politics.022.是国民经济的主导力量|ceval_seed.middle_school_politics.036.发展|auto_neuron_思想政治_neurons_经济_6|ceval_seed.high_school_politics.002.这表明|ceval_seed.middle_school_politics.002.对此,是国民经济的主导力量|发展|文本、历史与思想|这表明|对此
middle_school_politics,11,negative_choice,D,D,B,人治强调法律只是作为办事的参考,法治强调法律制度的理性及一般指导作用,法治具有可预期性、可操作性、可救济性,法治是公共透明的规则之治，人治优于法治,同学们围绕“人治”与“法治”展开了系列讨论，下列观点不正确的是____,auto_neuron_FinEval_Accounting_neurons_accounting_7|auto_neuron_FinEval_Accounting_neurons_accounting_19|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_0|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_4|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_13,基本假设、要素与信息质量|确认、计量与减值|权益变动与分配|确认、计量与减值|确认、计量与减值
middle_school_geography,6,concept_choice,D,D,B,①②,②③,②④,③④,2016年1月起，我国全面开放二孩政策的主要目的是____,ceval_seed.high_school_biology.032.2n|ceval_seed.middle_school_chemistry.027.frac|ceval_seed.fire_engineer.001.0m|auto_neuron_FinEval_Accounting_neurons_accounting_26|auto_neuron_FinEval_Accounting_neurons_auditing_29,2n|frac|0m|合并报表与特殊事项|基本假设、要素与信息质量
middle_school_geography,9,abstraction_choice,D,D,B,西北季风,东北季风,东南季风,西南季风,对印度的农业生产有重要意义的是____,ceval_seed.chinese_language_and_literature.009.中的|auto_neuron_FinEval_Accounting_neurons_auditing_29|auto_neuron_FinEval_Accounting_neurons_financial_management_22|auto_neuron_FinEval_Accounting_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_tax_law_14,中的|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免
law,17,concept_choice,B,B,D,甲委托乙把自己的孩子从幼儿园接回来,丙接受丁的委托，以丁的名义与戊签订买卖合同,赵某接受钱某的委托，将钱某不接受缔约要求的意思表示向孙某作了回复,远大公司由法定代表人李某与宏远公司法定代表人周某签订加工承揽合同,下列选项中，属于代理情形的是____。,auto_neuron_FinEval_Accounting_neurons_management_accounting_23|auto_neuron_FinEval_Accounting_neurons_tax_law_33|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_11|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_85|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_11,基本假设、要素与信息质量|基本假设、要素与信息质量|基本假设、要素与信息质量|信用、资本与流程监管|合并报表与特殊事项
chinese_language_and_literature,10,concept_choice,B,B,A,云冈石窟,龙门石窟,莫高窟,麦积山石窟,卢舍那大佛是石窟雕塑中____的代表作。,ceval_seed.art_studies.006.的代表作,的代表作
chinese_language_and_literature,20,concept_choice,B,B,D,连谓句,兼语句,被动句,双宾语句,“现在轮到你说了”是____。,ceval_seed.college_programming.007.endl|ceval_seed.high_school_chinese.022.现在,endl|现在
art_studies,13,concept_choice,A,A,C,阿依吐拉,白淑湘,陈爱莲,崔美善,因在《牧羊女》、《天山之春》、《太孜间奏曲》等舞蹈中以精湛的表演技艺享誉中外的中国舞蹈家是____。,auto_neuron_会计学_neurons_2026实时知识_12|ceval_seed.chinese_language_and_literature.038.中国|ceval_seed.civil_servant.009.下列各句中|ceval_seed.civil_servant.045.中国,基本假设、要素与信息质量|中国|下列各句中|中国
art_studies,23,concept_choice,A,A,C,雕漆,戗金,螺钿,平脱,元代的漆器品种较多，以____为主，有剔红、剔黄、剔黑、剔彩等不同的色彩运用。,ceval_seed.computer_architecture.007.TLB|ceval_seed.college_physics.028.rho|ceval_seed.college_physics.029.不同|ceval_seed.chinese_language_and_literature.002.ng|ceval_seed.chinese_language_and_literature.019.nj,TLB|rho|不同|ng|nj
legal_professional,18,concept_choice,C,C,B,效力低于《刑法》,全国人大常委会只能就《刑法》作法律解释,对法律条文进行了限制解释,是学理解释,《全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第一百五十八条、第一百五十九条的解释》中规定：“刑法第一百五十八条、第一百五十九条的规定，只适用于依法实行注册资本实缴登记制的公司。”关于该解释，下列哪一说法是正确的?____,ceval_seed.ideological_and_moral_cultivation.016.国务院|ceval_seed.ideological_and_moral_cultivation.017.全国人民代表大会|ceval_seed.middle_school_politics.028.人民代表大会|ceval_seed.middle_school_politics.037.国家主席|ceval_seed.teacher_qualification.038.中华人民共和国宪法,国务院|全国人民代表大会|人民代表大会|国家主席|中华人民共和国宪法
civil_servant,0,calculation_choice,D,D,B,10,15,20,30,甲与乙准备进行一个游戏：向空中扔三枚硬币，如果它们落地后全是正面向上或全是反面向上，乙就给甲钱；但若出现两正面一反面或两反面一正面的情况，则由甲给乙钱。乙要求甲每次给10元，那么，从长远来看，甲应该要求乙每次至少给____元才可考虑参加这个游戏。,ceval_seed.environmental_impact_assessment_engineer.031.一般情况下|ceval_seed.electrical_engineer.039.额定功率|ceval_seed.fire_engineer.001.0m|ceval_seed.college_programming.002.cout|ceval_seed.metrology_engineer.006.量程,一般情况下|额定功率|0m|cout|量程
civil_servant,6,concept_choice,D,D,A,48,64,80,90,4，4，6，12，30，____,ceval_seed.environmental_impact_assessment_engineer.040.85dB|ceval_seed.college_programming.020.using|ceval_seed.college_programming.021.namespace|ceval_seed.college_programming.022.std|ceval_seed.college_physics.002.varepsilon,85dB|using|namespace|std|varepsilon
civil_servant,9,negative_choice,D,D,A,文凭与学历都是符号资本,教育符号是人才的分类编码,文凭体现了教育的筛选功能,手持相应的符号资本才能进入相应的职业群体,在现代社会，教育符号也即文凭和学历是一种重要的文化货币，手持符号资本，可进入相应职业群体、身份团体和社会位置。譬如，凭借医学博士文凭，可成为医生。此为教育的筛选功能，亦被喻为人才的分类编码场，如同公共汽车总站，目的地不同的人选择不同的路线，乘坐不同的车辆，到达不同的地方。 下列选项不符合文意的一项是____。,auto_neuron_FinEval_neurons_financial_engineering_1|auto_neuron_FinEval_Accounting_neurons_auditing_32|auto_neuron_FinEval_neurons_auditing_32|auto_neuron_FinEval_neurons_certified_practising_accountant_0|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_116,无套利定价与套保|证据、保证与职业判断|证据、保证与职业判断|应纳税所得额与抵免|产品制度与合规
civil_servant,37,calculation_choice,C,C,D,继承 出谋划策,继承 建言献策,秉承 建言献策,秉承 出谋划策,改革开放以来，中国农学会____“献身、创新、求实、协作”的宗旨，始终不渝地坚持以推动农业科技进步、促进农村发展为己任，大力开展学术交流和科技普及，积极____和举荐人才，为提高广大农民科技素质、加快农业科技进步作出了重要贡献。 填入画横线部分最恰当的一项是____。,ceval_seed.civil_servant.001.填入画横线部分最恰当的一项是|auto_neuron_FinEval_neurons_insurance_10|ceval_seed.mao_zedong_thought.030.发展生产力|ceval_seed.mao_zedong_thought.032.解放和发展生产力|ceval_seed.mao_zedong_thought.041.以人为本,填入画横线部分最恰当的一项是|风险度量与保费|发展生产力|解放和发展生产力|以人为本
civil_servant,43,calculation_choice,D,D,B,102,98,104,108,学生在操场上列队做操，只知人数在90-110之间。如果排成3排则不多不少：排成5排则少2人；排成7排则少4人。问学生人数是多少人?____,ceval_seed.electrical_engineer.041.3mm|ceval_seed.college_programming.014.num|ceval_seed.college_chemistry.024.times10|ceval_seed.discrete_mathematics.041.4x|ceval_seed.physician.002.IL,3mm|num|times10|4x|IL
sports_science,11,concept_choice,B,B,A,基本技术,特长技术,高难度技术,全面技术,柔道项目中的“得意技”指的是____,auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_3|auto_neuron_FinEval_neurons_advanced_financial_accounting_3|ceval_seed.middle_school_physics.007.音色|ceval_seed.chinese_language_and_literature.009.中的|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_14,确认、计量与减值|确认、计量与减值|音色|中的|合并报表与特殊事项
plant_protection,13,concept_choice,A,A,B,显微结构,亚显微结构,超显微结构,亚细胞结构,光学显微镜下呈现出的细胞结构被称为____。,auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_18|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_18|auto_neuron_FinEval_neurons_public_finance_40|ceval_seed.veterinary_medicine.003.错误的是|ceval_seed.civil_servant.005.橄榄型,结构设计与协调|结构设计与协调|结构设计与协调|错误的是|橄榄型
basic_medicine,5,concept_choice,C,C,D,磷脂酶C,蛋白激酶A,蛋白激酶G,酪氨酸蛋白激酶,cGMP能激活____,ceval_seed.basic_medicine.044.酪氨酸蛋白激酶|ceval_seed.basic_medicine.012.cGMP|ceval_seed.basic_medicine.004.蛋白激酶A|ceval_seed.basic_medicine.025.磷脂酶C|ceval_seed.basic_medicine.043.蛋白激酶G,酪氨酸蛋白激酶|cGMP|蛋白激酶A|磷脂酶C|蛋白激酶G
clinical_medicine,15,concept_choice,C,C,D,中央型肺癌,周围型肺癌,弥漫型肺癌,大细胞肺癌,最易和肺转移癌相混淆的是____,auto_neuron_FinEval_Accounting_neurons_auditing_29|auto_neuron_FinEval_Accounting_neurons_financial_management_22|auto_neuron_FinEval_Accounting_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_tax_law_14|auto_neuron_FinEval_Accounting_neurons_tax_law_47,基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量
